step,Mff,Mr,Mb,Mrho,d_fc
200,3.686402310139e+04,1.843199844824e+04,1.843199825323e+04,3.686402306616e+04,2.639992656623e-02
400,3.686402879818e+04,1.843199833125e+04,1.843199780459e+04,3.686402796239e+04,3.266233739123e-02
600,3.686402693709e+04,1.843199831897e+04,1.843199786868e+04,3.686402803761e+04,3.074943612955e-02
800,3.686401268915e+04,1.843199857406e+04,1.843199783254e+04,3.686401239198e+04,1.628255515243e-02
1000,3.686400631692e+04,1.843199833444e+04,1.843199776338e+04,3.686400605541e+04,1.021909513656e-02
1200,3.686401098389e+04,1.843199806626e+04,1.843199778177e+04,3.686401094609e+04,1.513584944041e-02
1400,3.686401377050e+04,1.843199818908e+04,1.843199769462e+04,3.686401324642e+04,1.788680186655e-02
1600,3.686400557701e+04,1.843199814798e+04,1.843199767298e+04,3.686400528830e+04,9.756060189829e-03
1800,3.686400421303e+04,1.843199806661e+04,1.843199749326e+04,3.686400337803e+04,8.653159955429e-03
2000,3.686399576140e+04,1.843199787129e+04,1.843199738117e+04,3.686399572170e+04,5.089377627883e-04
2200,3.686399830306e+04,1.843199756833e+04,1.843199671972e+04,3.686399833429e+04,4.015005386464e-03
2400,3.686401926567e+04,1.843199673196e+04,1.843199592794e+04,3.686401988810e+04,2.660577179631e-02
2600,3.686403169700e+04,1.843199608045e+04,1.843199541634e+04,3.686403210020e+04,4.020021545148e-02
2800,3.686403578332e+04,1.843199554477e+04,1.843199498581e+04,3.686403612739e+04,4.525274418484e-02
3000,3.686403860779e+04,1.843199483422e+04,1.843199436425e+04,3.686403765309e+04,4.940931826786e-02
3200,3.686403504646e+04,1.843199406823e+04,1.843199361448e+04,3.686403549695e+04,4.736375408902e-02
3400,3.686403799582e+04,1.843199336947e+04,1.843199289447e+04,3.686403793830e+04,5.173188916524e-02
3600,3.686403608175e+04,1.843199261848e+04,1.843199231598e+04,3.686403558338e+04,5.114729114212e-02
3800,3.686402930776e+04,1.843199213220e+04,1.843199178147e+04,3.686402872652e+04,4.539408986602e-02
4000,3.686403403140e+04,1.843199157029e+04,1.843199132570e+04,3.686403446800e+04,5.113541532410e-02
4200,3.686402502578e+04,1.843199116288e+04,1.843199091488e+04,3.686402558827e+04,4.294801855576e-02
4400,3.686404021862e+04,1.843199068637e+04,1.843199058226e+04,3.686404019743e+04,5.894999624434e-02
4600,3.686402255876e+04,1.843199026378e+04,1.843199014949e+04,3.686402265531e+04,4.214549040262e-02
4800,3.686402226572e+04,1.843198943818e+04,1.843198975678e+04,3.686402250499e+04,4.307075516044e-02
5000,3.686402696181e+04,1.843198892634e+04,1.843198930496e+04,3.686402694339e+04,4.873049934758e-02
5200,3.686403666102e+04,1.843198841000e+04,1.843198893242e+04,3.686403654808e+04,5.931860279452e-02
5400,3.686403976857e+04,1.843198783742e+04,1.843198850701e+04,3.686403979629e+04,6.342413504171e-02
5600,3.686403536739e+04,1.843198730148e+04,1.843198797619e+04,3.686403526962e+04,6.008971681513e-02
5800,3.686403686458e+04,1.843198686602e+04,1.843198756105e+04,3.686403666687e+04,6.243751395596e-02
6000,3.686403632023e+04,1.843198655985e+04,1.843198703504e+04,3.686403636181e+04,6.272533335141e-02
6200,3.686403579462e+04,1.843198602138e+04,1.843198650769e+04,3.686403574568e+04,6.326554920088e-02
6400,3.686402793963e+04,1.843198540165e+04,1.843198603596e+04,3.686402837867e+04,5.650201727258e-02
6600,3.686402758897e+04,1.843198491214e+04,1.843198552607e+04,3.686402767640e+04,5.715076083652e-02
6800,3.686403077546e+04,1.843198433578e+04,1.843198492690e+04,3.686403012246e+04,6.151277321987e-02
7000,3.686403827592e+04,1.843198380022e+04,1.843198453272e+04,3.686403843880e+04,6.994298396603e-02
7200,3.686404403961e+04,1.843198329772e+04,1.843198395980e+04,3.686404379344e+04,7.678208385187e-02
7400,3.686404401352e+04,1.843198261521e+04,1.843198346567e+04,3.686404402238e+04,7.793263981875e-02
7600,3.686404265025e+04,1.843198209659e+04,1.843198295719e+04,3.686404273289e+04,7.759647445710e-02
7800,3.686405829841e+04,1.843198166618e+04,1.843198245117e+04,3.686405850697e+04,9.418105617806e-02
8000,3.686407165569e+04,1.843198107876e+04,1.843198173645e+04,3.686407168019e+04,1.088404888615e-01
8200,3.686407657998e+04,1.843198026258e+04,1.843198121592e+04,3.686407626188e+04,1.151014806601e-01
8400,3.686409287772e+04,1.843197981595e+04,1.843198073887e+04,3.686409310305e+04,1.323229076261e-01
8600,3.686409855482e+04,1.843197950764e+04,1.843198016735e+04,3.686409862262e+04,1.388798214393e-01
8800,3.686409041538e+04,1.843197917974e+04,1.843197981615e+04,3.686409022522e+04,1.314194910228e-01
9000,3.686408055260e+04,1.843197889582e+04,1.843197950574e+04,3.686408105361e+04,1.221510393298e-01
9200,3.686408271372e+04,1.843197856402e+04,1.843197924975e+04,3.686408236879e+04,1.248999494055e-01
9400,3.686407127181e+04,1.843197820524e+04,1.843197893905e+04,3.686407168257e+04,1.141275161426e-01
9600,3.686408224950e+04,1.843197787942e+04,1.843197840195e+04,3.686408213323e+04,1.259681406118e-01
9800,3.686408871559e+04,1.843197727498e+04,1.843197796983e+04,3.686408896983e+04,1.334707747701e-01
10000,3.686409855567e+04,1.843197678127e+04,1.843197749532e+04,3.686409868604e+04,1.442790783112e-01
10200,3.686411356909e+04,1.843197635440e+04,1.843197695802e+04,3.686411350340e+04,1.602566673755e-01
10400,3.686411127249e+04,1.843197595126e+04,1.843197650393e+04,3.686411134642e+04,1.588172978045e-01
10600,3.686412309777e+04,1.843197553265e+04,1.843197609269e+04,3.686412301058e+04,1.714724307130e-01
10800,3.686413324738e+04,1.843197500250e+04,1.843197578267e+04,3.686413360995e+04,1.824622175154e-01
11000,3.686415134786e+04,1.843197441789e+04,1.843197550625e+04,3.686415086657e+04,2.014237304538e-01
11200,3.686414888181e+04,1.843197407935e+04,1.843197492258e+04,3.686414901596e+04,1.998798853492e-01
11400,3.686415947281e+04,1.843197375387e+04,1.843197448169e+04,3.686415906054e+04,2.112372435404e-01
11600,3.686417667690e+04,1.843197328091e+04,1.843197423269e+04,3.686417633092e+04,2.291633033965e-01
11800,3.686418591212e+04,1.843197285567e+04,1.843197366428e+04,3.686418584734e+04,2.393921721523e-01
12000,3.686417458008e+04,1.843197240027e+04,1.843197327784e+04,3.686417451304e+04,2.289019653545e-01
12200,3.686419385555e+04,1.843197204002e+04,1.843197294567e+04,3.686419340968e+04,2.488698700545e-01
12400,3.686420733102e+04,1.843197160341e+04,1.843197248158e+04,3.686420794320e+04,2.632460309360e-01
12600,3.686423379373e+04,1.843197110689e+04,1.843197212391e+04,3.686423360246e+04,2.905629331071e-01
12800,3.686425056696e+04,1.843197083767e+04,1.843197195688e+04,3.686425049400e+04,3.077724218128e-01
13000,3.686426287819e+04,1.843197061875e+04,1.843197157198e+04,3.686426293552e+04,3.206874682764e-01
13200,3.686427265416e+04,1.843197039473e+04,1.843197132270e+04,3.686427306974e+04,3.309367333386e-01
13400,3.686428460703e+04,1.843196995592e+04,1.843197086172e+04,3.686428523570e+04,3.437893930422e-01
13600,3.686428855070e+04,1.843196962873e+04,1.843197048403e+04,3.686428902549e+04,3.484379489200e-01
13800,3.686430083683e+04,1.843196937615e+04,1.843197021435e+04,3.686430108124e+04,3.612463237951e-01
14000,3.686430497702e+04,1.843196910334e+04,1.843196986892e+04,3.686430515379e+04,3.660047638296e-01
14200,3.686430428784e+04,1.843196845007e+04,1.843196951334e+04,3.686430393988e+04,3.663244226082e-01
14400,3.686430496621e+04,1.843196822831e+04,1.843196910776e+04,3.686430467135e+04,3.676301334599e-01
14600,3.686430313166e+04,1.843196776789e+04,1.843196878814e+04,3.686430300820e+04,3.665756328737e-01
14800,3.686430796341e+04,1.843196755016e+04,1.843196847402e+04,3.686430811185e+04,3.719392283965e-01
15000,3.686430117456e+04,1.843196725701e+04,1.843196809273e+04,3.686430130750e+04,3.658248239262e-01
15200,3.686428955553e+04,1.843196696499e+04,1.843196779176e+04,3.686428944558e+04,3.547987810489e-01
15400,3.686428866996e+04,1.843196673230e+04,1.843196765967e+04,3.686428842890e+04,3.542779845448e-01
15600,3.686428408151e+04,1.843196649859e+04,1.843196750901e+04,3.686428481346e+04,3.500739127267e-01
15800,3.686428179087e+04,1.843196614316e+04,1.843196755701e+04,3.686428147674e+04,3.480906950317e-01
16000,3.686425257027e+04,1.843196635561e+04,1.843196781476e+04,3.686425214642e+04,3.183999026733e-01
16200,3.686423542875e+04,1.843196604134e+04,1.843196768423e+04,3.686423557323e+04,3.017031754243e-01
16400,3.686423284770e+04,1.843196583589e+04,1.843196750279e+04,3.686423302078e+04,2.995090106742e-01
16600,3.686423746871e+04,1.843196560777e+04,1.843196728438e+04,3.686423814154e+04,3.045765532188e-01
16800,3.686424191460e+04,1.843196518114e+04,1.843196703919e+04,3.686424138516e+04,3.096942639677e-01
