step,umax,p_liq,p_gas,Pc,psi_mean_liq_band,psi_mean_gas_band
250,0.02247835136950016,0.333452304204305,0.33510057131449383,0.001648267110188839,-1.0001025199890137,0.9999409914016724
500,0.02198488637804985,0.33171188831329346,0.33537248770395917,0.0036605993906657086,-1.0002518892288208,0.999840497970581
750,0.02185780368745327,0.33162758747736615,0.33539700508117676,0.0037694176038106098,-1.000284194946289,0.9997721314430237
1000,0.02172846347093582,0.33187490701675415,0.3353397846221924,0.0034648776054382324,-1.000266194343567,0.9997246265411377
1250,0.021690845489501953,0.3321087559064229,0.3352471590042114,0.0031384030977885113,-1.0002405643463135,0.9996887445449829
1500,0.021713383495807648,0.3322462240854899,0.3352029323577881,0.0029567082722981586,-1.000219464302063,0.9996600151062012
1750,0.021766671910881996,0.332236389319102,0.33520694573720294,0.002970556418100956,-1.0002042055130005,0.9996358752250671
2000,0.02180558629333973,0.3321608901023865,0.3352350393931071,0.0030741492907206402,-1.0001919269561768,0.9996153712272644
2250,0.021818917244672775,0.3321074843406677,0.3352564573287964,0.003148972988128662,-1.0001813173294067,0.9995974898338318
2500,0.021818937733769417,0.33209890127182007,0.3352609872817993,0.003162086009979248,-1.0001722574234009,0.9995813369750977
2750,0.021819882094860077,0.3321155309677124,0.3352566162745158,0.003141085306803404,-1.00016450881958,0.9995667934417725
3000,0.021826446056365967,0.33213261763254803,0.33525216579437256,0.0031195481618245258,-1.0001579523086548,0.9995535612106323
3250,0.021836647763848305,0.3321395516395569,0.3352514108022054,0.0031118591626485004,-1.000152349472046,0.9995417594909668
3500,0.021847184747457504,0.3321380615234375,0.33525363604227704,0.0031155745188395367,-1.0001472234725952,0.9995312690734863
3750,0.021855955943465233,0.3321341077486674,0.33525673548380536,0.0031226277351379395,-1.0001426935195923,0.9995222091674805
4000,0.02186286821961403,0.33213210105895996,0.3352591594060262,0.003127058347066225,-1.000138521194458,0.9995145201683044
4250,0.021868795156478882,0.3321326772371928,0.33526066939036053,0.0031279921531677246,-1.0001347064971924,0.9995084404945374
4500,0.021874526515603065,0.3321345051129659,0.3352617422739665,0.0031272371610006067,-1.0001312494277954,0.9995037317276001
4750,0.02188025787472725,0.33213627338409424,0.33526281515757245,0.0031265417734782086,-1.000128149986267,0.9995006918907166
5000,0.021885976195335388,0.3321375052134196,0.3352641264597575,0.0031266212463378906,-1.0001254081726074,0.9994992613792419
5250,0.021891379728913307,0.3321383198102315,0.3352653980255127,0.003127078215281187,-1.0001232624053955,0.9994996190071106
5500,0.02189652808010578,0.33213911453882855,0.3352667490641276,0.0031276345252990723,-1.0001211166381836,0.999501645565033
5750,0.02190157026052475,0.3321397105852763,0.33526813983917236,0.003128429253896059,-1.0001194477081299,0.9995052814483643
6000,0.021906163543462753,0.3321405053138733,0.335269570350647,0.0031290650367736816,-1.0001178979873657,0.9995107650756836
6250,0.021910574287176132,0.3321415185928345,0.3352707624435425,0.003129243850708008,-1.0001165866851807,0.9995176792144775
6500,0.021914765238761902,0.33214275042215985,0.33527207374572754,0.00312932332356769,-1.0001153945922852,0.9995261430740356
6750,0.021918846294283867,0.3321441213289897,0.3352733055750529,0.0031291842460632324,-1.0001142024993896,0.9995356798171997
7000,0.021922973915934563,0.33214537302652997,0.3352746566136678,0.003129283587137821,-1.0001132488250732,0.999546468257904
7250,0.021926796063780785,0.33214618762334186,0.33527612686157227,0.003129939238230406,-1.0001121759414673,0.9995582103729248
