x,Req_r,R_r,dacc_r,net_r,cc,chi
0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3,-1.599668545775e-12,-1.599668545775e-12,-1.910305750140e-13,1.599799071445e-08,0.000000000000e+00,-9.358754833742e-05
4,-2.327861575000e-12,-5.547298731479e-14,3.756985664600e-14,1.585268114138e-08,2.697464229786e-05,-9.222722774499e-05
5,-8.271644239120e-13,-1.293968410540e-13,-1.042480702708e-13,1.542035843686e-08,3.614888622481e-05,-9.124344209373e-05
6,-1.237610979882e-12,-1.635968126014e-13,-1.556173043593e-14,1.503378133867e-08,3.774591751061e-05,-9.174493257056e-05
7,-1.477547874711e-12,-1.788216732123e-13,1.811556704263e-14,1.465476886380e-08,3.631561693431e-05,-9.144732039330e-05
8,-1.154395098032e-12,-1.102771650353e-13,3.277381071342e-14,1.433234310621e-08,3.660257922501e-05,-9.161807038751e-05
9,-1.418572827643e-12,-1.011274431339e-13,-3.583959992585e-14,1.354925960028e-08,3.662776444729e-05,-9.160313885236e-05
10,-1.134932405704e-12,-1.999047789093e-13,1.708818001018e-13,1.269764995242e-08,3.649521742486e-05,-9.162215839026e-05
11,-1.523238861937e-12,-1.503792649482e-13,7.570471555649e-14,1.208073903715e-08,3.673785601473e-05,-9.182816513995e-05
12,-1.441639722253e-12,-2.664412144015e-13,8.975020681356e-14,1.121284284359e-08,3.636138405398e-05,-9.180433555343e-05
13,-1.240226600967e-12,-1.385257553087e-13,4.436263278026e-14,1.030387472607e-08,3.662855162072e-05,-9.213392966742e-05
14,-1.200817223435e-12,1.368191213505e-13,7.974607173000e-14,9.270774092368e-09,3.616340308684e-05,-9.211888539092e-05
15,-1.415802740746e-12,-2.660967621143e-14,-6.652972270944e-14,8.084875053496e-09,3.609058919994e-05,-9.251097217387e-05
16,-1.469371484389e-12,-1.544548604326e-13,-7.875273705226e-14,7.948362864503e-09,3.462482194321e-05,-9.251802027760e-05
17,-1.535009156820e-12,-5.213207975840e-14,3.628001011622e-14,5.747050227660e-09,3.542261281909e-05,-9.452978351436e-05
18,-1.298743399459e-12,1.538654420917e-13,-5.229908193312e-14,-4.560595276627e-10,7.988951897999e-04,-9.129903081840e-05
