step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
200,3.686411723611e+04,3.686411723611e+04,1.843203810189e+04,1.843203571591e+04,0.000000000000e+00,0.000000000000e+00,3.686411822647e+04,0.000000000000e+00,4.341830693738e-02,-9.903609752655e-04,-4.440866791265e-02,2.732335356995e-03
400,3.686425166877e+04,3.686425166877e+04,1.843205928415e+04,1.843206022640e+04,0.000000000000e+00,0.000000000000e+00,3.686425104767e+04,0.000000000000e+00,1.321582292439e-01,6.211027503014e-04,-1.315371264936e-01,1.786352368072e-03
600,3.686435537292e+04,3.686435537292e+04,1.843207805309e+04,1.843207801227e+04,0.000000000000e+00,0.000000000000e+00,3.686435552806e+04,0.000000000000e+00,1.993075650244e-01,-1.551359891891e-04,-1.994627010135e-01,7.306835614145e-04
800,3.686444624557e+04,3.686444624557e+04,1.843209910064e+04,1.843210225310e+04,0.000000000000e+00,0.000000000000e+00,3.686444656521e+04,0.000000000000e+00,2.448918260052e-01,-3.196448087692e-04,-2.452114708140e-01,1.480483479099e-04
1000,3.686454039204e+04,3.686454039204e+04,1.843213428099e+04,1.843213250195e+04,0.000000000000e+00,0.000000000000e+00,3.686454045534e+04,0.000000000000e+00,2.736090997787e-01,-6.330013275146e-05,-2.736723999114e-01,4.881115819444e-05
1200,3.686462307639e+04,3.686462307639e+04,1.843217418434e+04,1.843217617394e+04,0.000000000000e+00,0.000000000000e+00,3.686462288141e+04,0.000000000000e+00,2.727181113150e-01,1.949816942215e-04,-2.725231296208e-01,6.689935980830e-05
1400,3.686470998362e+04,3.686470998362e+04,1.843221002814e+04,1.843220992022e+04,0.000000000000e+00,0.000000000000e+00,3.686471031970e+04,0.000000000000e+00,2.900352669531e-01,-3.360733389854e-04,-2.903713402920e-01,3.796765304287e-05
1600,3.686478373820e+04,3.686478373820e+04,1.843223332808e+04,1.843223413121e+04,0.000000000000e+00,0.000000000000e+00,3.686478386700e+04,0.000000000000e+00,3.162789174821e-01,-1.287981867790e-04,-3.164077156689e-01,1.349952617602e-05
1800,3.686486702981e+04,3.686486702981e+04,1.843225463382e+04,1.843225569383e+04,0.000000000000e+00,0.000000000000e+00,3.686486784071e+04,0.000000000000e+00,3.567021549243e-01,-8.108988404274e-04,-3.575130537647e-01,1.758146026987e-06
2000,3.686495015373e+04,3.686495015373e+04,1.843226022229e+04,1.843226637549e+04,0.000000000000e+00,0.000000000000e+00,3.686495048755e+04,0.000000000000e+00,4.235559428416e-01,-3.338232636452e-04,-4.238897661053e-01,1.634277964513e-06
2200,3.686500876801e+04,3.686500876801e+04,1.843226641852e+04,1.843227685917e+04,0.000000000000e+00,0.000000000000e+00,3.686500809884e+04,0.000000000000e+00,4.654903157934e-01,6.691664457321e-04,-4.648211493477e-01,2.018811528615e-06
2400,3.686507585117e+04,3.686507585117e+04,1.843226816258e+04,1.843227948009e+04,0.000000000000e+00,0.000000000000e+00,3.686507642776e+04,0.000000000000e+00,5.282085037761e-01,-5.765855312347e-04,-5.287850893073e-01,1.238646405000e-06
2600,3.686514468963e+04,3.686514468963e+04,1.843226828000e+04,1.843227908340e+04,0.000000000000e+00,0.000000000000e+00,3.686514432800e+04,0.000000000000e+00,5.973262357074e-01,3.616362810135e-04,-5.969645994264e-01,5.694072910956e-07
2800,3.686521835344e+04,3.686521835344e+04,1.843226835223e+04,1.843227763420e+04,0.000000000000e+00,0.000000000000e+00,3.686521779847e+04,0.000000000000e+00,6.723670191350e-01,5.549713969231e-04,-6.718120477381e-01,1.362505599900e-06
3000,3.686527462012e+04,3.686527462012e+04,1.843227367518e+04,1.843227993589e+04,0.000000000000e+00,0.000000000000e+00,3.686527495837e+04,0.000000000000e+00,7.210090462831e-01,-3.382563591003e-04,-7.213473026422e-01,1.186875010717e-06
3200,3.686535355518e+04,3.686535355518e+04,1.843227884926e+04,1.843228772374e+04,0.000000000000e+00,0.000000000000e+00,3.686535344708e+04,0.000000000000e+00,7.869821748391e-01,1.081004738808e-04,-7.868740743652e-01,1.168387825601e-06
3400,3.686544446981e+04,3.686544446981e+04,1.843228196400e+04,1.843229848334e+04,0.000000000000e+00,0.000000000000e+00,3.686544371593e+04,0.000000000000e+00,8.640224621340e-01,7.538795471191e-04,-8.632685825869e-01,1.848706801866e-06
3600,3.686553085232e+04,3.686553085232e+04,1.843228690690e+04,1.843230527528e+04,0.000000000000e+00,0.000000000000e+00,3.686553109276e+04,0.000000000000e+00,9.386701354088e-01,-2.404451370239e-04,-9.389105805458e-01,8.319157132064e-07
3800,3.686559430707e+04,3.686559430707e+04,1.843229681125e+04,1.843231139345e+04,0.000000000000e+00,0.000000000000e+00,3.686559487045e+04,0.000000000000e+00,9.861023741105e-01,-5.633756518364e-04,-9.866657497623e-01,1.318122258454e-06
4000,3.686566971097e+04,3.686566971097e+04,1.843230465960e+04,1.843232866558e+04,0.000000000000e+00,0.000000000000e+00,3.686566977584e+04,0.000000000000e+00,1.036385798594e+00,-6.487220525742e-05,-1.036450670799e+00,1.055604798239e-06
4200,3.686572290237e+04,3.686572290237e+04,1.843230486443e+04,1.843233840850e+04,0.000000000000e+00,0.000000000000e+00,3.686572234815e+04,0.000000000000e+00,1.079629439089e+00,5.542188882828e-04,-1.079075220201e+00,1.183162908092e-06
4400,3.686577179921e+04,3.686577179921e+04,1.843231840906e+04,1.843234887301e+04,0.000000000000e+00,0.000000000000e+00,3.686577199531e+04,0.000000000000e+00,1.104517148349e+00,-1.960918307304e-04,-1.104713240180e+00,1.636092747503e-06
4600,3.686580143666e+04,3.686580143666e+04,1.843231984212e+04,1.843236238695e+04,0.000000000000e+00,0.000000000000e+00,3.686580086887e+04,0.000000000000e+00,1.119207593336e+00,5.677938461304e-04,-1.118639799490e+00,1.000142674457e-06
4800,3.686583706001e+04,3.686583706001e+04,1.843231542548e+04,1.843235693137e+04,0.000000000000e+00,0.000000000000e+00,3.686583621103e+04,0.000000000000e+00,1.164703158676e+00,8.489862084389e-04,-1.163854172468e+00,1.081482309928e-06
5000,3.686590066243e+04,3.686590066243e+04,1.843231875649e+04,1.843235894608e+04,0.000000000000e+00,0.000000000000e+00,3.686590058684e+04,0.000000000000e+00,1.222959857740e+00,7.558614015579e-05,-1.222884271599e+00,1.290381192121e-06
5200,3.686599542362e+04,3.686599542362e+04,1.843232247942e+04,1.843236931749e+04,0.000000000000e+00,0.000000000000e+00,3.686599543440e+04,0.000000000000e+00,1.303626707500e+00,-1.078099012375e-05,-1.303637488490e+00,1.040805955199e-06
5400,3.686610254019e+04,3.686610254019e+04,1.843233658227e+04,1.843237470236e+04,0.000000000000e+00,0.000000000000e+00,3.686610188931e+04,0.000000000000e+00,1.391255554241e+00,6.508752703667e-04,-1.390604678971e+00,1.602800011824e-06
