step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
0,5.493164062500e-04,5.493164062500e-04,0.000000000000e+00,0.000000000000e+00,9.836196899414e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.660751342773e-03,8.336663246155e-03,0.000000000000e+00,nan
1,2.048850059509e-03,-2.660751342773e-03,-4.709601402283e-03,0.000000000000e+00,2.754509449005e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.684163093567e-04,4.262998700142e-03,0.000000000000e+00,0.000000000000e+00
2,5.403608083725e-04,3.684163093567e-04,-1.719444990158e-04,0.000000000000e+00,-1.762583851814e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.062909960747e-04,3.821605205303e-04,0.000000000000e+00,0.000000000000e+00
3,-1.805809733924e-05,6.062909960747e-04,6.243490934139e-04,0.000000000000e+00,-6.327778100967e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.779489874840e-04,3.755703655770e-04,0.000000000000e+00,0.000000000000e+00
4,-1.026406273013e-03,-5.779489874840e-04,4.484572855290e-04,0.000000000000e+00,6.302371621132e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.626329660416e-04,4.986072744941e-04,0.000000000000e+00,0.000000000000e+00
5,-8.947763853939e-04,2.626329660416e-04,1.157409351435e-03,0.000000000000e+00,-9.507685899734e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.017776370049e-04,-1.697806292213e-04,0.000000000000e+00,0.000000000000e+00
6,-8.200726151699e-04,-7.017776370049e-04,1.182949781651e-04,0.000000000000e+00,9.671077132225e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.728900432587e-04,1.735816476867e-05,0.000000000000e+00,0.000000000000e+00
7,1.296769332839e-04,5.728900432587e-04,4.432131099747e-04,0.000000000000e+00,-1.520439982414e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.307305932045e-04,2.763860247796e-04,0.000000000000e+00,0.000000000000e+00
8,-2.987530897371e-04,7.307305932045e-04,1.029483682942e-03,0.000000000000e+00,-2.319142222404e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.173334360123e-04,1.308507140493e-03,0.000000000000e+00,0.000000000000e+00
9,-1.839174452471e-03,-2.173334360123e-04,1.621841016458e-03,0.000000000000e+00,5.742236971855e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.713857054710e-04,4.077503399458e-05,0.000000000000e+00,0.000000000000e+00
10,-1.305725789280e-03,-1.713857054710e-04,1.134340083809e-03,0.000000000000e+00,5.248859524727e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.372779607773e-04,2.483412536094e-04,0.000000000000e+00,0.000000000000e+00
11,-1.029181090416e-03,6.372779607773e-04,1.666459051194e-03,0.000000000000e+00,-3.024712204933e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.756443858147e-04,6.407987748389e-04,0.000000000000e+00,0.000000000000e+00
12,-1.972451085749e-03,-8.756443858147e-04,1.096806699934e-03,0.000000000000e+00,1.469142735004e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.843754529953e-04,5.284541766741e-04,0.000000000000e+00,0.000000000000e+00
13,-1.031762527418e-03,-3.843754529953e-04,6.473870744230e-04,0.000000000000e+00,9.946450591087e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.307238221169e-04,1.453337928979e-03,0.000000000000e+00,0.000000000000e+00
14,-1.490455397288e-03,3.307238221169e-04,1.821179219405e-03,0.000000000000e+00,2.460107207298e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.033710479736e-04,4.833866405534e-04,0.000000000000e+00,0.000000000000e+00
15,-1.727831317112e-03,-2.033710479736e-04,1.524460269138e-03,0.000000000000e+00,7.191896438599e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.102447509766e-03,2.539075503591e-04,0.000000000000e+00,0.000000000000e+00
16,-1.262549223611e-03,1.102447509766e-03,2.364996733377e-03,0.000000000000e+00,-2.931579947472e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.760572195053e-05,9.689912694739e-04,0.000000000000e+00,0.000000000000e+00
17,-2.524698487832e-03,-1.760572195053e-05,2.507092765882e-03,0.000000000000e+00,5.359426140785e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.815574407578e-04,5.869745073142e-04,0.000000000000e+00,0.000000000000e+00
