step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
5400,2.880001258164e+04,2.880001258164e+04,1.920000775587e+04,9.599846239403e+03,0.000000000000e+00,0.000000000000e+00,2.880001258731e+04,0.000000000000e+00,1.585863711134e-01,-5.664303898811e-06,-1.585920354191e-01
5600,2.880001351288e+04,2.880001351288e+04,1.920000917055e+04,9.599840276215e+03,0.000000000000e+00,0.000000000000e+00,2.880001351696e+04,0.000000000000e+00,1.640661142410e-01,-4.084780812263e-06,-1.640701990218e-01
5800,2.880001457068e+04,2.880001457068e+04,1.920001009956e+04,9.599834152700e+03,0.000000000000e+00,0.000000000000e+00,2.880001457298e+04,0.000000000000e+00,1.703184204471e-01,-2.298504114151e-06,-1.703207189494e-01
6000,2.880001571810e+04,2.880001571810e+04,1.920001118229e+04,9.599828034448e+03,0.000000000000e+00,0.000000000000e+00,2.880001572573e+04,0.000000000000e+00,1.765013671720e-01,-7.631257176399e-06,-1.765089984292e-01
6200,2.880001669149e+04,2.880001669149e+04,1.920001204489e+04,9.599821875467e+03,0.000000000000e+00,0.000000000000e+00,2.880001670206e+04,0.000000000000e+00,1.827711385922e-01,-1.056492328644e-05,-1.827817035155e-01
6400,2.880001776426e+04,2.880001776426e+04,1.920001325354e+04,9.599815739460e+03,0.000000000000e+00,0.000000000000e+00,2.880001775992e+04,0.000000000000e+00,1.887712692005e-01,4.345551133156e-06,-1.887669236494e-01
6600,2.880001944140e+04,2.880001944140e+04,1.920001478521e+04,9.599809336837e+03,0.000000000000e+00,0.000000000000e+00,2.880001943976e+04,0.000000000000e+00,1.953193559093e-01,1.642853021622e-06,-1.953177130563e-01
6800,2.880002016911e+04,2.880002016911e+04,1.920001638508e+04,9.599802898218e+03,0.000000000000e+00,0.000000000000e+00,2.880002017289e+04,0.000000000000e+00,2.008858111058e-01,-3.784894943237e-06,-2.008895960025e-01
7000,2.880002109345e+04,2.880002109345e+04,1.920001808603e+04,9.599796378442e+03,0.000000000000e+00,0.000000000000e+00,2.880002109706e+04,0.000000000000e+00,2.066289775303e-01,-3.617256879807e-06,-2.066325947890e-01
7200,2.880002252395e+04,2.880002252395e+04,1.920002031559e+04,9.599789559113e+03,0.000000000000e+00,0.000000000000e+00,2.880002253026e+04,0.000000000000e+00,2.126492419848e-01,-6.310641765594e-06,-2.126555526265e-01
7400,2.880002464926e+04,2.880002464926e+04,1.920002282829e+04,9.599782536917e+03,0.000000000000e+00,0.000000000000e+00,2.880002465212e+04,0.000000000000e+00,2.192840537100e-01,-2.866610884666e-06,-2.192869203209e-01
7600,2.880002545655e+04,2.880002545655e+04,1.920002482176e+04,9.599775562357e+03,0.000000000000e+00,0.000000000000e+00,2.880002545244e+04,0.000000000000e+00,2.250724333644e-01,4.118308424950e-06,-2.250683150560e-01
7800,2.880002574363e+04,2.880002574363e+04,1.920002719195e+04,9.599768338833e+03,0.000000000000e+00,0.000000000000e+00,2.880002574944e+04,0.000000000000e+00,2.302128445590e-01,-5.818903446198e-06,-2.302186634624e-01
8000,2.880002544552e+04,2.880002544552e+04,1.920003002657e+04,9.599761174682e+03,0.000000000000e+00,0.000000000000e+00,2.880002543926e+04,0.000000000000e+00,2.342442646714e-01,6.254762411118e-06,-2.342380099071e-01
8200,2.880002582429e+04,2.880002582429e+04,1.920003275103e+04,9.599753554056e+03,0.000000000000e+00,0.000000000000e+00,2.880002583808e+04,0.000000000000e+00,2.395192052536e-01,-1.378357410431e-05,-2.395329888277e-01
8400,2.880002578812e+04,2.880002578812e+04,1.920003566562e+04,9.599745755934e+03,0.000000000000e+00,0.000000000000e+00,2.880002578247e+04,0.000000000000e+00,2.443665661995e-01,5.651265382767e-06,-2.443609149341e-01
8600,2.880002595472e+04,2.880002595472e+04,1.920003893449e+04,9.599737566828e+03,0.000000000000e+00,0.000000000000e+00,2.880002595335e+04,0.000000000000e+00,2.494534051020e-01,1.369044184685e-06,-2.494520360560e-01
8800,2.880002609993e+04,2.880002609993e+04,1.920004229389e+04,9.599729281791e+03,0.000000000000e+00,0.000000000000e+00,2.880002610415e+04,0.000000000000e+00,2.545242476299e-01,-4.226341843605e-06,-2.545284739717e-01
9000,2.880002696167e+04,2.880002696167e+04,1.920004605569e+04,9.599720698502e+03,0.000000000000e+00,0.000000000000e+00,2.880002696997e+04,0.000000000000e+00,2.602074762690e-01,-8.301809430122e-06,-2.602157780784e-01
9200,2.880002794758e+04,2.880002794758e+04,1.920004979596e+04,9.599712166340e+03,0.000000000000e+00,0.000000000000e+00,2.880002795458e+04,0.000000000000e+00,2.659852857068e-01,-6.997957825661e-06,-2.659922836647e-01
9400,2.880002928828e+04,2.880002928828e+04,1.920005356546e+04,9.599703186081e+03,0.000000000000e+00,0.000000000000e+00,2.880002928364e+04,0.000000000000e+00,2.725367395542e-01,4.637986421585e-06,-2.725321015678e-01
9600,2.880003046203e+04,2.880003046203e+04,1.920005808693e+04,9.599694379948e+03,0.000000000000e+00,0.000000000000e+00,2.880003045428e+04,0.000000000000e+00,2.779951477914e-01,7.752329111099e-06,-2.779873954642e-01
9800,2.880003141176e+04,2.880003141176e+04,1.920006203798e+04,9.599685279566e+03,0.000000000000e+00,0.000000000000e+00,2.880003140855e+04,0.000000000000e+00,2.840942150542e-01,3.211200237274e-06,-2.840910038540e-01
10000,2.880003227289e+04,2.880003227289e+04,1.920006618697e+04,9.599676286786e+03,0.000000000000e+00,0.000000000000e+00,2.880003227836e+04,0.000000000000e+00,2.897991323989e-01,-5.468726158142e-06,-2.898046011251e-01
10200,2.880003381821e+04,2.880003381821e+04,1.920007108461e+04,9.599667393447e+03,0.000000000000e+00,0.000000000000e+00,2.880003382182e+04,0.000000000000e+00,2.953401554842e-01,-3.613531589508e-06,-2.953437690157e-01
10400,2.880003521491e+04,2.880003521491e+04,1.920007615796e+04,9.599658644148e+03,0.000000000000e+00,0.000000000000e+00,2.880003519922e+04,0.000000000000e+00,3.004128028806e-01,1.568533480167e-05,-3.003971175458e-01
10600,2.880003567906e+04,2.880003567906e+04,1.920008101153e+04,9.599649632041e+03,0.000000000000e+00,0.000000000000e+00,2.880003569198e+04,0.000000000000e+00,3.050354974766e-01,-1.291185617447e-05,-3.050484093328e-01
10800,2.880003601864e+04,2.880003601864e+04,1.920008527657e+04,9.599640839088e+03,0.000000000000e+00,0.000000000000e+00,2.880003601050e+04,0.000000000000e+00,3.099029739133e-01,8.132308721542e-06,-3.098948416045e-01
11000,2.880003641469e+04,2.880003641469e+04,1.920008938938e+04,9.599632029072e+03,0.000000000000e+00,0.000000000000e+00,2.880003641278e+04,0.000000000000e+00,3.149962428542e-01,1.914799213409e-06,-3.149943280550e-01
11200,2.880003697915e+04,2.880003697915e+04,1.920009382679e+04,9.599623170826e+03,0.000000000000e+00,0.000000000000e+00,2.880003697050e+04,0.000000000000e+00,3.199815328589e-01,8.651986718178e-06,-3.199728808722e-01
11400,2.880003794766e+04,2.880003794766e+04,1.920009795660e+04,9.599614438974e+03,0.000000000000e+00,0.000000000000e+00,2.880003794974e+04,0.000000000000e+00,3.255520882667e-01,-2.082437276840e-06,-3.255541707040e-01
11600,2.880003832644e+04,2.880003832644e+04,1.920010241479e+04,9.599605824976e+03,0.000000000000e+00,0.000000000000e+00,2.880003831953e+04,0.000000000000e+00,3.300866716800e-01,6.910413503647e-06,-3.300797612683e-01
