x,psi_midslice
0,0.0
1,0.0
2,0.0
3,-1.0004746913909912
4,-1.0004650354385376
5,-1.0004762411117554
6,-1.0004876852035522
7,-1.0004570484161377
8,-1.0004405975341797
9,-1.0004775524139404
10,-1.0004987716674805
11,-1.000461220741272
12,-1.0004403591156006
13,-1.0004756450653076
14,-1.0004962682724
15,-1.000464916229248
16,-1.0004453659057617
17,-1.0004733800888062
18,-1.0004914999008179
19,-1.0004676580429077
20,-1.0004510879516602
21,-1.0004713535308838
22,-1.000486135482788
23,-1.0004701614379883
24,-1.000457525253296
25,-1.0004690885543823
26,-1.0004785060882568
27,-1.0004721879959106
28,-1.0004665851593018
29,-1.0004669427871704
30,-1.0004680156707764
31,-1.0004734992980957
32,-1.0004773139953613
33,-1.0004661083221436
34,-1.0004585981369019
35,-1.0004749298095703
36,-1.0004857778549194
37,-1.000464677810669
38,-1.000451683998108
39,-1.0004771947860718
40,-1.0004923343658447
41,-1.000461220741272
42,-1.0004456043243408
43,-1.0004810094833374
44,-1.0004990100860596
45,-1.0004560947418213
46,-1.000438928604126
47,-1.0004863739013672
48,-1.0005066394805908
49,-1.0004503726959229
50,-1.0004316568374634
51,-1.0004920959472656
52,-1.0005137920379639
53,-1.0004456043243408
54,-1.0004252195358276
55,-1.0004968643188477
56,-1.0005202293395996
57,-1.0004427433013916
58,-1.0004198551177979
59,-1.0005004405975342
60,-1.0005263090133667
61,-1.0004421472549438
62,-1.0004154443740845
63,-1.0005029439926147
64,-1.0005322694778442
65,-1.0004477500915527
66,-1.0004147291183472
67,-1.0005006790161133
68,-1.0005334615707397
69,-1.000463604927063
70,-1.0004322528839111
71,-1.0004936456680298
72,-1.0005195140838623
73,-1.0004724264144897
74,-1.0004520416259766
75,-1.0004934072494507
76,-1.0005128383636475
77,-1.0004851818084717
78,-1.0001275539398193
79,-0.9332314729690552
80,-0.594115674495697
81,-0.1702757179737091
82,0.08712828159332275
83,0.27910757064819336
84,0.44074249267578125
85,0.579546332359314
86,0.697356104850769
87,0.7959668040275574
88,0.8725711703300476
89,0.9291803240776062
90,0.9681860208511353
91,0.9869428873062134
92,0.9939104914665222
93,0.995362401008606
94,0.9964613914489746
95,0.9974092245101929
96,0.9981622695922852
97,0.9987425804138184
98,0.9991737604141235
99,0.9995033144950867
100,0.9997736811637878
101,0.9999791383743286
102,1.0000998973846436
103,1.0001513957977295
104,1.000178575515747
105,1.0002124309539795
106,1.0002362728118896
107,1.0002304315567017
108,1.0001883506774902
109,1.0001966953277588
110,1.0002483129501343
111,1.0002495050430298
112,1.0001847743988037
113,1.0001872777938843
114,1.000256896018982
115,1.000258207321167
116,1.0001806020736694
117,1.0001815557479858
118,1.0002622604370117
119,1.0002630949020386
120,1.0001776218414307
121,1.0001780986785889
122,1.0002652406692505
123,1.0002659559249878
124,1.000174880027771
125,1.0001754760742188
126,1.000267744064331
127,1.0002689361572266
128,1.0001704692840576
129,1.0001709461212158
130,1.0002706050872803
131,1.0002704858779907
132,1.0001716613769531
133,1.0001713037490845
134,1.0002686977386475
135,1.0002676248550415
136,1.0001757144927979
137,1.0001753568649292
138,1.000266671180725
139,1.000266432762146
140,1.0001766681671143
141,1.0001764297485352
142,1.0002663135528564
143,1.0002660751342773
144,1.0001766681671143
145,1.0001766681671143
146,1.0002660751342773
147,1.0002660751342773
148,1.0001766681671143
149,1.0001766681671143
150,1.0002660751342773
151,1.0002659559249878
152,1.0001766681671143
153,1.0001766681671143
154,1.0002658367156982
155,1.0002658367156982
156,1.0001766681671143
157,1.0001766681671143
158,1.0002658367156982
159,1.0002658367156982
160,1.0001766681671143
161,1.0001766681671143
162,1.0002658367156982
163,1.0002658367156982
164,1.0001765489578247
165,1.0001765489578247
166,1.0002658367156982
167,1.0002658367156982
168,1.0001765489578247
169,1.0001766681671143
170,1.0002658367156982
171,1.0002658367156982
172,1.0001765489578247
173,1.0001766681671143
174,1.0002658367156982
175,1.0002658367156982
176,1.0001765489578247
177,1.0001765489578247
178,1.0002658367156982
179,1.0002658367156982
180,1.0001765489578247
181,1.0001765489578247
182,1.0002658367156982
183,1.0002658367156982
184,1.0001766681671143
185,1.0001766681671143
186,1.0002660751342773
187,1.0002660751342773
188,1.0001764297485352
189,1.0001765489578247
190,1.0002660751342773
191,1.0002663135528564
192,1.0001764297485352
193,1.0001764297485352
194,1.0002663135528564
195,1.000266432762146
196,1.000176191329956
197,1.000176191329956
198,1.000266671180725
199,1.000266671180725
200,1.0001758337020874
201,1.0001758337020874
202,1.0002667903900146
203,1.000266671180725
204,1.0001757144927979
205,1.0001754760742188
206,1.000266432762146
207,1.0002663135528564
208,1.0001757144927979
209,1.0001752376556396
210,1.0002652406692505
211,1.0002648830413818
212,1.0001764297485352
213,1.0001747608184814
214,1.0002622604370117
215,1.000261902809143
216,1.0001800060272217
217,1.0001734495162964
218,1.0002517700195312
219,1.0002555847167969
220,1.0001983642578125
221,1.0001590251922607
222,1.000166654586792
223,1.0001204013824463
224,0.9999768137931824
225,0.999756932258606
226,0.9995000958442688
227,0.9991838335990906
228,0.998740553855896
229,0.9981476068496704
230,0.9974040985107422
231,0.9964643716812134
232,0.9953576922416687
233,0.9939054250717163
234,0.9869464039802551
235,0.9681878089904785
236,0.9291397333145142
237,0.8725568652153015
238,0.7960578799247742
239,0.6973782181739807
240,0.5795046091079712
241,0.44065552949905396
242,0.2789916396141052
243,0.08690877258777618
244,-0.17058303952217102
245,-0.5945595502853394
246,-0.9335107803344727
247,-1.0001322031021118
248,-1.0004832744598389
249,-1.0004901885986328
250,-1.0004727840423584
251,-1.0004732608795166
252,-1.0004709959030151
253,-1.000475525856018
254,-1.0004842281341553
255,-1.0004819631576538
256,-1.000455617904663
257,-1.0004627704620361
258,-1.0004991292953491
259,-1.0005013942718506
260,-1.0004364252090454
261,-1.000439167022705
262,-1.0005168914794922
263,-1.0005186796188354
264,-1.0004171133041382
265,-1.0004189014434814
266,-1.0005311965942383
267,-1.0005333423614502
268,-1.0003998279571533
269,-1.0004019737243652
270,-1.000544786453247
271,-1.0005477666854858
272,-1.0003855228424072
273,-1.0003868341445923
274,-1.0005552768707275
275,-1.0005571842193604
276,-1.0003767013549805
277,-1.0003772974014282
278,-1.0005605220794678
279,-1.0005611181259155
280,-1.0003721714019775
281,-1.0003725290298462
282,-1.0005627870559692
283,-1.0005626678466797
284,-1.0003703832626343
285,-1.0003702640533447
286,-1.000563383102417
287,-1.0005629062652588
288,-1.0003705024719238
289,-1.0003701448440552
290,-1.0005627870559692
291,-1.000562310218811
292,-1.0003705024719238
293,-1.0003702640533447
294,-1.000562310218811
295,-1.0005624294281006
296,-1.0003687143325806
297,-1.0003688335418701
298,-1.0005625486373901
299,-1.0005632638931274
300,-1.0003674030303955
301,-1.000367522239685
302,-1.0005624294281006
303,-1.0005626678466797
