t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
250,82.38305,242.61694,82.38306,7.6293945e-06,-80.11694,83.18859100341797,242.81141662597656,1.0000076293945312,7.10484164301306e-07
500,81.997955,243.00204,81.997955,0.0,-80.502045,83.18783569335938,242.8121795654297,1.0000152587890625,1.0473428604503473e-05
750,81.9505,243.04947,81.95053,3.0517578e-05,-80.549484,83.2140884399414,242.78590393066406,0.9999923706054688,1.8675800723334155e-05
1000,81.87673,243.1232,81.8768,6.866455e-05,-80.62323,83.23338317871094,242.76665496826172,1.0000381469726562,4.3481166164080304e-05
1250,81.82579,243.17412,81.82588,9.1552734e-05,-80.674164,83.1939697265625,242.8059310913086,0.9999008178710938,4.7853607684373854e-05
1500,81.87024,243.12967,81.87033,9.1552734e-05,-80.629715,83.2415771484375,242.7583465576172,0.9999237060546875,4.714430309832096e-05
1750,81.81809,243.18169,81.81831,0.00022125244,-80.68179,83.18793487548828,242.81195831298828,0.9998931884765625,4.8279594630002975e-05
2000,81.853714,243.14601,81.85399,0.0002746582,-80.64615,83.22203826904297,242.77780151367188,0.9998397827148438,5.055020873745283e-05
2250,81.82756,243.17204,81.82796,0.00039672852,-80.67224,83.19679260253906,242.80300903320312,0.9998016357421875,5.283139646053314e-05
2500,81.83132,243.16821,81.83179,0.00046539307,-80.66844,83.19912719726562,242.8006591796875,0.999786376953125,5.582160005966822e-05
2750,81.83444,243.16502,81.83498,0.0005340576,-80.66529,83.20274353027344,242.7969970703125,0.9997406005859375,5.759937067826589e-05
3000,81.81791,243.18156,81.818436,0.0005264282,-80.68182,83.18551635742188,242.81421661376953,0.9997329711914062,5.8575961738824844e-05
3250,81.83189,243.16756,81.83244,0.0005569458,-80.66783,83.19922637939453,242.80050659179688,0.9997329711914062,5.8832100282112755e-05
3500,81.81375,243.18567,81.81433,0.000579834,-80.68596,83.1811294555664,242.81859588623047,0.999725341796875,5.841739475727081e-05
3750,81.82312,243.17625,81.823746,0.00062561035,-80.67657,83.18990325927734,242.80978393554688,0.9996871948242188,5.9668918450673424e-05
4000,81.81378,243.18558,81.81442,0.00064086914,-80.6859,83.18072509765625,242.81893920898438,0.999664306640625,6.0509666800498964e-05
4250,81.8136,243.18573,81.81427,0.0006713867,-80.686066,83.18000793457031,242.81964874267578,0.9996566772460938,6.0872168590625126e-05
4500,81.813,243.1863,81.813705,0.0007019043,-80.686646,83.17955780029297,242.82007598876953,0.9996337890625,6.02240984638532e-05
4750,81.80658,243.19269,81.80731,0.0007324219,-80.693054,83.17288970947266,242.82672882080078,0.9996185302734375,6.065450608730316e-05
5000,81.8094,243.18983,81.810165,0.00076293945,-80.690216,83.17569732666016,242.8238983154297,0.9995956420898438,6.0848301897446316e-05
5250,81.80244,243.19678,81.80322,0.00078582764,-80.697174,83.16874694824219,242.8308334350586,0.9995803833007812,6.031746665636698e-05
5500,81.803925,243.19528,81.80472,0.00079345703,-80.69568,83.17008972167969,242.82947540283203,0.9995651245117188,5.980404714743296e-05
5750,81.79964,243.19952,81.800476,0.0008392334,-80.69994,83.16593933105469,242.8336181640625,0.9995574951171875,5.959855392575264e-05
6000,81.79823,243.20091,81.79909,0.0008544922,-80.70134,83.1644515991211,242.8350830078125,0.9995346069335938,5.98798505961895e-05
