t,m_r,m_b,eps_r,eps_b,umax,urms,rho_min,rho_max,E_psi
1000,38400.30219792362,38400.51474862572,7.869737594319303e-06,1.3404912128104721e-05,0.025472765788435936,0.0015452641528099775,0.8850938677787781,1.007091760635376,4.3481166164080304e-05
2000,38400.628819337086,38401.14529496469,1.6375503569937185e-05,2.9825389705517107e-05,0.025035034865140915,0.0015022120205685496,0.8885394930839539,1.00749671459198,5.055020873745283e-05
3000,38401.02835668947,38401.822330255935,2.6780122121673838e-05,4.745651708162768e-05,0.025089669972658157,0.001500911545008421,0.8879733681678772,1.0069499015808105,5.8575961738824844e-05
4000,38401.42576944302,38402.46841529972,3.712941257864107e-05,6.428164843024812e-05,0.025130165740847588,0.0014978601830080152,0.8880195021629333,1.0071181058883667,6.0509666800498964e-05
5000,38401.78822457558,38403.07000485581,4.656834832246659e-05,7.994804311996025e-05,0.02514534629881382,0.001500438549555838,0.8880806565284729,1.0071049928665161,6.0848301897446316e-05
6000,38402.11977298947,38403.658896021414,5.5202421600786994e-05,9.528375055765536e-05,0.025156689807772636,0.0015010407660156488,0.8884460926055908,1.0071239471435547,5.98798505961895e-05
7000,38402.41878847101,38404.24104468616,6.298928309926547e-05,0.00011044387203545132,0.025171183049678802,0.001501124002970755,0.8886775970458984,1.007132887840271,6.0963692764441175e-05
8000,38402.7029414533,38404.819767198846,7.038910034642261e-05,0.00012551477080326853,0.02518252469599247,0.0015016193501651287,0.8888616561889648,1.0071511268615723,6.096687167882919e-05
9000,38402.987471497014,38405.38884242225,7.779873690139993e-05,0.00014033443807951091,0.02519836835563183,0.0015020796563476324,0.8890532851219177,1.0071648359298706,6.154053534070651e-05
10000,38403.262071764206,38405.970854838444,8.49497855261916e-05,0.000155491011417818,0.025284966453909874,0.001501905731856823,0.88933265209198,1.0071873664855957,6.227662786841393e-05
11000,38403.533773459545,38406.554009188476,9.202535050898557e-05,0.00017067732261655995,0.025202838703989983,0.0015014167875051498,0.8895459771156311,1.0071873664855957,6.742101162672042e-05
12000,38403.79955742707,38407.13351383443,9.894680799656423e-05,0.0001857685894382636,0.025225982069969177,0.001501781982369721,0.8898031711578369,1.0074055194854736,6.805568312605222e-05
13000,38404.0640723381,38407.710039941376,0.00010583521713802687,0.00020078229013999286,0.025261422619223595,0.0015012950170785189,0.8900091648101807,1.0072135925292969,6.998755037784576e-05
14000,38404.33103883289,38408.27905104053,0.00011278746960651157,0.0002156002875138559,0.025330128148198128,0.0015016869874671102,0.8902449011802673,1.0071792602539062,6.715117643276851e-05
15000,38404.59439568817,38408.843485809775,0.00011964572104602666,0.00023029910962956516,0.02529238909482956,0.0015014511300250888,0.8904086947441101,1.0074442625045776,6.88255081574122e-05
16000,38404.85974861078,38409.406466956876,0.00012655595340580324,0.00024496007700198184,0.025186097249388695,0.001500911545008421,0.8905681371688843,1.007609248161316,6.777694448828697e-05
17000,38405.12471784278,38409.96966945608,0.0001334561938224018,0.0002596268087520078,0.025333363562822342,0.0015015045646578074,0.8904827833175659,1.007415771484375,6.60259152452151e-05
18000,38405.385116185775,38410.53787747125,0.00014023740067121556,0.00027442389248051314,0.025211511179804802,0.0015019262209534645,0.8904100656509399,1.0074043273925781,6.85184138516585e-05
19000,38405.64617775699,38411.10506754825,0.00014703587908835894,0.00028919446740227763,0.02527310885488987,0.0015015298267826438,0.8903359770774841,1.0076099634170532,7.077345003684361e-05
20000,38405.90451898409,38411.66793986333,0.00015376351521069863,0.0003038526006074941,0.025361381471157074,0.0015017461264505982,0.8902716636657715,1.0076396465301514,7.056746010979017e-05
21000,38406.16173288954,38412.2276221203,0.00016046179399836546,0.00031842765938279173,0.025251585990190506,0.0015008895425125957,0.8902121782302856,1.0076024532318115,7.492378354072571e-05
22000,38406.41561035705,38412.787665132506,0.00016707318638149596,0.0003330121128256754,0.025233827531337738,0.0015012235380709171,0.8901588916778564,1.007643222808838,7.289407774806022e-05
23000,38406.67084191986,38413.34066903607,0.0001737198416630766,0.00034741325614769873,0.025252435356378555,0.0015011286595836282,0.890110433101654,1.0076591968536377,7.245946675539016e-05
24000,38406.91987105189,38413.89053563475,0.000180204975309645,0.00036173269882169737,0.025250423699617386,0.0015024772146716714,0.8900673985481262,1.0075485706329346,7.622780899206797e-05
25000,38407.17087030607,38414.439437537905,0.00018674141422062954,0.00037602701921628066,0.025245146825909615,0.0015025713946670294,0.8900296092033386,1.0076390504837036,7.571037858724594e-05
26000,38407.42030063834,38414.98811336554,0.0001932369957900922,0.0003903154522276964,0.025308020412921906,0.0015019731363281608,0.8899940252304077,1.0076502561569214,7.48072440425555e-05
27000,38407.66951598456,38415.53173741084,0.0001997269787646398,0.00040447232840733704,0.025435209274291992,0.001502897939644754,0.8899653553962708,1.0076626539230347,7.345643515388171e-05
28000,38407.93371314964,38416.06625918719,0.00020660711327195714,0.0004183921663330163,0.02543436549603939,0.0015034079551696777,0.8899473547935486,1.0076860189437866,7.519768550992011e-05
29000,38408.21821559014,38416.60056177299,0.00021401603099320708,0.00043230629617160805,0.02519768849015236,0.0015024443855509162,0.8899279832839966,1.0076295137405396,7.318169499437015e-05
30000,38408.49531239699,38417.128133049904,0.00022123209367161205,0.0004460451315079202,0.025259776040911674,0.0015023373998701572,0.8899072408676147,1.0077122449874878,7.750807950894038e-05
31000,38408.75208443592,38417.64254247825,0.00022791886551866962,0.0004594412103710965,0.02519073151051998,0.0015010812785476446,0.8898963332176208,1.0076195001602173,7.13973119854927e-05
32000,38409.007300488694,38418.1420588147,0.00023456511689308476,0.00047244944829950933,0.025163274258375168,0.0015026265755295753,0.8898952007293701,1.0076457262039185,7.234013949831327e-05
33000,38409.26083546333,38418.636160958085,0.00024116759019079836,0.00048531669161680686,0.02518509514629841,0.0015029774513095617,0.8899251222610474,1.0077043771743774,7.813120260834694e-05
34000,38409.512555816385,38419.124559448814,0.00024772280771837057,0.000498035402312856,0.0251820869743824,0.0015027296030893922,0.8899888396263123,1.0077145099639893,7.860679179430007e-05
35000,38409.76935273552,38419.59404423757,0.0002544102274875589,0.000510261568686777,0.025173120200634003,0.001502451254054904,0.8900426030158997,1.0076719522476196,7.065556943416595e-05
36000,38410.029590318845,38420.03320023443,0.0002611872478865962,0.0005216979227715986,0.02517218142747879,0.0015020244754850864,0.8900912404060364,1.0076875686645508,7.76102083424727e-05
37000,38410.292176968294,38420.44368071853,0.0002680254418826659,0.00053238751871163,0.025174301117658615,0.0015017419354990125,0.8901259899139404,1.007704257965088,7.952164858579636e-05
38000,38410.54986947246,38420.82736983754,0.00027473618417862627,0.0005423794228526427,0.025176702067255974,0.0015024085296317935,0.8901564478874207,1.0077197551727295,7.600778713822365e-05
39000,38410.807304663394,38421.16853987189,0.0002814402256092308,0.0005512640591638274,0.025229699909687042,0.0015020343707874417,0.8901899456977844,1.007736086845398,7.363438606262208e-05
40000,38411.06385017376,38421.478136477555,0.0002881210982750796,0.0005593264707696714,0.02521691285073757,0.0015020373975858092,0.8902277946472168,1.0078105926513672,7.407764593760172e-05
41000,38411.32037487384,38421.75917951697,0.00029480142900619436,0.0005666452999211439,0.025246091187000275,0.0015020393766462803,0.8902720808982849,1.0077961683273315,7.44414267440637e-05
42000,38411.57631979699,38422.016053413376,0.00030146666138004244,0.0005733347243066571,0.025134749710559845,0.0015026020118966699,0.8903070092201233,1.007836103439331,7.335516934593519e-05
43000,38411.83442377551,38422.25236636671,0.00030818811915385896,0.0005794887074663772,0.025289472192525864,0.0015023647574707866,0.8903467655181885,1.007851243019104,8.052724103132883e-05
44000,38412.089642140825,38422.47625658124,0.00031483443075065525,0.0005853191818031671,0.025207025930285454,0.0015030018985271454,0.8903887271881104,1.007869839668274,7.707230746746063e-05
45000,38412.34538127286,38422.693074997194,0.00032149430398078496,0.0005909654947186027,0.02529165707528591,0.0015017862897366285,0.8904271125793457,1.0078121423721313,7.192199428876241e-05
46000,38412.604631268274,38422.90539131098,0.00032824560594463037,0.0005964945653901547,0.025158343836665154,0.0015015731332823634,0.8904527425765991,1.007869839668274,7.463765641053518e-05
47000,38412.86594627284,38423.11396703653,0.0003350506841885211,0.0006019262249096376,0.025179464370012283,0.0015028490452095866,0.8904953002929688,1.0079071521759033,7.689926773309708e-05
48000,38413.122852477965,38423.32467744386,0.0003417409499470144,0.0006074134751005052,0.025134917348623276,0.0015028784982860088,0.8905223608016968,1.0079272985458374,7.855478053291638e-05
49000,38413.37881541103,38423.5324723926,0.0003484066513289008,0.0006128248018906864,0.02522006817162037,0.0015018193516880274,0.890557050704956,1.0079162120819092,7.545963550607364e-05
50000,38413.63557671151,38423.73847078874,0.00035509314352888546,0.0006181893434567579,0.025210339576005936,0.001502681989222765,0.8905845880508423,1.0079537630081177,8.005174497763315e-05
51000,38413.88960953552,38423.94709441965,0.0003617085816542461,0.0006236222505117439,0.02524755522608757,0.0015030414797365665,0.8906084299087524,1.0079463720321655,7.626105099916457e-05
52000,38414.14407652409,38424.15704176272,0.0003683353261482125,0.0006290896292375692,0.02521374821662903,0.0015033396193757653,0.8906428813934326,1.0079503059387207,8.335426449775696e-05
53000,38414.398932387165,38424.36565891039,0.0003749721975824135,0.0006345223674581272,0.025262711569666862,0.0015015356475487351,0.8906667828559875,1.0078678131103516,7.43072604139646e-05
54000,38414.65161267774,38424.57668871227,0.0003815524134828744,0.0006400179352154586,0.02517080307006836,0.0015018631238490343,0.8906987905502319,1.0078668594360352,7.589767997463544e-05
55000,38414.90560531638,38424.78948196804,0.0003881668051140726,0.0006455594262509597,0.025241201743483543,0.0015023634769022465,0.8907256126403809,1.0080326795578003,7.855939368406932e-05
56000,38415.15800400359,38425.00125678178,0.0003947396875935283,0.0006510743953589326,0.02526220679283142,0.0015021093422546983,0.8907522559165955,1.0080196857452393,7.434273759524027e-05
57000,38415.40803208697,38425.209513008354,0.0004012508355981481,0.0006564977345925627,0.02523295022547245,0.0015024865278974175,0.8907760381698608,1.0080448389053345,7.746198525031408e-05
58000,38415.658213292365,38425.41887027823,0.00040776597115533755,0.0006619497468288197,0.02517917938530445,0.0015035293763503432,0.8908119201660156,1.0080349445343018,7.86672035853068e-05
59000,38415.90622106243,38425.62903445576,0.0004142245068341784,0.0006674227722853251,0.02520890161395073,0.001503161620348692,0.890828013420105,1.0080504417419434,7.441483438014985e-05
60000,38416.15678905689,38425.84381447999,0.00042074971502321055,0.0006730160020830075,0.025364425033330917,0.0015028598718345165,0.8908601999282837,1.0080703496932983,7.581067581971487e-05
