h,Pc_static,C_static,theta_static_deg,convergence,Pc_thr085,Pc_thr095
26,0.0036906301975250244,0.790154686558388,37.80003045804386,"Pc stationary at 19250 (rel drift 8.5e-04 < 0.001 over last 10 blocks; umax floor 2.52e-02 recorded separately, not gated)",0.0036906301975250244,0.0036987662315368652
40,0.0022809207439422607,0.7512914176357908,41.2976313659712,"Pc stationary at 12750 (rel drift 9.4e-04 < 0.001 over last 10 blocks; umax floor 2.51e-02 recorded separately, not gated)",0.0022809207439422607,0.0022887885570526123
60,0.001633375883102417,0.8070038948134471,36.19577174912399,"Pc stationary at 12000 (rel drift 3.6e-04 < 0.001 over last 10 blocks; umax floor 2.58e-02 recorded separately, not gated)",0.0016219913959503174,0.001633375883102417
80,0.0011891722679138184,0.7833809406546893,38.42881795279674,"Pc stationary at 13000 (rel drift -5.0e-05 < 0.001 over last 10 blocks; umax floor 2.53e-02 recorded separately, not gated)",0.0011891722679138184,0.001203775405883789
