h,validity_variant,estimator,Pc_short,Pc_long,a_h,gate_|a-1|<=0.10
26,V0_base_12col,median,0.0029099276673110186,0.0030628637204128673,1.038877248025161,True
26,V0_base_12col,mean,0.0028844949133730725,0.003060847012071336,1.0494850552712813,True
26,V1_window_x,median,0.0028998048082456984,0.0030628637204128673,1.043737859078651,True
26,V1_window_x,mean,0.0028759815701426723,0.0030621018420879,1.054570893828914,True
26,V2_positional,median,0.00290068653459169,0.0030628637204128673,1.04331448769752,True
26,V2_positional,mean,0.0028853780648662817,0.0030621018420879,1.050059055244288,True
26,V3_gradient,median,0.0029099276673110186,0.0030628637204128673,1.038877248025161,True
26,V3_gradient,mean,0.002899335777911026,0.0030621018420879,1.0433570934893182,True
26,V3_r2_090,median,0.0029225255700318087,0.0030628637204128673,1.032828215353626,True
26,V3_r2_090,mean,0.0029226561390540955,0.0030621018420879,1.0321595450089964,True
40,V0_base_12col,median,0.001778059809220106,0.0019350176059576008,1.0747562048045431,True
40,V0_base_12col,mean,0.001750311741574628,0.0019384260010191416,1.1078816237632318,False
40,V1_window_x,median,0.001766720808025285,0.0019337956284702362,1.0844101915925053,True
40,V1_window_x,mean,0.0017359053192259027,0.0019354489509339635,1.1180321077041278,False
40,V2_positional,median,0.001773751276431229,0.0019337956284702362,1.0772995102532077,True
40,V2_positional,mean,0.0017644874740495803,0.0019354489509339635,1.0891238496469837,True
40,V3_gradient,median,0.0017926861586119447,0.0019337956284702362,1.058148593755187,True
40,V3_gradient,mean,0.0017776846479737789,0.0019354489509339635,1.0757761048118144,True
40,V3_r2_090,median,0.0018113830347749882,0.0019337956284702362,1.039238398764011,True
40,V3_r2_090,mean,0.0018113830347749882,0.0019354489509339635,1.0416932419986924,True
