step,x_vol
500,41.146237
1000,42.568162
1500,43.713945
2000,44.765168
2500,45.998532
3000,47.25369
3500,48.483051
4000,49.707617
4500,50.939998
5000,52.17786
5500,53.409906
6000,54.643423
6500,55.876396
7000,57.113466
7500,58.348677
8000,59.582041
8500,60.81876
9000,62.054024
9500,63.29152
10000,64.525729
10500,65.763747
11000,66.998673
11500,68.237061
12000,69.471104
12500,70.710794
13000,71.94776
13500,73.18596
14000,74.422482
14500,75.661402
15000,76.900541
15500,78.13804
16000,79.375952
