x,rho_col,rho_mid,psi_col,vx_col,vm_mid
96,0.99728239,0.99725944,-1.0003047,0.0039015184,0.0057555642
97,0.9972626,0.99722707,-1.0003098,0.0038999964,0.0057287556
98,0.99724621,0.99720001,-1.0003128,0.0038957626,0.0056921355
99,0.99723423,0.99717164,-1.0003158,0.0038899356,0.0056405324
100,0.99722582,0.99714518,-1.0003204,0.0038806461,0.005568
101,0.99722213,0.99712873,-1.0003181,0.0038702404,0.0054680225
102,0.99722171,0.99712151,-1.000324,0.003855295,0.0053373543
103,0.99722576,0.99711388,-1.0003167,0.0038413077,0.0051683858
104,0.99722767,0.99710524,-1.0003189,0.0038235516,0.004947043
105,0.99722397,0.99710453,-1.0003078,0.0038154195,0.0046621249
106,0.99720871,0.9971149,-1.0003043,0.0038028455,0.0043023354
107,0.99717927,0.9971351,-1.0002887,0.0038098081,0.0038494878
108,0.99713898,0.99716681,-1.0002818,0.0038000047,0.0032885091
109,0.99708599,0.9972316,-1.0002607,0.0038199474,0.002620717
110,0.99702543,0.99735433,-1.0002536,0.0038033838,0.0018716453
111,0.99677354,0.99705935,-1.0002217,0.0038278752,0.0011191762
112,0.97679627,0.93971276,-0.99796569,0.0038068609,0.0011659788
113,0.94218296,0.88345528,-0.66653442,0.0038418232,0.0022074885
114,0.9381395,0.94279331,-0.081750415,0.0037946086,0.0029956107
115,0.95756787,1.0039388,0.33031172,0.0038291514,0.0033436769
116,0.9721483,1.0062861,0.60359627,0.003827296,0.0035734116
117,0.98111981,1.0061876,0.79320776,0.0037785536,0.0041270303
118,0.99065244,1.0061127,0.91105592,0.0038062506,0.0047683287
119,0.99819475,1.0060431,0.97731107,0.0037146562,0.0054467437
120,1.0031013,1.0059679,0.99140704,0.0037691151,0.0060962765
121,1.0043564,1.0058874,0.99296355,0.0037717032,0.0066368864
122,1.0049292,1.0058047,0.99401945,0.0038031559,0.0070355404
123,1.0051925,1.0057236,0.99509901,0.0037780851,0.0072696796
124,1.0053287,1.0056489,0.99603271,0.0037921141,0.0073591233
125,1.0053961,1.0055841,0.99677569,0.0037676555,0.0073251766
126,1.005427,1.0055338,0.99735928,0.0037658582,0.0072120586
127,1.0054322,1.0054985,0.99782246,0.003742011,0.0070471368
128,1.0054302,1.0054762,0.99819732,0.0037344766,0.0068664853
129,1.0054291,1.0054646,0.99850553,0.0037218309,0.0066825803
130,1.0054369,1.0054612,0.99876267,0.0037255364,0.0065160221
131,1.0054514,1.0054653,0.99897963,0.0037301106,0.006366916
132,1.0054698,1.0054761,0.99916369,0.0037449552,0.006245424
133,1.0054877,1.0054909,0.99932009,0.0037571902,0.0061443183
134,1.0055039,1.005506,0.99945325,0.0037743861,0.0060670441
135,1.0055176,1.0055174,0.99956572,0.0037874817,0.0060034557
136,1.0055277,1.0055226,0.99966067,0.003803354,0.0059550502
137,1.0055325,1.0055212,0.99973983,0.0038140581,0.00591368
138,1.0055312,1.0055144,0.99980533,0.0038251514,0.005881656
139,1.0055237,1.0055038,0.99985874,0.0038307912,0.0058542048
140,1.0055114,1.0054913,0.99990177,0.0038363184,0.0058335015
141,1.0054951,1.005478,0.99993563,0.0038382991,0.0058166119
142,1.005477,1.0054646,0.99996138,0.003840788,0.0058043306
143,1.0054572,1.005451,0.99997985,0.0038417578,0.0057950336
144,1.0054368,1.0054376,0.99999285,0.0038432335,0.0057882667
145,1.005416,1.005424,1.0000008,0.0038444679,0.0057841083
146,1.0053949,1.005411,1.0000054,0.0038456274,0.0057808855
147,1.0053738,1.005398,1.0000074,0.0038474821,0.0057802685
148,1.0053529,1.0053852,1.0000082,0.0038485336,0.005779502
149,1.0053316,1.0053723,1.0000081,0.0038510179,0.0057815262
150,1.0053107,1.0053596,1.0000085,0.0038519138,0.005782146
151,1.0052897,1.0053468,1.0000083,0.0038548533,0.0057857176
152,1.0052689,1.0053335,1.0000085,0.0038554936,0.0057871193
153,1.0052482,1.0053201,1.0000085,0.0038587397,0.0057916469
154,1.0052276,1.0053061,1.0000085,0.0038590722,0.0057931477
155,1.0052072,1.0052917,1.0000085,0.0038624038,0.0057979329
156,1.0051867,1.0052766,1.0000087,0.0038623291,0.005799077
157,1.0051663,1.0052599,1.0000086,0.0038656332,0.0058036493
158,1.0051461,1.0052426,1.0000088,0.0038651282,0.0058040638
159,1.0051262,1.0052243,1.0000088,0.0038683258,0.005808081
160,1.0051063,1.0052044,1.0000088,0.0038674374,0.0058075585
161,1.0050864,1.0051835,1.0000089,0.0038704704,0.0058106738
162,1.0050668,1.0051614,1.0000089,0.0038692488,0.0058091055
163,1.0050472,1.0051382,1.0000089,0.0038721031,0.0058113765
164,1.0050278,1.0051137,1.0000089,0.0038705815,0.0058087939
165,1.0050083,1.0050881,1.0000089,0.0038732314,0.0058102007
166,1.0049888,1.0050614,1.0000091,0.0038714532,0.0058067213
167,1.0049695,1.0050342,1.0000091,0.0038738672,0.0058072028
168,1.0049497,1.0050058,1.0000091,0.0038718497,0.0058029019
169,1.0049301,1.0049769,1.0000091,0.0038739985,0.00580265
170,1.0049106,1.0049473,1.0000092,0.0038718458,0.0057978071
171,1.0048909,1.0049179,1.0000092,0.0038738479,0.0057971361
172,1.0048711,1.0048884,1.0000093,0.0038716809,0.00579214
173,1.0048515,1.0048591,1.0000094,0.0038736325,0.0057914378
174,1.0048318,1.0048307,1.0000094,0.0038715762,0.0057867016
175,1.004812,1.0048031,1.0000094,0.0038735615,0.0057863677
176,1.0047926,1.0047765,1.0000094,0.0038717298,0.005782437
177,1.004773,1.0047513,1.0000094,0.0038737899,0.005782939
178,1.0047535,1.0047277,1.0000095,0.0038721974,0.0057801087
179,1.0047342,1.0047057,1.0000095,0.0038743257,0.0057817018
180,1.0047146,1.0046849,1.0000095,0.0038729329,0.00578016
181,1.0046951,1.0046662,1.0000095,0.0038750875,0.0057828762
182,1.0046757,1.0046488,1.0000095,0.0038738893,0.0057826871
183,1.0046563,1.0046327,1.0000095,0.0038759953,0.0057864338
184,1.0046368,1.0046178,1.0000095,0.0038748889,0.0057873172
185,1.0046173,1.0046037,1.0000095,0.003876871,0.0057917498
186,1.0045974,1.0045899,1.0000095,0.0038757746,0.0057931957
187,1.0045779,1.0045758,1.0000095,0.0038775592,0.00579764
188,1.0045581,1.0045615,1.0000097,0.003876437,0.0057989238
