x,psi,rho,vx,vm
155,1.0000077,1.0052639,0.0057509881,0.0057509881
156,1.0000079,1.005244,0.0057492033,0.0057492033
157,1.0000044,1.0052251,0.0057504396,0.0057504396
158,1.0000048,1.0052067,0.0057495018,0.0057495018
159,1.0000076,1.0051887,0.0057514817,0.0057514817
160,1.0000076,1.0051712,0.0057510557,0.0057510557
161,1.0000044,1.0051541,0.0057533546,0.0057533546
162,1.0000045,1.0051367,0.0057531986,0.0057531986
163,1.0000076,1.0051191,0.0057556233,0.0057556233
164,1.0000074,1.005101,0.0057555013,0.0057555013
165,1.0000042,1.0050826,0.0057578357,0.0057578357
166,1.0000045,1.0050639,0.0057577505,0.0057577505
167,1.0000074,1.0050448,0.0057601277,0.0057601277
168,1.0000074,1.0050256,0.0057602953,0.0057602953
169,1.0000043,1.0050063,0.0057630581,0.0057630581
170,1.0000043,1.0049871,0.0057638171,0.0057638171
171,1.0000073,1.004968,0.0057672313,0.0057672313
172,1.0000073,1.0049493,0.0057687415,0.0057687415
173,1.0000042,1.0049316,0.005772966,0.005772966
174,1.0000043,1.0049134,0.0057753404,0.0057753404
175,1.000007,1.0048958,0.0057799905,0.0057799905
176,1.0000072,1.0048779,0.0057826512,0.0057826512
177,1.0000043,1.0048599,0.0057872389,0.0057872389
178,1.0000041,1.0048409,0.0057894802,0.0057894802
179,1.000007,1.0048206,0.005793069,0.005793069
180,1.000007,1.0047991,0.0057938788,0.0057938788
181,1.0000041,1.004776,0.0057956362,0.0057956362
182,1.0000041,1.0047506,0.005794262,0.005794262
183,1.0000072,1.0047231,0.0057932902,0.0057932902
184,1.0000072,1.004693,0.0057891659,0.0057891659
185,1.0000041,1.0046607,0.0057853325,0.0057853325
186,1.0000041,1.0046265,0.0057785749,0.0057785749
187,1.0000069,1.0045907,0.0057723154,0.0057723154
188,1.0000068,1.0045534,0.0057634627,0.0057634627
189,1.0000041,1.0045156,0.0057556005,0.0057556005
190,1.0000041,1.0044773,0.0057458924,0.0057458924
191,1.0000069,1.0044391,0.0057376414,0.0057376414
192,1.0000069,1.0044018,0.0057282038,0.0057282038
193,1.0000041,1.0043659,0.0057206582,0.0057206582
194,1.0000041,1.0043314,0.0057125427,0.0057125427
195,1.0000069,1.0042986,0.0057065827,0.0057065827
196,1.0000069,1.0042673,0.005700367,0.005700367
197,1.0000041,1.0042382,0.0056963018,0.0056963018
198,1.0000043,1.0042105,0.0056920708,0.0056920708
199,1.0000068,1.0041845,0.0056898287,0.0056898287
200,1.0000069,1.0041599,0.0056872098,0.0056872098
201,1.0000043,1.0041369,0.0056864554,0.0056864554
202,1.0000043,1.0041146,0.0056852424,0.0056852424
203,1.0000068,1.0040933,0.0056855134,0.0056855134
204,1.0000069,1.0040724,0.0056852438,0.0056852438
205,1.0000045,1.0040526,0.0056861923,0.0056861923
206,1.0000045,1.0040329,0.0056866123,0.0056866123
207,1.0000068,1.0040137,0.0056880419,0.0056880419
208,1.0000069,1.0039948,0.0056888089,0.0056888089
209,1.0000045,1.0039761,0.0056906166,0.0056906166
210,1.0000048,1.0039575,0.005691729,0.005691729
211,1.0000069,1.003939,0.0056937523,0.0056937523
212,1.0000069,1.0039212,0.0056951712,0.0056951712
213,1.0000048,1.0039027,0.0056973356,0.0056973356
214,1.0000046,1.0038848,0.0056988993,0.0056988993
215,1.0000069,1.003867,0.0057011228,0.0057011228
216,1.0000069,1.003849,0.0057028299,0.0057028299
217,1.0000048,1.0038313,0.0057050423,0.0057050423
218,1.0000048,1.0038131,0.0057067801,0.0057067801
219,1.0000069,1.0037954,0.0057090037,0.0057090037
220,1.0000068,1.0037774,0.0057107243,0.0057107243
221,1.0000048,1.0037589,0.0057128021,0.0057128021
222,1.0000046,1.0037407,0.00571424,0.00571424
223,1.0000069,1.0037223,0.0057161856,0.0057161856
224,1.0000069,1.0037037,0.0057176128,0.0057176128
225,1.000005,1.0036848,0.005719265,0.005719265
226,1.0000052,1.0036657,0.0057204254,0.0057204254
227,1.0000069,1.0036469,0.0057218582,0.0057218582
228,1.0000069,1.0036277,0.005722777,0.005722777
229,1.0000054,1.003608,0.0057238541,0.0057238541
230,1.0000057,1.0035886,0.0057244808,0.0057244808
231,1.0000072,1.0035689,0.005725252,0.005725252
232,1.0000069,1.0035492,0.0057255551,0.0057255551
233,1.0000057,1.0035291,0.0057259579,0.0057259579
234,1.0000057,1.0035092,0.0057258098,0.0057258098
235,1.0000069,1.0034893,0.0057255724,0.0057255724
236,1.0000067,1.0034691,0.0057246741,0.0057246741
237,1.000006,1.0034488,0.0057233344,0.0057233344
238,1.0000058,1.0034289,0.0057209288,0.0057209292
239,1.0000067,1.0034093,0.005717685,0.0057176854
240,1.0000067,1.0033898,0.0057126442,0.0057126451
241,1.0000062,1.0033705,0.0057056649,0.0057056663
