x,Req_r,R_r,dacc_r,net_r,cc,chi
0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3,-1.621767454629e-12,-1.621767454629e-12,-4.044193271331e-14,1.737634509324e-08,0.000000000000e+00,-9.404385847791e-05
4,-2.291860743055e-12,-7.851277875623e-14,7.417455337545e-14,1.672743973609e-08,2.786677945719e-05,-9.162870472883e-05
5,-8.200486988336e-13,-1.826150545539e-13,1.154375814042e-13,1.677261295391e-08,3.633290208196e-05,-9.087007892034e-05
6,-1.253901974200e-12,-5.686300760499e-14,-5.576911794861e-14,1.657441066198e-08,3.516273659426e-05,-9.175010362278e-05
7,-1.537109891865e-12,-2.522915676129e-13,2.134574512542e-13,1.549116194034e-08,3.521624099544e-05,-9.186025155595e-05
8,-1.193897155052e-12,-9.076997563658e-14,6.801386176531e-14,1.507571233969e-08,3.625804265127e-05,-9.136908466609e-05
9,-1.397349225057e-12,-1.037242849733e-13,6.969529560459e-14,1.476717153454e-08,3.672609694238e-05,-9.192613558052e-05
10,-1.101650172052e-12,-2.516553724305e-13,9.810493059752e-14,1.384922578164e-08,3.612957127923e-05,-9.149502844660e-05
11,-1.504466116904e-12,-2.079811616369e-13,1.152597689286e-13,1.299098440158e-08,3.659177152861e-05,-9.199202153351e-05
12,-1.447128407444e-12,-2.242191386263e-13,9.272448087756e-14,1.186110694107e-08,3.608173739694e-05,-9.173622956415e-05
13,-1.292631702160e-12,-1.634742653870e-13,1.401331776187e-13,1.126076596478e-08,3.649841310980e-05,-9.178512911386e-05
14,-1.217890844534e-12,1.195747531787e-14,5.104354776954e-14,1.005636299258e-08,3.593383830018e-05,-9.205992885068e-05
15,-1.356518762053e-12,-1.691482258802e-13,1.882043327293e-14,8.285412374223e-09,3.573384417879e-05,-9.175701709136e-05
16,-1.480678381837e-12,-1.829651881391e-14,3.274369189133e-14,8.436733509555e-09,3.444767796300e-05,-9.240281363487e-05
17,-1.508451334856e-12,-3.816305492359e-13,2.434828583060e-14,6.030603654453e-09,3.502704143781e-05,-9.365638532797e-05
18,-1.269013879486e-12,-6.080787781233e-14,3.294296793637e-14,5.256516896475e-11,7.988045877720e-04,-9.082239041936e-05
