probe,tag,value,nfluid,rate_Mc_per_step,rate_Mrho_per_step,Mc_at,Mrho_at
domain,C0_16_gpu,16,4096,-2.427033934523e-26,-2.427033934523e-26,3.427267023515e-07,3.427267023515e-07
domain,C0_24_cpu,24,13824,-2.427033934523e-26,3.471564030631e-27,3.427267023515e-07,-1.490116097180e-08
domain,C0_24_gpu,24,13824,-2.427033934523e-26,-2.427033934523e-26,3.427267023515e-07,3.427267023515e-07
domain,C0_32_gpu,32,32768,-2.427033934523e-26,-2.427033934523e-26,3.427267023515e-07,3.427267023515e-07
horizon,C3_gpu,5000,28800,8.308767659074e-09,1.555576325887e-08,5.397165373866e-05,7.457850389803e-05
horizon,C3_gpu,10000,28800,8.308767659074e-09,1.555576325887e-08,9.699394193818e-05,1.522186023990e-04
horizon,C3_gpu,20000,28800,8.308767659074e-09,1.555576325887e-08,1.705163828218e-04,3.095993125830e-04
