x,psi_mean,p_mean
12,-1.000285267829895,0.3328765332698822
13,-1.0001437664031982,0.33287015557289124
14,-1.0002018213272095,0.33286476135253906
15,-1.000170350074768,0.3328590393066406
16,-1.000184416770935,0.33285388350486755
17,-1.0001800060272217,0.3328492343425751
18,-1.000182032585144,0.3328450620174408
19,-1.0001829862594604,0.33284124732017517
20,-1.0001834630966187,0.3328377902507782
21,-1.0001848936080933,0.3328346610069275
22,-1.0001853704452515,0.3328319191932678
23,-1.0001866817474365,0.3328292965888977
24,-1.0001873970031738,0.33282697200775146
25,-1.0001885890960693,0.33282479643821716
26,-1.0001894235610962,0.33282271027565
27,-1.0001904964447021,0.33282068371772766
28,-1.000191330909729,0.3328186571598053
29,-1.000192403793335,0.3328164517879486
30,-1.0001932382583618,0.33281415700912476
31,-1.0001944303512573,0.332811564207077
32,-1.0001951456069946,0.3328087031841278
33,-1.0001963376998901,0.33280545473098755
34,-1.000197172164917,0.3328019082546234
35,-1.0001983642578125,0.3327978849411011
36,-1.0001990795135498,0.3327935039997101
37,-1.0002003908157349,0.3327886760234833
38,-1.0002011060714722,0.3327835500240326
39,-1.0002022981643677,0.33277806639671326
40,-1.000203013420105,0.3327723741531372
41,-1.00020432472229,0.33276644349098206
42,-1.000205159187317,0.33276036381721497
43,-1.0002062320709229,0.33275413513183594
44,-1.0002071857452393,0.3327479064464569
45,-1.0002082586288452,0.3327415883541107
46,-1.0002092123031616,0.3327352702617645
47,-1.0002102851867676,0.3327289819717407
48,-1.000211238861084,0.3327227234840393
49,-1.00021231174469,0.3327164947986603
50,-1.0002131462097168,0.33271026611328125
51,-1.0002143383026123,0.332704097032547
52,-1.0002151727676392,0.33269789814949036
53,-1.0002162456512451,0.3326917588710785
54,-1.0002171993255615,0.33268558979034424
55,-1.000218391418457,0.3326794505119324
56,-1.0002192258834839,0.3326733112335205
57,-1.0002204179763794,0.33266714215278625
58,-1.0002212524414062,0.3326610028743744
59,-1.0002224445343018,0.3326548635959625
60,-1.0002232789993286,0.3326486647129059
61,-1.0002244710922241,0.332642525434494
62,-1.000225305557251,0.33263638615608215
63,-1.0002264976501465,0.3326301872730255
64,-1.0002273321151733,0.3326241075992584
65,-1.0002286434173584,0.33261799812316895
66,-1.0002294778823853,0.3326118588447571
67,-1.0002305507659912,0.33260577917099
68,-1.000231385231018,0.33259981870651245
69,-1.0002326965332031,0.3325938284397125
70,-1.00023353099823,0.33258792757987976
71,-1.0002347230911255,0.3325820863246918
72,-1.000235676765442,0.33257636427879333
73,-1.0002367496490479,0.3325707018375397
74,-1.0002377033233643,0.33256518840789795
75,-1.0002387762069702,0.3325597047805786
76,-1.0002397298812866,0.332554429769516
77,-1.0002409219741821,0.3325492739677429
78,-1.0002418756484985,0.3325442969799042
79,-1.0002429485321045,0.3325394093990326
80,-1.000243902206421,0.3325347900390625
81,-1.0002450942993164,0.3325303792953491
82,-1.0002459287643433,0.33252623677253723
83,-1.0002472400665283,0.33252236247062683
84,-1.0002480745315552,0.33251890540122986
85,-1.0002492666244507,0.3325157165527344
86,-1.0002501010894775,0.33251288533210754
87,-1.000251293182373,0.332510381937027
88,-1.0002522468566895,0.3325081765651703
89,-1.000253438949585,0.3325062692165375
90,-1.0002542734146118,0.332504540681839
91,-1.0002555847167969,0.3325028121471405
92,-1.0002564191818237,0.33250120282173157
93,-1.0002576112747192,0.3324994146823883
94,-1.0002585649490356,0.3324974775314331
95,-1.0002597570419312,0.33249524235725403
96,-1.0002607107162476,0.33249279856681824
97,-1.0002617835998535,0.332489937543869
98,-1.00026273727417,0.3324868381023407
99,-1.0002639293670654,0.3324834108352661
100,-1.0002648830413818,0.3324798345565796
101,-1.0002660751342773,0.3324759900569916
102,-1.0002670288085938,0.3324720561504364
103,-1.0002682209014893,0.33246806263923645
104,-1.0002691745758057,0.3324640691280365
105,-1.0002703666687012,0.33246010541915894
106,-1.000271201133728,0.33245623111724854
107,-1.0002723932266235,0.3324523866176605
108,-1.00027334690094,0.3324487507343292
109,-1.0002745389938354,0.3324452340602875
110,-1.0002753734588623,0.3324418365955353
111,-1.0002766847610474,0.33243852853775024
112,-1.0002775192260742,0.33243533968925476
113,-1.0002788305282593,0.33243224024772644
114,-1.0002797842025757,0.33242926001548767
115,-1.0002809762954712,0.3324262797832489
116,-1.000281810760498,0.3324233591556549
117,-1.0002830028533936,0.3324204683303833
118,-1.00028395652771,0.33241763710975647
119,-1.000285267829895,0.332414835691452
120,-1.0002861022949219,0.33241212368011475
121,-1.0002872943878174,0.33240941166877747
122,-1.0002882480621338,0.3324069082736969
123,-1.0002894401550293,0.3324044644832611
124,-1.0002903938293457,0.3324022591114044
125,-1.0002917051315308,0.33240029215812683
126,-1.0002925395965576,0.3323987126350403
127,-1.0002937316894531,0.33239758014678955
128,-1.000294804573059,0.33239707350730896
129,-1.0002959966659546,0.3323971927165985
130,-1.0002968311309814,0.3323979675769806
131,-1.000298023223877,0.3323991894721985
132,-1.0002989768981934,0.33240073919296265
133,-1.0003001689910889,0.3324021100997925
134,-1.0003011226654053,0.3324027955532074
135,-1.0003021955490112,0.3324022591114044
136,-1.0003031492233276,0.3324001133441925
137,-1.0003043413162231,0.3323959708213806
138,-1.00030517578125,0.3323898911476135
139,-1.0003063678741455,0.332381933927536
140,-1.0003072023391724,0.3323725759983063
141,-1.0003083944320679,0.33236220479011536
142,-1.0003091096878052,0.332351416349411
143,-1.0003101825714111,0.33234065771102905
144,-1.000311017036438,0.33233028650283813
145,-1.000312089920044,0.33232054114341736
146,-1.0003129243850708,0.3323115408420563
147,-1.0003138780593872,0.33230331540107727
148,-1.0003145933151245,0.33229586482048035
149,-1.000315546989441,0.33228906989097595
150,-1.0003165006637573,0.3322828710079193
151,-1.0003173351287842,0.3322771191596985
152,-1.000318169593811,0.3322716951370239
153,-1.000319242477417,0.33226650953292847
154,-1.0003200769424438,0.3322613537311554
155,-1.0003211498260498,0.33225610852241516
156,-1.0003221035003662,0.3322506844997406
157,-1.0003231763839722,0.33224502205848694
158,-1.0003246068954468,0.3322390615940094
159,-1.0003255605697632,0.33223286271095276
160,-1.0003278255462646,0.332226425409317
161,-1.0003279447555542,0.3322199881076813
162,-1.0003325939178467,0.33221331238746643
163,-1.0003306865692139,0.3322068750858307
164,-1.0003373622894287,0.33219996094703674
165,-1.0003352165222168,0.3321933448314667
166,-1.0003409385681152,0.3321860134601593
167,-1.0003416538238525,0.3321787416934967
168,-1.0003459453582764,0.33217114210128784
169,-1.0003483295440674,0.3321634829044342
170,-1.0003539323806763,0.3321554958820343
171,-1.0003561973571777,0.3321467638015747
172,-1.0003639459609985,0.33213692903518677
173,-1.0003668069839478,0.33212605118751526
174,-1.0003758668899536,0.3321145474910736
175,-1.000383734703064,0.33210185170173645
176,-1.0003668069839478,0.3318367600440979
177,-0.9888924360275269,0.325558066368103
178,-0.6764770746231079,0.3156846761703491
179,-0.1671813279390335,0.31516870856285095
180,0.17877419292926788,0.3204968571662903
181,0.4251205027103424,0.32353475689888
182,0.6199749112129211,0.32549116015434265
183,0.7754536271095276,0.3270930051803589
184,0.8865238428115845,0.3291979134082794
185,0.9516462683677673,0.3310931324958801
186,0.9850009083747864,0.3324320316314697
187,0.9939422607421875,0.3333575427532196
188,0.9953708648681641,0.3336334228515625
189,0.9964065551757812,0.33375799655914307
190,0.9973000288009644,0.3338175117969513
191,0.9979692101478577,0.3338497579097748
192,0.9984539151191711,0.3338688313961029
193,0.998814582824707,0.33388078212738037
194,0.9990951418876648,0.3338886499404907
195,0.9993188977241516,0.3338939845561981
196,0.9994993805885315,0.3338974416255951
197,0.999643862247467,0.3338993787765503
198,0.9997581243515015,0.3339000940322876
199,0.9998465180397034,0.33389994502067566
200,0.999913215637207,0.3338989317417145
201,0.9999614953994751,0.33389750123023987
202,0.9999946355819702,0.33389559388160706
203,1.0000154972076416,0.3338935673236847
204,1.0000277757644653,0.33389103412628174
205,1.0000331401824951,0.33388829231262207
206,1.000035047531128,0.33388522267341614
207,1.0000356435775757,0.33388206362724304
208,1.0000358819961548,0.33387863636016846
209,1.0000360012054443,0.33387526869773865
210,1.0000367164611816,0.3338717520236969
211,1.000036358833313,0.3338683545589447
212,1.000037431716919,0.3338647186756134
213,1.0000370740890503,0.33386120200157166
214,1.0000380277633667,0.3338574469089508
215,1.0000377893447876,0.3338538408279419
216,1.000038504600525,0.33385011553764343
217,1.000038504600525,0.3338465392589569
218,1.0000392198562622,0.33384302258491516
219,1.0000392198562622,0.33383989334106445
220,1.0000396966934204,0.33383700251579285
221,1.0000399351119995,0.33383461833000183
222,1.0000402927398682,0.333832710981369
223,1.0000406503677368,0.3338315188884735
224,1.0000407695770264,0.33383098244667053
225,1.0000412464141846,0.3338313400745392
226,1.0000414848327637,0.33383262157440186
227,1.0000418424606323,0.33383485674858093
228,1.0000420808792114,0.33383795619010925
229,1.0000423192977905,0.3338416814804077
230,1.0000426769256592,0.3338456451892853
231,1.0000427961349487,0.33384934067726135
232,1.000043272972107,0.333852082490921
233,1.000043511390686,0.3338531255722046
234,1.0000437498092651,0.33385172486305237
235,1.0000441074371338,0.3338475525379181
236,1.0000442266464233,0.33384034037590027
237,1.000044584274292,0.33383023738861084
238,1.0000447034835815,0.33381783962249756
239,1.0000452995300293,0.33380380272865295
240,1.0000451803207397,0.333789199590683
241,1.000045895576477,0.33377471566200256
242,1.0000455379486084,0.33376118540763855
243,1.0000466108322144,0.33374884724617004
244,1.000045657157898,0.3337381184101105
245,1.0000475645065308,0.33372870087623596
246,1.000045657157898,0.3337205946445465
