tag,L_hyd,V_meas,Pc_dynamic,V_hyd,V_meas/V_hyd,dpdx_liq/G,dpdx_gas/G,jump_in,jump_out,(jump_in+jump_out)/Pc,Ca
dyn_h26,241.0,0.0049743260892167,0.002884386483178014,0.006742203536059257,0.7377893685072786,1.0506493980103773,0.7827383361887378,0.0004407855119296644,0.0005064268169820418,0.3283929994943218,0.008192236642319994
dyn_h40,241.0,0.005587779585649871,0.0017969695049280254,0.009941739999601799,0.5620524763143756,0.9744015101414889,0.7352290635992922,0.000508384536719475,0.00041509450225690747,0.513909132260634,0.009202535549489249
dyn_h26_2L,477.0,0.0030002088160309645,0.0030389306074283806,0.0035889536873193306,0.8359564032914248,1.0237197856438505,0.7212478979101966,0.0003150383511860144,0.0006451837605596644,0.31597368804621795,0.004941055362369837
