iter,dMr,dMb,sumR_r,sumR_b,sumdacc_r,sumdacc_b,resid_r,resid_b
0,7.473853111151e-05,-4.477963011595e-05,7.884348072326e-05,-4.585720741904e-05,0.000000000000e+00,0.000000000000e+00,-4.104949611754e-06,1.077577303087e-06
1,1.074065949069e-05,-4.300858745410e-05,9.313517212086e-06,-3.948312399697e-05,0.000000000000e+00,0.000000000000e+00,1.427142278607e-06,-3.525463457123e-06
2,5.361530566006e-05,-3.272331014159e-05,6.614406150682e-05,-3.116779279387e-05,0.000000000000e+00,0.000000000000e+00,-1.252875584677e-05,-1.555517347722e-06
3,3.784759974224e-05,-3.278096846770e-05,3.215217060305e-05,-3.900061085290e-05,0.000000000000e+00,0.000000000000e+00,5.695429139183e-06,6.219642385199e-06
4,3.796832970693e-05,-1.881400567072e-05,4.218217647731e-05,-1.965347382309e-05,0.000000000000e+00,0.000000000000e+00,-4.213846770379e-06,8.394681523669e-07
5,1.158469603979e-05,-2.158181814593e-05,1.937672121330e-05,-2.986130652718e-05,0.000000000000e+00,0.000000000000e+00,-7.792025173509e-06,8.279488381244e-06
6,9.845392196439e-05,-3.665703115985e-05,8.625849291700e-05,-3.604003392729e-05,0.000000000000e+00,0.000000000000e+00,1.219542904739e-05,-6.169972325601e-07
7,5.442412657430e-06,-1.307212914980e-05,-1.204432239817e-05,-1.291289375698e-05,0.000000000000e+00,0.000000000000e+00,1.748673505560e-05,-1.592353928262e-07
8,3.970368197770e-05,-5.702209818992e-05,4.356099455365e-05,-5.258736954011e-05,0.000000000000e+00,0.000000000000e+00,-3.857312575956e-06,-4.434728649809e-06
9,3.379669942660e-05,-4.249276753399e-05,4.009856920170e-05,-3.526929764412e-05,0.000000000000e+00,0.000000000000e+00,-6.301869775096e-06,-7.223469889866e-06
10,6.944733104319e-05,-6.815191773057e-05,6.098885421596e-05,-7.018930072313e-05,0.000000000000e+00,0.000000000000e+00,8.458476827236e-06,2.037382992557e-06
11,6.192201180966e-05,-5.790465365862e-05,7.098191486875e-05,-5.903883646013e-05,0.000000000000e+00,0.000000000000e+00,-9.059903059092e-06,1.134182801506e-06
12,3.250775262131e-05,-5.566412073676e-05,3.824987315011e-05,-5.829084240498e-05,0.000000000000e+00,0.000000000000e+00,-5.742120528794e-06,2.626721668218e-06
13,3.964950883528e-05,-3.635839311755e-05,3.219146033427e-05,-3.964744608178e-05,0.000000000000e+00,0.000000000000e+00,7.458048501013e-06,3.289052964228e-06
14,7.010265835561e-05,-4.424066173669e-05,6.937693103046e-05,-4.055039859706e-05,0.000000000000e+00,0.000000000000e+00,7.257273251470e-07,-3.690263139636e-06
15,5.343458542484e-05,-2.768461854430e-05,5.268104143017e-05,-2.616950488885e-05,0.000000000000e+00,0.000000000000e+00,7.535439946679e-07,-1.515113655444e-06
16,5.397749919211e-05,-5.929848339292e-05,7.376509844476e-05,-6.225546035583e-05,0.000000000000e+00,0.000000000000e+00,-1.978759925264e-05,2.956976962909e-06
17,3.788824324147e-05,-2.734805457294e-05,5.626179800239e-05,-3.887572093042e-05,0.000000000000e+00,0.000000000000e+00,-1.837355476092e-05,1.152766635748e-05
18,6.168419349706e-05,-3.188820301148e-05,5.535606193066e-05,-3.424182566590e-05,0.000000000000e+00,0.000000000000e+00,6.328131566396e-06,2.353622654425e-06
19,5.433397745946e-05,-1.738695937092e-05,5.959144663326e-05,-1.146569054656e-05,0.000000000000e+00,0.000000000000e+00,-5.257469173792e-06,-5.921268824363e-06
20,7.508023918490e-05,-4.947166780767e-05,8.031174792732e-05,-4.816395142260e-05,0.000000000000e+00,0.000000000000e+00,-5.231508742420e-06,-1.307716385063e-06
21,3.619420385803e-05,-5.275124567561e-05,4.562154679262e-05,-4.981674009971e-05,0.000000000000e+00,0.000000000000e+00,-9.427342934590e-06,-2.934505575901e-06
22,1.148321025539e-04,-3.320249743410e-05,1.005244427734e-04,-3.063397215131e-05,0.000000000000e+00,0.000000000000e+00,1.430765978056e-05,-2.568525282799e-06
23,5.183622124605e-05,-6.771380503778e-05,5.019286191173e-05,-6.013313901754e-05,0.000000000000e+00,0.000000000000e+00,1.643359334317e-06,-7.580666020242e-06
24,8.540122871636e-05,-4.159472518950e-05,7.369386408709e-05,-4.243359281856e-05,0.000000000000e+00,0.000000000000e+00,1.170736462928e-05,8.388676290597e-07
25,3.981557892985e-05,-2.768489139271e-05,3.708448472870e-05,-2.824027035504e-05,0.000000000000e+00,0.000000000000e+00,2.731094201146e-06,5.553789623302e-07
26,9.600254634279e-05,-9.981531547965e-06,8.852766481339e-05,-3.899695939579e-06,0.000000000000e+00,0.000000000000e+00,7.474881529400e-06,-6.081835608386e-06
27,2.333085285500e-05,-2.009531817748e-05,3.754870565605e-05,-2.058625878732e-05,0.000000000000e+00,0.000000000000e+00,-1.421785280105e-05,4.909406098374e-07
28,8.566273754695e-05,-2.539311753935e-05,8.145033976960e-05,-2.201960214440e-05,0.000000000000e+00,0.000000000000e+00,4.212397777350e-06,-3.373515394947e-06
29,4.195913788863e-06,-2.832733480318e-05,7.458171725976e-06,-2.470459110663e-05,0.000000000000e+00,0.000000000000e+00,-3.262257937113e-06,-3.622743696546e-06
30,1.046698125720e-04,-3.425797331147e-05,8.304227463443e-05,-3.659541499401e-05,0.000000000000e+00,0.000000000000e+00,2.162753793753e-05,2.337441682542e-06
31,1.951288140845e-06,-4.737834206026e-05,1.222669395864e-06,-5.115978271739e-05,0.000000000000e+00,0.000000000000e+00,7.286187449808e-07,3.781440657132e-06
32,8.576112668379e-05,-3.492938230920e-05,7.632759094830e-05,-3.091661829535e-05,0.000000000000e+00,0.000000000000e+00,9.433535735488e-06,-4.012764013853e-06
33,2.159697760362e-05,-3.501168430375e-05,2.230555186376e-05,-3.617410526858e-05,0.000000000000e+00,0.000000000000e+00,-7.085742601415e-07,1.162420964830e-06
34,1.991340832319e-05,-4.174971945758e-05,2.852980798088e-05,-4.330774059235e-05,0.000000000000e+00,0.000000000000e+00,-8.616399657693e-06,1.558021134761e-06
35,3.693417238537e-05,-3.874898720824e-05,1.638647497530e-05,-3.187776727362e-05,0.000000000000e+00,0.000000000000e+00,2.054769741007e-05,-6.871219934615e-06
36,4.953015741194e-05,-3.563898462744e-05,2.579960378876e-05,-3.324443470189e-05,0.000000000000e+00,0.000000000000e+00,2.373055362317e-05,-2.394549925554e-06
37,2.895197030739e-05,-5.590877844952e-05,3.082866964254e-05,-5.114157690319e-05,0.000000000000e+00,0.000000000000e+00,-1.876699335150e-06,-4.767201546331e-06
