region,ref,nodes,Mr_ref,Mr_fin,dMr,Mb_ref,Mb_fin,dMb,Mc_ref,Mc_fin,dMc,Mrho_ref,Mrho_fin,dMrho,Mf_ref,Mf_fin,dMf
wall_rows,t0,1440,9.600000000000e+02,8.262370900069e+02,-1.337629099931e+02,4.800000000000e+02,6.133013044702e+02,1.333013044702e+02,1.440000000000e+03,1.439538394477e+03,-4.616055228635e-01,1.440000000000e+03,1.437596334636e+03,-2.403665363789e+00,1.440000021458e+03,1.437596337555e+03,-2.403683902696e+00
wall_rows,ref1000,1440,8.272405758273e+02,8.262370900069e+02,-1.003485820307e+00,6.122178807473e+02,6.133013044702e+02,1.083423722866e+00,1.439458456575e+03,1.439538394477e+03,7.993790255932e-02,1.437472358525e+03,1.437596334636e+03,1.239761114120e-01,1.437472357010e+03,1.437596337555e+03,1.239805445075e-01
interface,t0,960,4.320000000000e+02,4.906840369105e+02,5.868403691053e+01,5.280000000000e+02,4.702453142479e+02,-5.775468575209e+01,9.600000000000e+02,9.609293511584e+02,9.293511584401e-01,9.600000000000e+02,8.776637157798e+02,-8.233628422022e+01,9.600000143051e+02,8.776637167428e+02,-8.233629756235e+01
interface,ref1000,960,4.586599544957e+02,4.906840369105e+02,3.202408241481e+01,4.994539708793e+02,4.702453142479e+02,-2.920865663141e+01,9.581139253750e+02,9.609293511584e+02,2.815425783396e+00,8.774863233566e+02,8.776637157798e+02,1.773924231529e-01,8.774863216709e+02,8.776637167428e+02,1.773950718343e-01
gas_bulk,t0,17880,1.764000000000e+04,1.788315606594e+04,2.431560659409e+02,2.400000000000e+02,3.475770396492e+00,-2.365242296035e+02,1.788000000000e+04,1.788663183634e+04,6.631836337350e+00,1.788000000000e+04,1.798161594081e+04,1.016159408092e+02,1.788000026643e+04,1.798161593166e+04,1.016156652253e+02
gas_bulk,ref1000,17880,1.791362404758e+04,1.788315606594e+04,-3.046798163652e+01,7.277910253257e+00,3.475770396492e+00,-3.802139856765e+00,1.792090195783e+04,1.788663183634e+04,-3.427012149329e+01,1.798075210690e+04,1.798161594081e+04,8.638339042664e-01,1.798075209651e+04,1.798161593166e+04,8.638351447880e-01
liq_bulk,t0,8520,1.680000000000e+02,1.868216543403e+00,-1.661317834566e+02,8.352000000000e+03,8.514278571486e+03,1.622785714865e+02,8.520000000000e+03,8.516146788030e+03,-3.853211970123e+00,8.520000000000e+03,8.507496357501e+03,-1.250364249945e+01,8.520000126958e+03,8.507496353211e+03,-1.250377374701e+01
liq_bulk,ref1000,8520,6.790101926781e-01,1.868216543403e+00,1.189206350725e+00,8.481188584208e+03,8.514278571486e+03,3.308998727798e+01,8.481867594401e+03,8.516146788030e+03,3.427919362871e+01,8.504715372264e+03,8.507496357501e+03,2.780985236168e+00,8.504715375667e+03,8.507496353211e+03,2.780977543443e+00
