class,quantity,n,mean,std,frac_pos,max_abs
ccpos/mixed/nonwall,dacc_r,134869,-2.041248220170e-09,6.748647368116e-08,4.903721388903e-01,3.464519977570e-07
ccpos/mixed/nonwall,net_b,134869,-8.815899075505e-07,2.081139333922e-06,3.341909556681e-01,5.125999450684e-06
ccpos/mixed/nonwall,net_r,134869,-8.641060897483e-07,2.081090192719e-06,3.441858395925e-01,5.185604095459e-06
ccpos/pure/nonwall,R_b,123786,-2.612182205658e-09,7.607557428628e-08,5.236860388089e-01,3.110617399216e-07
ccpos/pure/nonwall,R_r,123786,-4.180365894765e-09,7.649120598091e-08,5.230155267962e-01,3.427267074585e-07
ccpos/pure/nonwall,Rc1_b,123786,-8.133007357197e-09,7.742491538947e-08,2.878596933417e-01,3.427267074585e-07
ccpos/pure/nonwall,Rc1_r,123786,-9.925440966396e-09,7.802391236265e-08,2.895804048923e-01,3.427267074585e-07
ccpos/pure/nonwall,Req_b,123786,5.520825150900e-09,1.029727046588e-08,7.725429370042e-01,4.470348358154e-08
ccpos/pure/nonwall,Req_r,123786,5.745075080682e-09,1.020880912899e-08,7.727448984538e-01,4.470348358154e-08
ccpos/pure/nonwall,Rrec_b,123786,6.389121136043e-19,6.603579598258e-16,2.205661383355e-01,1.024142454327e-14
ccpos/pure/nonwall,Rrec_r,123786,-9.051479885252e-18,7.062484303781e-16,2.308257799751e-01,1.058560791106e-14
ccpos/pure/nonwall,cc,123786,9.987271516209e-02,1.224478751262e-01,1.000000000000e+00,2.500019073486e-01
ccpos/pure/nonwall,dacc_b,123786,-3.991386348382e-09,7.470417337418e-08,4.833422196371e-01,3.520399332047e-07
ccpos/pure/nonwall,dacc_r,123786,-3.759447168867e-09,7.201295407182e-08,4.840935162296e-01,3.408640623093e-07
ccpos/pure/nonwall,net_b,123786,-2.619885448625e-07,2.098421440728e-06,4.144410514921e-01,4.708766937256e-06
ccpos/pure/nonwall,net_r,123786,-2.693788821000e-07,2.093148470662e-06,4.156043494418e-01,4.649162292480e-06
cczero/pure/nonwall,R_b,1215905,3.372294528400e-10,8.142623295469e-08,5.458592570966e-01,3.427267074585e-07
cczero/pure/nonwall,R_r,1215905,-5.417457930627e-10,7.823969465749e-08,5.427652653785e-01,3.427267074585e-07
cczero/pure/nonwall,Rc1_b,1215905,-4.467780893408e-09,8.211806256704e-08,3.107167089534e-01,3.427267074585e-07
cczero/pure/nonwall,Rc1_r,1215905,-5.386577885789e-09,7.909307797846e-08,3.063866009269e-01,3.427267074585e-07
cczero/pure/nonwall,Req_b,1215905,4.805010346248e-09,9.862824911434e-09,7.868435445203e-01,4.470348358154e-08
cczero/pure/nonwall,Req_r,1215905,4.844832092727e-09,9.621883038680e-09,7.771042967995e-01,4.656612873077e-08
cczero/pure/nonwall,Rrec_b,1215905,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,Rrec_r,1215905,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,cc,1215905,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
cczero/pure/nonwall,dacc_b,1215905,-1.458093277021e-10,7.368283048492e-08,4.925606852509e-01,3.818422555923e-07
cczero/pure/nonwall,dacc_r,1215905,7.782911032783e-10,6.692359183167e-08,4.954359098778e-01,3.594905138016e-07
cczero/pure/nonwall,net_b,1215905,1.243355856331e-07,1.617279707918e-06,2.902299110539e-01,5.304813385010e-06
cczero/pure/nonwall,net_r,1215905,1.229143743072e-07,1.617961059935e-06,2.885595502938e-01,5.245208740234e-06
