x,Req_r,R_r,dacc_r,net_r,cc,chi
0,2.662212258050e-09,5.336676814785e-10,6.692354146343e-10,-2.002046029601e-07,7.499980206084e-01,2.500004980748e-01
1,1.176194741043e-14,3.183874125573e-15,1.687456613697e-15,-6.074791515603e-09,2.500005073826e-01,8.984177937662e-07
2,1.854156592083e-19,-5.596744443096e-20,-2.986508746820e-20,-6.564976340949e-15,8.947017642833e-07,1.533522802944e-11
3,1.114598302728e-20,-6.014522142830e-23,2.766385863214e-21,-2.969095460878e-15,0.000000000000e+00,1.048555445128e-12
4,2.074701325181e-20,1.240550337333e-21,-5.647253950856e-21,-8.401559413421e-15,0.000000000000e+00,1.939180789171e-12
5,4.270369543142e-20,-1.965439957158e-20,3.509304557861e-21,-9.018234193253e-15,0.000000000000e+00,2.779424973394e-12
6,4.637593618816e-20,-2.602861660834e-22,-2.155787083361e-20,-9.192979292558e-15,0.000000000000e+00,3.565585798549e-12
7,5.382776736336e-20,-1.604598039455e-20,-5.046610535395e-21,-9.658780130897e-15,0.000000000000e+00,4.296611568836e-12
8,5.291603051041e-20,-3.237077580090e-20,-1.574628366772e-20,-1.057083957164e-14,0.000000000000e+00,4.969704481407e-12
9,9.411653656912e-20,-4.603447603130e-20,5.461597857817e-21,-1.174617789645e-14,0.000000000000e+00,5.579386139295e-12
10,1.059032353171e-19,-2.082701080794e-20,2.379633186193e-20,-1.295751794496e-14,0.000000000000e+00,6.118595654162e-12
11,1.046015103780e-19,-1.664655028284e-20,-3.744062092061e-20,-1.405205612168e-14,0.000000000000e+00,6.580056102391e-12
12,1.045262185605e-19,-3.051436192484e-20,-2.411632208644e-20,-1.495353346688e-14,0.000000000000e+00,6.957188754390e-12
13,8.581973120730e-20,6.989198249497e-21,-1.173552384074e-20,-1.563306645820e-14,0.000000000000e+00,7.244574508032e-12
14,6.812556586955e-20,1.498836564513e-20,-2.075407185970e-20,-1.608409166322e-14,0.000000000000e+00,7.438128623549e-12
15,5.503537753052e-20,4.114874293415e-20,3.793413525585e-21,-1.630782873409e-14,0.000000000000e+00,7.535138530009e-12
16,6.411451193391e-20,3.452953338175e-20,-4.325456095580e-20,-1.630658504502e-14,0.000000000000e+00,7.534258867538e-12
17,7.355598820917e-20,2.186815547227e-20,-1.116495303600e-20,-1.608123552459e-14,0.000000000000e+00,7.435496243657e-12
18,8.925492038227e-20,4.363396113009e-21,-3.528303977441e-20,-1.563106074065e-14,0.000000000000e+00,7.240206169161e-12
19,1.066396834073e-19,-1.482954696752e-20,-2.252107670245e-20,-1.495582597096e-14,0.000000000000e+00,6.951096823732e-12
20,1.066967404878e-19,-1.822650201640e-20,9.959107520807e-21,-1.406192305790e-14,0.000000000000e+00,6.572227842073e-12
21,1.072449590342e-19,-1.042203455517e-20,-4.531743911275e-20,-1.297528402810e-14,0.000000000000e+00,6.108973454328e-12
22,9.439535158092e-20,-2.759621577808e-20,1.888295255053e-20,-1.176446742712e-14,0.000000000000e+00,5.567863297040e-12
23,5.456362723629e-20,-3.088787992588e-20,-8.802378152213e-21,-1.056930501146e-14,0.000000000000e+00,4.956173039114e-12
24,5.319690428285e-20,-1.701271556734e-20,-5.664532834763e-21,-9.604450496512e-15,0.000000000000e+00,4.281081162123e-12
25,4.740296363671e-20,-1.842590768940e-21,-8.301805209079e-21,-9.057129673258e-15,0.000000000000e+00,3.548383133550e-12
26,4.082257642772e-20,-1.614509501372e-20,-6.217163011114e-21,-8.803942019732e-15,0.000000000000e+00,2.761366927266e-12
27,2.018703035890e-20,4.509568118142e-21,-2.552789661087e-21,-8.153982026152e-15,0.000000000000e+00,1.921553895366e-12
28,1.076592110850e-20,5.391747050535e-22,2.632577578693e-23,-3.039941409524e-15,0.000000000000e+00,1.032845491078e-12
29,1.824946455021e-19,5.090721015142e-20,-2.178051777801e-20,-9.691712680125e-15,8.866629858553e-07,1.523492503100e-11
30,1.170322379572e-14,-2.314296269776e-15,6.919535935868e-15,-6.825286706282e-09,2.500009768694e-01,8.967506778038e-07
31,2.634947627990e-09,2.331031145573e-10,-3.265396454438e-09,-2.237618900836e-07,7.499984735028e-01,2.500009699168e-01
32,8.399769689681e-09,4.030678408324e-09,9.318884824299e-10,-6.556045264006e-07,7.499981654109e-01,2.500006525081e-01
33,1.122938960584e-08,6.081245373935e-09,-1.584784412343e-08,-8.765297631423e-07,2.500006615643e-01,8.887554726364e-07
34,1.159205567092e-08,-6.286750754548e-09,9.847846942850e-09,-8.059562080436e-07,8.818347143043e-07,1.520703337873e-11
35,1.131063779920e-08,6.201298674569e-09,1.677294171208e-08,-6.996198660798e-07,0.000000000000e+00,1.023503186514e-12
36,1.101806345913e-08,-1.953125724362e-08,5.653419066221e-10,-5.709576523966e-07,0.000000000000e+00,1.897079491958e-12
37,1.095088211716e-08,4.846191990914e-09,6.679652465714e-09,-4.292310525974e-07,0.000000000000e+00,2.723376644575e-12
38,1.047398351754e-08,9.454702699764e-09,-5.246531347641e-09,-2.726679667830e-07,0.000000000000e+00,3.497960207333e-12
39,1.041537163676e-08,-9.366178548791e-09,-2.752656453393e-09,-1.111171311802e-07,0.000000000000e+00,4.218866047004e-12
40,9.932490583095e-09,-1.429806515161e-08,-7.601516295431e-09,6.474244097869e-08,0.000000000000e+00,4.882689895974e-12
41,9.520428850212e-09,7.389381708991e-09,4.448116265444e-09,2.460192061133e-07,0.000000000000e+00,5.483736288600e-12
42,9.400941457392e-09,-3.162212023098e-09,-2.015278571182e-09,4.223599616024e-07,0.000000000000e+00,6.015009939236e-12
43,9.017498491125e-09,8.688948582858e-09,4.251665409861e-09,5.696149956849e-07,0.000000000000e+00,6.469439030794e-12
44,8.932854850880e-09,-1.794097544108e-08,-1.397307237817e-09,6.899625683824e-07,0.000000000000e+00,6.840690981837e-12
45,8.889684169036e-09,-8.782161684293e-09,5.870485135044e-09,7.817573431465e-07,0.000000000000e+00,7.123570149948e-12
46,7.996519949908e-09,1.973829865973e-08,-1.504352743117e-08,8.570884043972e-07,0.000000000000e+00,7.314167852699e-12
47,8.010344269375e-09,-7.017256899013e-11,-7.657541169061e-09,9.005915166603e-07,0.000000000000e+00,7.409891973268e-12
48,8.167181577947e-09,4.631389553348e-09,7.895788358938e-09,9.001827695303e-07,0.000000000000e+00,7.409461769360e-12
49,8.349484738169e-09,8.340430213138e-09,-2.822424802515e-09,8.593313395977e-07,0.000000000000e+00,7.312896140441e-12
50,8.506079514821e-09,-4.262094282442e-09,8.532111274285e-09,7.987876112262e-07,0.000000000000e+00,7.121507266099e-12
51,9.026957236023e-09,1.437971756483e-09,2.386190721558e-09,6.999820470810e-07,0.000000000000e+00,6.837903114217e-12
52,9.085326584884e-09,-9.879376092512e-09,4.790005429337e-10,5.819369107485e-07,0.000000000000e+00,6.465985911878e-12
53,9.424143677784e-09,2.018997393962e-08,-6.815146965285e-11,4.300666559074e-07,0.000000000000e+00,6.010917633271e-12
54,9.872100134898e-09,-6.330325656260e-09,-8.852495941230e-09,2.682571195894e-07,0.000000000000e+00,5.478980069615e-12
55,1.030849590380e-08,2.421357850027e-09,4.218034316889e-09,9.316071454022e-08,0.000000000000e+00,4.877197736259e-12
56,1.089469555558e-08,-7.709119624148e-09,5.245965439826e-10,-8.885076062547e-08,0.000000000000e+00,4.212573871003e-12
57,1.050931233395e-08,3.581307181675e-09,-9.137956011626e-09,-2.557773970895e-07,0.000000000000e+00,3.490933969504e-12
58,1.004033644373e-08,6.749016594970e-09,2.421277006053e-10,-4.139780584309e-07,0.000000000000e+00,2.715999864600e-12
59,1.056477129977e-08,-2.780571877439e-08,1.367823440685e-08,-5.647281391753e-07,0.000000000000e+00,1.890229490183e-12
60,1.091264291770e-08,-1.124442658491e-08,1.769359288220e-08,-6.952064318789e-07,0.000000000000e+00,1.018533077371e-12
61,1.140684212765e-08,1.219587930892e-08,-3.552688415059e-09,-8.048230989112e-07,8.517548937384e-07,1.447974307574e-11
