t,umax,urms,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ux,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.022243410348892212,0.003937210887670517,-1.2819468975064937e-05,2.391805702988661e-06,0.9998015872250061,0.7720665046715053,0.0019533802300257253,0.0003981028993924607,0.0016610991548406395,1.0,1.0,0.012101670727133751,0.003228700254112482,0.002167084254324436,52158.73912889194,9806.725026872373,-401.781747341156,446.58043974637985,41.59046471118927,-0.5208762330948957,-0.1445871259929845
2000,0.021875642240047455,0.005362339783459902,-7.232284187376519e-06,-3.6573784555334213e-06,0.9893773290689154,0.926596076116187,0.0019286627646019072,0.00048378811294863544,0.000462560351679131,1.0,1.0,0.014261731877923012,0.004915151745080948,0.0028541763313114643,51101.91188870083,10859.268242876477,-1459.2226258516312,1498.9733231663704,33.01786696910858,-1.1345145524610416,-0.2949197101061145
3000,0.021687297150492668,0.005744837690144777,-3.3860710951023287e-06,-3.231310828484137e-06,0.976815581044263,0.8597423385714835,0.0018138520756135201,0.000525854596724995,0.0005225276511409138,1.0,1.0,0.0139343636110425,0.00532908970490098,0.0028568084817379713,49863.80826948804,12092.845016136329,-2697.948981165886,2732.387180864811,26.291492342948914,-1.757250653929077,-0.457835271517979
4000,0.02063712663948536,0.005842005368322134,-4.538359976180719e-06,-2.393409370739029e-06,0.9805966626747806,0.7807913785534883,0.0018068337352031283,0.0005064630159237749,0.0006417580108271648,1.0,1.0,0.011114180088043213,0.005397677421569824,0.002537998603656888,48576.288875029175,13374.540666768455,-3986.07914185524,4013.9033890366554,19.24052906036377,-2.3680168844148284,-0.6372777317992586
5000,0.022943781688809395,0.005901184864342213,-2.5923936602901573e-06,-2.8334717380814746e-06,0.7726772181847543,0.37528026470735343,0.0017614049586684444,0.0005148418891823825,0.0005928076166200058,1.0,1.0,0.017391793429851532,0.00544337835162878,0.0030775656923651695,47272.549574325334,14671.277390480076,-5290.410523176193,5310.442983210087,11.454474210739136,-2.9600975015273434,-0.8344072699892422
6000,0.02114986628293991,0.005911062937229872,-4.633145536330275e-06,-2.103603698991556e-06,0.997566119868949,0.4642701523196796,0.0018110617255033268,0.0004989162698361138,0.0006769827821034857,1.0,1.0,0.012081291526556015,0.005450468510389328,0.0026552663184702396,45962.42492069462,15973.698789276046,-6601.110651016235,6612.6466690301895,3.1770538687705994,-3.5355717108541285,-1.0521202458567132
7000,0.023358598351478577,0.005937627051025629,-4.591410332183504e-06,-6.012349603647282e-06,0.9837100266061501,0.7972823820074454,0.0019333431236959187,0.0004948895564054201,0.00011239808431279252,1.0,1.0,0.018556777387857437,0.0054327198304235935,0.003143519861623645,44647.539036053,17280.6492344705,-7916.555994510651,7919.357555508614,-5.249076426029205,-4.095030563650653,-1.291678961886646
8000,0.021526262164115906,0.005946117453277111,-4.537194409473797e-06,-2.0922983393967717e-06,0.9977466381398684,0.8270947732726723,0.0018048033698869759,0.0004906440502342457,0.0006596762388146327,1.0,1.0,0.012842318043112755,0.005491224583238363,0.002802270697429776,43330.05006156353,18590.838495496937,-9234.576955318451,9229.288380384445,-13.01123183965683,-4.627016881982854,-1.550115112491767
9000,0.02361096814274788,0.005961793474853039,-3.6628568236209076e-06,-5.050477656450788e-06,0.9924622012647879,0.8494964023118552,0.001849687803850364,0.0005207980141281876,0.00024202319257177196,1.0,1.0,0.018985530361533165,0.005426935385912657,0.0032061554957181215,42008.836981757646,19903.15408784552,-10556.293825387955,10541.325484156609,-22.408442735671997,-5.130807145600556,-1.8286036889112438
10000,0.021651726216077805,0.005970590282231569,-5.447778870716256e-06,-2.7450409165069286e-06,0.9869134168406501,0.8295752439158618,0.0018645410168526277,0.0004469520692944595,0.0005628985357790661,1.0,1.0,0.013870609924197197,0.0055062551982700825,0.002867761766538024,40686.164355513385,21218.936951026688,-11879.452977180481,11856.81001240015,-29.900855600833893,-5.617332693866047,-2.1269386265375942
