step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
200,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
400,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
600,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
800,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
1000,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
1200,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
1400,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
1600,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
1800,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
2000,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
2200,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
2400,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
2600,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
2800,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
3000,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
3200,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
3400,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
3600,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
3800,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
4000,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
4200,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
4400,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
4600,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
4800,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
5000,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,-2.632141113281e-03,1.144409179688e-04,2.746582031250e-03,0.000000000000e+00
