geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,-2.616450526855e-10,7.712220234573e-08,5.211796875000e-01,3.427267074585e-07,1152000
C3,R_r,-1.553523347924e-10,6.231158211524e-08,5.179461805556e-01,3.222376108170e-07,1152000
C3,R_b,-4.688603349883e-10,4.341975838994e-08,4.794244791667e-01,3.147870302200e-07,1152000
C3,Req_r,6.467524541131e-09,1.866882399164e-08,5.369539930556e-01,8.568167686462e-08,1152000
C3,Req_b,5.029402511235e-09,1.309550939698e-08,4.135460069444e-01,7.823109626770e-08,1152000
C3,mom_x,-1.319535335319e-11,8.018062447498e-09,4.579453125000e-01,2.793967723846e-08,1152000
C3,mom_y,-6.595251357390e-12,7.725096857211e-09,4.580434027778e-01,2.793967723846e-08,1152000
C3,mom_z,4.074536263943e-12,7.566613527044e-09,4.583984375000e-01,2.048909664154e-08,1152000
C3,delta_f,-1.482810411188e-08,7.992470765863e-08,1.637534722222e-01,3.576278686523e-07,1152000
C3,dr,-6.344196985578e-09,6.295161659845e-08,2.491059027778e-01,3.576278686523e-07,1152000
C3,db,-4.987365460711e-09,4.146244102515e-08,3.262508680556e-01,3.576278686523e-07,1152000
C1,R_f,-8.874344025066e-10,1.090604254510e-07,5.191541883681e-01,3.874301910400e-07,1474560
C1,R_r,8.213425860265e-10,8.074507066072e-08,5.459554036458e-01,3.520399332047e-07,1474560
C1,R_b,-1.439552320206e-09,7.964370549151e-08,5.420973036024e-01,3.464519977570e-07,1474560
C1,Req_r,4.977110329317e-09,9.670366152194e-09,7.882982042101e-01,4.470348358154e-08,1474560
C1,Req_b,5.010396271930e-09,9.602298426518e-09,7.833218044705e-01,4.656612873077e-08,1474560
C1,mom_x,-1.970066579007e-11,6.858005267266e-09,4.572218153212e-01,2.048909664154e-08,1474560
C1,mom_y,2.986174270821e-12,5.636294935272e-09,4.586439344618e-01,1.303851604462e-08,1474560
C1,mom_z,-2.117101555794e-12,5.636706919004e-09,4.581061469184e-01,1.303851604462e-08,1474560
C1,delta_f,-1.204183111743e-08,1.062085522147e-07,2.567233615451e-01,3.576278686523e-07,1474560
C1,dr,-3.634906883072e-09,7.651668526911e-08,3.121771918403e-01,3.576278686523e-07,1474560
C1,db,-5.787771969940e-09,7.567244518773e-08,3.038472493490e-01,3.576278686523e-07,1474560
