step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000480902e+04,2.880000480902e+04,1.919999928129e+04,9.599999450803e+03,0.000000000000e+00,0.000000000000e+00,2.880000687218e+04,0.000000000000e+00,6.076931953430e-03,-2.063155174255e-03,-8.140087127686e-03
200,2.879999204899e+04,2.879999204899e+04,1.919998206913e+04,9.599991252792e+03,0.000000000000e+00,0.000000000000e+00,2.879999201417e+04,0.000000000000e+00,1.872706600443e-02,3.482215106487e-05,-1.869224385155e-02
400,2.879997515489e+04,2.879997515489e+04,1.919997756643e+04,9.599986442015e+03,0.000000000000e+00,0.000000000000e+00,2.879997507560e+04,0.000000000000e+00,1.114644352310e-02,7.929094135761e-05,-1.106715258356e-02
600,2.879995940214e+04,2.879995940214e+04,1.919997339890e+04,9.599981164892e+03,0.000000000000e+00,0.000000000000e+00,2.879995933712e+04,0.000000000000e+00,4.838348257181e-03,6.502680480480e-05,-4.773321452376e-03
800,2.879994396520e+04,2.879994396520e+04,1.919996883551e+04,9.599975487246e+03,0.000000000000e+00,0.000000000000e+00,2.879994389904e+04,0.000000000000e+00,-3.575583341444e-04,6.616301834583e-05,4.237213506713e-04
1000,2.879992858400e+04,2.879992858400e+04,1.919996416461e+04,9.599969891668e+03,0.000000000000e+00,0.000000000000e+00,2.879992851472e+04,0.000000000000e+00,-5.472275097418e-03,6.928294897079e-05,5.541558046389e-03
1200,2.879991343299e+04,2.879991343299e+04,1.919995987839e+04,9.599964314898e+03,0.000000000000e+00,0.000000000000e+00,2.879991335446e+04,0.000000000000e+00,-1.076029574688e-02,7.853284478188e-05,1.083882859166e-02
1400,2.879989799937e+04,2.879989799937e+04,1.919995521675e+04,9.599958648316e+03,0.000000000000e+00,0.000000000000e+00,2.879989791399e+04,0.000000000000e+00,-1.586570323707e-02,8.537434041500e-05,1.595107757748e-02
1600,2.879988303225e+04,2.879988303225e+04,1.919995026547e+04,9.599952806555e+03,0.000000000000e+00,0.000000000000e+00,2.879988296419e+04,0.000000000000e+00,-2.003977853929e-02,6.805360317230e-05,2.010783214064e-02
1800,2.879986821168e+04,2.879986821168e+04,1.919994512826e+04,9.599947174814e+03,0.000000000000e+00,0.000000000000e+00,2.879986813051e+04,0.000000000000e+00,-2.409138764779e-02,8.117780089378e-05,2.417256544868e-02
2000,2.879985295354e+04,2.879985295354e+04,1.919994020726e+04,9.599941431326e+03,0.000000000000e+00,0.000000000000e+00,2.879985289079e+04,0.000000000000e+00,-2.868504371509e-02,6.274878978729e-05,2.874779250487e-02
2200,2.879983827595e+04,2.879983827595e+04,1.919993509358e+04,9.599935863403e+03,0.000000000000e+00,0.000000000000e+00,2.879983820462e+04,0.000000000000e+00,-3.268103906885e-02,7.132440805435e-05,3.275236347690e-02
2400,2.879982410909e+04,2.879982410909e+04,1.919993025863e+04,9.599930422263e+03,0.000000000000e+00,0.000000000000e+00,2.879982404274e+04,0.000000000000e+00,-3.657180272603e-02,6.635673344135e-05,3.663815945765e-02
