step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
5400,2.880230645078e+04,2.880230645078e+04,1.920089725761e+04,9.600770233643e+03,0.000000000000e+00,0.000000000000e+00,2.880230646855e+04,0.000000000000e+00,6.389595324072e-01,-1.776218414307e-05,-6.389772945913e-01
5600,2.880239338737e+04,2.880239338737e+04,1.920092311257e+04,9.600799147013e+03,0.000000000000e+00,0.000000000000e+00,2.880239339745e+04,0.000000000000e+00,6.711277810045e-01,-1.008249819279e-05,-6.711378635009e-01
5800,2.880248021198e+04,2.880248021198e+04,1.920094899823e+04,9.600827491717e+03,0.000000000000e+00,0.000000000000e+00,2.880248022997e+04,0.000000000000e+00,7.037220324237e-01,-1.799687743187e-05,-7.037400293011e-01
6000,2.880256836310e+04,2.880256836310e+04,1.920097405073e+04,9.600855165112e+03,0.000000000000e+00,0.000000000000e+00,2.880256837165e+04,0.000000000000e+00,7.391472525524e-01,-8.556991815567e-06,-7.391558095442e-01
6200,2.880265569698e+04,2.880265569698e+04,1.920099911397e+04,9.600882236537e+03,0.000000000000e+00,0.000000000000e+00,2.880265571815e+04,0.000000000000e+00,7.743464688192e-01,-2.117082476616e-05,-7.743676396422e-01
6400,2.880274426062e+04,2.880274426062e+04,1.920102429931e+04,9.600909000074e+03,0.000000000000e+00,0.000000000000e+00,2.880274427521e+04,0.000000000000e+00,8.109612427179e-01,-1.459009945393e-05,-8.109758328173e-01
6600,2.880283242570e+04,2.880283242570e+04,1.920104879733e+04,9.600935218771e+03,0.000000000000e+00,0.000000000000e+00,2.880283243239e+04,0.000000000000e+00,8.484096008233e-01,-6.690621376038e-06,-8.484162914465e-01
6800,2.880292078363e+04,2.880292078363e+04,1.920107306599e+04,9.600960301865e+03,0.000000000000e+00,0.000000000000e+00,2.880292078227e+04,0.000000000000e+00,8.874157810333e-01,1.363456249237e-06,-8.874144175788e-01
7000,2.880300897326e+04,2.880300897326e+04,1.920109704723e+04,9.600985426325e+03,0.000000000000e+00,0.000000000000e+00,2.880300899178e+04,0.000000000000e+00,9.264997001555e-01,-1.852028071880e-05,-9.265182204363e-01
7200,2.880309791094e+04,2.880309791094e+04,1.920112116609e+04,9.601010717175e+03,0.000000000000e+00,0.000000000000e+00,2.880309794551e+04,0.000000000000e+00,9.660276762625e-01,-3.457255661488e-05,-9.660622488191e-01
7400,2.880318651961e+04,2.880318651961e+04,1.920114607947e+04,9.601036004535e+03,0.000000000000e+00,0.000000000000e+00,2.880318653202e+04,0.000000000000e+00,1.004435605440e+00,-1.240894198418e-05,-1.004448014384e+00
7600,2.880327635155e+04,2.880327635155e+04,1.920117104101e+04,9.601060695780e+03,0.000000000000e+00,0.000000000000e+00,2.880327638441e+04,0.000000000000e+00,1.044614757855e+00,-3.286823630333e-05,-1.044647626091e+00
7800,2.880336538335e+04,2.880336538335e+04,1.920119612438e+04,9.601084174522e+03,0.000000000000e+00,0.000000000000e+00,2.880336539072e+04,0.000000000000e+00,1.085084441534e+00,-7.372349500656e-06,-1.085091813882e+00
8000,2.880345470552e+04,2.880345470552e+04,1.920122166291e+04,9.601105845082e+03,0.000000000000e+00,0.000000000000e+00,2.880345471448e+04,0.000000000000e+00,1.127197526674e+00,-8.955597877502e-06,-1.127206482270e+00
8200,2.880354387643e+04,2.880354387643e+04,1.920124734547e+04,9.601126945328e+03,0.000000000000e+00,0.000000000000e+00,2.880354391128e+04,0.000000000000e+00,1.169585633026e+00,-3.485195338726e-05,-1.169620484980e+00
8400,2.880363314227e+04,2.880363314227e+04,1.920127257768e+04,9.601147640065e+03,0.000000000000e+00,0.000000000000e+00,2.880363315570e+04,0.000000000000e+00,1.212924521817e+00,-1.343525946140e-05,-1.212937957076e+00
8600,2.880372230744e+04,2.880372230744e+04,1.920129802306e+04,9.601168010221e+03,0.000000000000e+00,0.000000000000e+00,2.880372230273e+04,0.000000000000e+00,1.256274167417e+00,4.708766937256e-06,-1.256269458652e+00
8800,2.880381087750e+04,2.880381087750e+04,1.920132317865e+04,9.601187963347e+03,0.000000000000e+00,0.000000000000e+00,2.880381087130e+04,0.000000000000e+00,1.299735501114e+00,6.195157766342e-06,-1.299729305956e+00
9000,2.880390035409e+04,2.880390035409e+04,1.920134859219e+04,9.601207755407e+03,0.000000000000e+00,0.000000000000e+00,2.880390036660e+04,0.000000000000e+00,1.344006499085e+00,-1.250952482224e-05,-1.344019008611e+00
9200,2.880398912128e+04,2.880398912128e+04,1.920137411569e+04,9.601227213350e+03,0.000000000000e+00,0.000000000000e+00,2.880398912114e+04,0.000000000000e+00,1.387792237489e+00,1.396983861923e-07,-1.387792097790e+00
9400,2.880407860019e+04,2.880407860019e+04,1.920139996306e+04,9.601246791771e+03,0.000000000000e+00,0.000000000000e+00,2.880407863170e+04,0.000000000000e+00,1.431845362240e+00,-3.150850534439e-05,-1.431876870745e+00
9600,2.880416860529e+04,2.880416860529e+04,1.920142527515e+04,9.601265515602e+03,0.000000000000e+00,0.000000000000e+00,2.880416863191e+04,0.000000000000e+00,1.477814538161e+00,-2.661719918251e-05,-1.477841155360e+00
