step,Mff,Mr,Mb,Mrho,d_fc
200,2.880001109859e+04,1.919999201185e+04,9.599994642775e+03,2.880001111364e+04,2.444396267492e-02
400,2.880001095892e+04,1.919999391685e+04,9.599993556581e+03,2.880001096952e+04,2.348549662020e-02
600,2.880001172490e+04,1.919999657976e+04,9.599992901985e+03,2.880001176167e+04,2.224315129206e-02
800,2.880001179741e+04,1.919999787289e+04,9.599991468829e+03,2.880001180851e+04,2.245569020852e-02
1000,2.880001166085e+04,1.919999975626e+04,9.599991040190e+03,2.880001167047e+04,2.086439632330e-02
1200,2.880001173383e+04,1.920000194525e+04,9.599989561368e+03,2.880001169586e+04,2.022721013054e-02
1400,2.880001114153e+04,1.920000380652e+04,9.599988196575e+03,2.880001107323e+04,1.913843274269e-02
1600,2.880001131552e+04,1.920000575702e+04,9.599986903641e+03,2.880001129746e+04,1.865486114912e-02
1800,2.880001123239e+04,1.920000768405e+04,9.599985350568e+03,2.880001122379e+04,1.819776516277e-02
2000,2.880001045243e+04,1.920001028226e+04,9.599984069604e+03,2.880001041806e+04,1.610057007929e-02
2200,2.880001018712e+04,1.920001341578e+04,9.599983038087e+03,2.880001014197e+04,1.373325131499e-02
2400,2.880000953982e+04,1.920001567424e+04,9.599981487448e+03,2.880000951934e+04,1.237813548141e-02
2600,2.880000967997e+04,1.920001747827e+04,9.599980626719e+03,2.880000969207e+04,1.157497754502e-02
2800,2.880000954901e+04,1.920001864188e+04,9.599978942901e+03,2.880000949144e+04,1.196423393412e-02
3000,2.880000889220e+04,1.920002120707e+04,9.599977916337e+03,2.880000886130e+04,9.768796307981e-03
3200,2.880000830184e+04,1.920002313063e+04,9.599976629624e+03,2.880000821579e+04,8.541589846573e-03
3400,2.880000865851e+04,1.920002599739e+04,9.599975399582e+03,2.880000867319e+04,7.261537115482e-03
3600,2.880000845307e+04,1.920002767239e+04,9.599974606273e+03,2.880000848079e+04,6.174406064019e-03
3800,2.880000900386e+04,1.920002941627e+04,9.599974218745e+03,2.880000901902e+04,5.368850113882e-03
4000,2.880000881593e+04,1.920003150347e+04,9.599974430682e+03,2.880000883090e+04,2.881777207222e-03
4200,2.880000910605e+04,1.920003264456e+04,9.599972939228e+03,2.880000907302e+04,3.522264241838e-03
4400,2.880000949038e+04,1.920003533679e+04,9.599970538099e+03,2.880000949681e+04,3.615490259108e-03
4600,2.880000912884e+04,1.920003960671e+04,9.599966354397e+03,2.880000915098e+04,3.167732642396e-03
4800,2.880000851150e+04,1.920004368790e+04,9.599962385025e+03,2.880000859094e+04,2.438571373204e-03
5000,2.880000906531e+04,1.920004783304e+04,9.599958035639e+03,2.880000906014e+04,3.196627823854e-03
5200,2.880000939628e+04,1.920005180697e+04,9.599953531114e+03,2.880000941670e+04,4.058195496327e-03
5400,2.880000884809e+04,1.920005746094e+04,9.599947928318e+03,2.880000889492e+04,3.458838848019e-03
5600,2.880000921445e+04,1.920006310021e+04,9.599941344267e+03,2.880000930798e+04,4.769974060764e-03
5800,2.880000970731e+04,1.920006988783e+04,9.599934933500e+03,2.880000972605e+04,4.885975427896e-03
6000,2.880001184657e+04,1.920007729615e+04,9.599928254268e+03,2.880001180530e+04,6.296152929281e-03
6200,2.880001239302e+04,1.920008526139e+04,9.599920338188e+03,2.880001237893e+04,6.793445447329e-03
6400,2.880001084451e+04,1.920009287723e+04,9.599911740341e+03,2.880001083112e+04,6.226939360204e-03
6600,2.880000957269e+04,1.920010106953e+04,9.599902935021e+03,2.880000950110e+04,5.568143711571e-03
6800,2.880000747664e+04,1.920011042691e+04,9.599893561613e+03,2.880000748909e+04,3.488113701678e-03
7000,2.880000836853e+04,1.920012153201e+04,9.599882889459e+03,2.880000831163e+04,3.947052471631e-03
7200,2.880000759669e+04,1.920013253637e+04,9.599872445628e+03,2.880000759244e+04,2.614688717586e-03
7400,2.880000757533e+04,1.920014438135e+04,9.599861350438e+03,2.880000756204e+04,1.843541022026e-03
7600,2.880000821830e+04,1.920015555760e+04,9.599849434778e+03,2.880000820041e+04,3.225917687814e-03
7800,2.880000728010e+04,1.920016759920e+04,9.599837193582e+03,2.880000726485e+04,2.487315958206e-03
8000,2.880000823819e+04,1.920018104467e+04,9.599825204932e+03,2.880000828624e+04,1.988589050598e-03
8200,2.880000925704e+04,1.920019651703e+04,9.599812669844e+03,2.880000928187e+04,7.016995550657e-05
8400,2.880000810861e+04,1.920021075149e+04,9.599799867954e+03,2.880000811422e+04,-2.510838754461e-03
8600,2.880000644392e+04,1.920022414206e+04,9.599786963164e+03,2.880000639904e+04,-4.661304665206e-03
8800,2.880000362247e+04,1.920023701056e+04,9.599774423888e+03,2.880000360453e+04,-7.811980174665e-03
9000,2.880000493342e+04,1.920025017690e+04,9.599761840476e+03,2.880000491667e+04,-7.083950818924e-03
9200,2.880000600361e+04,1.920026497273e+04,9.599748035130e+03,2.880000602746e+04,-7.004245000644e-03
9400,2.880001022639e+04,1.920027836510e+04,9.599735341189e+03,2.880001022065e+04,-3.479900558887e-03
9600,2.880001582384e+04,1.920029322689e+04,9.599722410885e+03,2.880001582503e+04,1.860648644652e-04
9800,2.880002387538e+04,1.920030733156e+04,9.599708279145e+03,2.880002386951e+04,8.264676389445e-03
10000,2.880002574184e+04,1.920032015879e+04,9.599694762988e+03,2.880002573740e+04,1.082006706383e-02
10200,2.880002618926e+04,1.920033579931e+04,9.599682263474e+03,2.880002621269e+04,8.126469789204e-03
10400,2.880002445661e+04,1.920035129192e+04,9.599669527364e+03,2.880002448535e+04,3.637323057774e-03
10600,2.880002366596e+04,1.920036616098e+04,9.599656138605e+03,2.880002370572e+04,1.366375414364e-03
10800,2.880002605093e+04,1.920038173724e+04,9.599643269490e+03,2.880002601922e+04,1.044205435392e-03
11000,2.880002580192e+04,1.920039765008e+04,9.599630964954e+03,2.880002580321e+04,-2.813105569658e-03
11200,2.880002425067e+04,1.920041263875e+04,9.599618222093e+03,2.880002425611e+04,-6.610175603782e-03
11400,2.880002419335e+04,1.920042671422e+04,9.599606617191e+03,2.880002420640e+04,-9.138060297118e-03
11600,2.880002595225e+04,1.920044003290e+04,9.599594056695e+03,2.880002592373e+04,-8.137341490510e-03
11800,2.880002585426e+04,1.920045402546e+04,9.599580846495e+03,2.880002581966e+04,-9.017695094371e-03
12000,2.880002554335e+04,1.920046753906e+04,9.599567987875e+03,2.880002555931e+04,-9.983586867747e-03
12200,2.880002543596e+04,1.920048154918e+04,9.599555140232e+03,2.880002541983e+04,-1.125345604123e-02
12400,2.880002597358e+04,1.920049271133e+04,9.599543343909e+03,2.880002598059e+04,-1.008165140047e-02
12600,2.880002555611e+04,1.920050600751e+04,9.599531102994e+03,2.880002558970e+04,-1.155439001741e-02
12800,2.880002470977e+04,1.920051765141e+04,9.599519440907e+03,2.880002472782e+04,-1.238254345481e-02
13000,2.880002411424e+04,1.920052789433e+04,9.599509425782e+03,2.880002413666e+04,-1.320586910697e-02
13200,2.880002664985e+04,1.920053817253e+04,9.599498705094e+03,2.880002670121e+04,-1.022777199069e-02
13400,2.880002850484e+04,1.920054918328e+04,9.599488113349e+03,2.880002849615e+04,-8.791786734946e-03
13600,2.880003003682e+04,1.920055942554e+04,9.599477466337e+03,2.880003002679e+04,-6.855063591502e-03
13800,2.880002943200e+04,1.920057071040e+04,9.599466960377e+03,2.880002945924e+04,-8.238769216405e-03
