step,Mff,Mr,Mb,Mrho,d_fc
200,2.880001167103e+04,1.919998323096e+04,9.599991552401e+03,2.880001166248e+04,3.688766968116e-02
400,2.880001186318e+04,1.919997777019e+04,9.599986175645e+03,2.880001188129e+04,4.791733998718e-02
600,2.880001228683e+04,1.919997260847e+04,9.599980218261e+03,2.880001228279e+04,5.946009366016e-02
800,2.880001246094e+04,1.919996650633e+04,9.599973705266e+03,2.880001247478e+04,7.224934174883e-02
1000,2.880001258129e+04,1.919996034903e+04,9.599967280911e+03,2.880001257938e+04,8.495135189696e-02
1200,2.880001265080e+04,1.919995435467e+04,9.599960739527e+03,2.880001261437e+04,9.755660144765e-02
1400,2.880001281566e+04,1.919994819893e+04,9.599954140183e+03,2.880001280582e+04,1.104765504861e-01
1600,2.880001305169e+04,1.919994175569e+04,9.599947541105e+03,2.880001305205e+04,1.237548947756e-01
1800,2.880001296323e+04,1.919993517916e+04,9.599941110660e+03,2.880001297349e+04,1.366734040894e-01
2000,2.880001298815e+04,1.919992872940e+04,9.599934704511e+03,2.880001300877e+04,1.495542392040e-01
2200,2.880001305635e+04,1.919992198887e+04,9.599928221673e+03,2.880001302463e+04,1.628458034593e-01
2400,2.880001307657e+04,1.919991527970e+04,9.599922030006e+03,2.880001305926e+04,1.757668582504e-01
2600,2.880001299877e+04,1.919990904427e+04,9.599915768268e+03,2.880001297700e+04,1.881862369901e-01
2800,2.880001305994e+04,1.919990252003e+04,9.599909105689e+03,2.880001303506e+04,2.014342204893e-01
3000,2.880001262558e+04,1.919989595069e+04,9.599902603813e+03,2.880001264828e+04,2.140710864333e-01
3200,2.880001275911e+04,1.919988921789e+04,9.599895824419e+03,2.880001276416e+04,2.277168038563e-01
3400,2.880001254706e+04,1.919988294534e+04,9.599889325066e+03,2.880001253569e+04,2.402766490050e-01
3600,2.880001258891e+04,1.919987618644e+04,9.599882937167e+03,2.880001259613e+04,2.534653057264e-01
3800,2.880001278570e+04,1.919987000543e+04,9.599876509971e+03,2.880001279473e+04,2.662702998496e-01
4000,2.880001275538e+04,1.919986376584e+04,9.599870162583e+03,2.880001274544e+04,2.788269633384e-01
4200,2.880001257912e+04,1.919985743461e+04,9.599863826547e+03,2.880001257539e+04,2.913179600728e-01
4400,2.880001319827e+04,1.919985119954e+04,9.599857108040e+03,2.880001318651e+04,3.048906900458e-01
4600,2.880001317641e+04,1.919984546535e+04,9.599850315727e+03,2.880001317197e+04,3.173953340156e-01
4800,2.880001324139e+04,1.919983986645e+04,9.599843373352e+03,2.880001323950e+04,3.300015862424e-01
5000,2.880001320122e+04,1.919983460406e+04,9.599836308124e+03,2.880001320744e+04,3.422890397451e-01
5200,2.880001364191e+04,1.919982938945e+04,9.599829580679e+03,2.880001364273e+04,3.546717881327e-01
5400,2.880001386446e+04,1.919982457140e+04,9.599822381795e+03,2.880001385760e+04,3.669112699208e-01
5600,2.880001280197e+04,1.919981995582e+04,9.599815420643e+03,2.880001280326e+04,3.774255020271e-01
5800,2.880001365890e+04,1.919981531815e+04,9.599808292576e+03,2.880001367229e+04,3.900481708770e-01
6000,2.880001372411e+04,1.919981056280e+04,9.599801525120e+03,2.880001373792e+04,4.016361961549e-01
6200,2.880001275894e+04,1.919980621381e+04,9.599794428028e+03,2.880001275676e+04,4.121170994131e-01
6400,2.880001333275e+04,1.919980199279e+04,9.599787310914e+03,2.880001332712e+04,4.240290467606e-01
6600,2.880001282153e+04,1.919979753473e+04,9.599779980136e+03,2.880001281929e+04,4.353066552831e-01
6800,2.880001423258e+04,1.919979340113e+04,9.599773050957e+03,2.880001420528e+04,4.477804923299e-01
7000,2.880001534775e+04,1.919978917568e+04,9.599765744784e+03,2.880001535589e+04,4.604272862289e-01
7200,2.880001719069e+04,1.919978486176e+04,9.599758428481e+03,2.880001721406e+04,4.739004545299e-01
7400,2.880001910259e+04,1.919978070244e+04,9.599750983549e+03,2.880001910448e+04,4.874165976726e-01
7600,2.880001708345e+04,1.919977724728e+04,9.599743536849e+03,2.880001707894e+04,4.962993129011e-01
7800,2.880001717192e+04,1.919977345840e+04,9.599736300194e+03,2.880001715219e+04,5.074133227790e-01
8000,2.880001717007e+04,1.919976987314e+04,9.599728973101e+03,2.880001718974e+04,5.183238251157e-01
8200,2.880001731396e+04,1.919976603590e+04,9.599721745424e+03,2.880001731712e+04,5.295326403975e-01
