step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
100,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
200,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
300,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
400,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
500,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
600,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
700,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
800,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
900,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1000,3.276801171875e+04,3.276801171875e+04,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,3.276801171875e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
