step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
0,5.493164062500e-04,5.493164062500e-04,0.000000000000e+00,0.000000000000e+00,-5.149841308594e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.351470947266e-04,6.025433540344e-03,0.000000000000e+00,nan
1,-5.527615547180e-03,6.351470947266e-04,6.162762641907e-03,0.000000000000e+00,1.132488250732e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.344846725464e-04,3.952935338020e-03,0.000000000000e+00,0.000000000000e+00
2,-9.469226002693e-03,2.344846725464e-04,9.703710675240e-03,0.000000000000e+00,4.700422286987e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.571940422058e-04,2.076241697068e-03,0.000000000000e+00,0.000000000000e+00
3,-1.107542547106e-02,2.571940422058e-04,1.133261951327e-02,0.000000000000e+00,3.313571214676e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.119690179825e-04,2.898340171669e-04,0.000000000000e+00,0.000000000000e+00
4,-1.103390236676e-02,2.119690179825e-04,1.124587138474e-02,0.000000000000e+00,4.336163401604e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.081370472908e-04,2.719340627664e-04,0.000000000000e+00,0.000000000000e+00
5,-1.087222008937e-02,5.081370472908e-04,1.138035713666e-02,0.000000000000e+00,1.136064529419e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.264140009880e-04,6.452512025135e-05,0.000000000000e+00,0.000000000000e+00
6,-1.082313875668e-02,-1.264140009880e-04,1.069672475569e-02,0.000000000000e+00,4.499927163124e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.472681760788e-04,1.809400855564e-04,0.000000000000e+00,0.000000000000e+00
7,-1.055408612592e-02,1.472681760788e-04,1.070135430200e-02,0.000000000000e+00,4.727765917778e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.557841897011e-04,3.264543047408e-04,0.000000000000e+00,0.000000000000e+00
8,-1.040776383888e-02,1.557841897011e-04,1.056354802859e-02,0.000000000000e+00,4.511550068855e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.869831562042e-05,1.507188484538e-03,0.000000000000e+00,0.000000000000e+00
9,-1.146379731654e-02,-3.869831562042e-05,1.142509900092e-02,0.000000000000e+00,5.106329917908e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.173334360123e-04,4.837314481847e-04,0.000000000000e+00,0.000000000000e+00
