step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
200,3.686411004717e+04,3.686411004717e+04,1.843204857277e+04,1.843204015744e+04,0.000000000000e+00,0.000000000000e+00,3.686411010700e+04,0.000000000000e+00,2.131695713615e-02,-5.983561277390e-05,-2.137679274892e-02,2.732114400715e-03
400,3.686421633665e+04,3.686421633665e+04,1.843208606652e+04,1.843205914978e+04,0.000000000000e+00,0.000000000000e+00,3.686421653616e+04,0.000000000000e+00,7.112034929742e-02,-1.995190978050e-04,-7.131986839522e-02,1.786345615983e-03
600,3.686431808896e+04,3.686431808896e+04,1.843212429897e+04,1.843207775116e+04,0.000000000000e+00,0.000000000000e+00,3.686431786436e+04,0.000000000000e+00,1.160388304925e-01,2.246052026749e-04,-1.158142252898e-01,7.306251791306e-04
800,3.686441680955e+04,3.686441680955e+04,1.843216293595e+04,1.843209965876e+04,0.000000000000e+00,0.000000000000e+00,3.686441708344e+04,0.000000000000e+00,1.542148437366e-01,-2.738907933235e-04,-1.544887345299e-01,1.480928476667e-04
1000,3.686451214386e+04,3.686451214386e+04,1.843220234195e+04,1.843213071070e+04,0.000000000000e+00,0.000000000000e+00,3.686451229733e+04,0.000000000000e+00,1.790912108336e-01,-1.534745097160e-04,-1.792446853433e-01,4.875759623246e-05
1200,3.686461138362e+04,3.686461138362e+04,1.843226235186e+04,1.843217611958e+04,0.000000000000e+00,0.000000000000e+00,3.686461100870e+04,0.000000000000e+00,1.729121712560e-01,3.749132156372e-04,-1.725372580404e-01,6.680765363853e-05
1400,3.686471335828e+04,3.686471335828e+04,1.843231214126e+04,1.843221432428e+04,0.000000000000e+00,0.000000000000e+00,3.686471321058e+04,0.000000000000e+00,1.868927437172e-01,1.477003097534e-04,-1.867450434074e-01,3.806932727457e-05
1600,3.686480947169e+04,3.686480947169e+04,1.843235359105e+04,1.843224436910e+04,0.000000000000e+00,0.000000000000e+00,3.686480932236e+04,0.000000000000e+00,2.115115392153e-01,1.493319869041e-04,-2.113622072284e-01,1.334232547379e-05
1800,3.686491677055e+04,3.686491677055e+04,1.843239312930e+04,1.843227024280e+04,0.000000000000e+00,0.000000000000e+00,3.686491696042e+04,0.000000000000e+00,2.533984542606e-01,-1.898705959320e-04,-2.535883248565e-01,1.558480335007e-06
2000,3.686502080021e+04,3.686502080021e+04,1.843242920483e+04,1.843228114216e+04,0.000000000000e+00,0.000000000000e+00,3.686502084130e+04,0.000000000000e+00,3.104532204088e-01,-4.108995199203e-05,-3.104943103608e-01,1.808055344554e-06
2200,3.686512409423e+04,3.686512409423e+04,1.843246452582e+04,1.843229447328e+04,0.000000000000e+00,0.000000000000e+00,3.686512426680e+04,0.000000000000e+00,3.650951202726e-01,-1.725777983665e-04,-3.652676980710e-01,1.739648951116e-06
2400,3.686521211856e+04,3.686521211856e+04,1.843249200471e+04,1.843229547665e+04,0.000000000000e+00,0.000000000000e+00,3.686521188521e+04,0.000000000000e+00,4.246372037815e-01,2.333447337151e-04,-4.244038590477e-01,7.339414764829e-07
2600,3.686524683075e+04,3.686524683075e+04,1.843252005070e+04,1.843229859734e+04,0.000000000000e+00,0.000000000000e+00,3.686524657071e+04,0.000000000000e+00,4.281827174345e-01,2.600476145744e-04,-4.279226698200e-01,3.161306096899e-07
2800,3.686528150275e+04,3.686528150275e+04,1.843253479073e+04,1.843229232835e+04,0.000000000000e+00,0.000000000000e+00,3.686528151298e+04,0.000000000000e+00,4.543836724915e-01,-1.022219657898e-05,-4.543938946881e-01,4.529353532234e-07
3000,3.686530006469e+04,3.686530006469e+04,1.843254684311e+04,1.843228380116e+04,0.000000000000e+00,0.000000000000e+00,3.686530001682e+04,0.000000000000e+00,4.694204223488e-01,4.786998033524e-05,-4.693725523684e-01,2.199970197125e-07
3200,3.686529828057e+04,3.686529828057e+04,1.843256242767e+04,1.843227076004e+04,0.000000000000e+00,0.000000000000e+00,3.686529821688e+04,0.000000000000e+00,4.650928587944e-01,6.368756294250e-05,-4.650291712314e-01,1.848714674679e-07
3400,3.686529817536e+04,3.686529817536e+04,1.843257010732e+04,1.843226309800e+04,0.000000000000e+00,0.000000000000e+00,3.686529817587e+04,0.000000000000e+00,4.649700364389e-01,-5.140900611877e-07,-4.649705505290e-01,2.126021598770e-07
3600,3.686529840320e+04,3.686529840320e+04,1.843257466650e+04,1.843225871075e+04,0.000000000000e+00,0.000000000000e+00,3.686529840451e+04,0.000000000000e+00,4.650259584450e-01,-1.311302185059e-06,-4.650272697472e-01,2.126021598770e-07
3800,3.686529842447e+04,3.686529842447e+04,1.843257456337e+04,1.843225897645e+04,0.000000000000e+00,0.000000000000e+00,3.686529840004e+04,0.000000000000e+00,4.648846492055e-01,2.443045377731e-05,-4.648602187517e-01,2.255431894582e-07
4000,3.686529838772e+04,3.686529838772e+04,1.843257447787e+04,1.843225903256e+04,0.000000000000e+00,0.000000000000e+00,3.686529832816e+04,0.000000000000e+00,4.648772917717e-01,5.955994129181e-05,-4.648177318304e-01,2.144509068103e-07
4200,3.686529837360e+04,3.686529837360e+04,1.843257445134e+04,1.843225904355e+04,0.000000000000e+00,0.000000000000e+00,3.686529832977e+04,0.000000000000e+00,4.648787077094e-01,4.383176565170e-05,-4.648348759438e-01,2.089047370646e-07
4400,3.686529838534e+04,3.686529838534e+04,1.843257448373e+04,1.843225905174e+04,0.000000000000e+00,0.000000000000e+00,3.686529833984e+04,0.000000000000e+00,4.648498641036e-01,4.549324512482e-05,-4.648043708585e-01,2.144508783886e-07
4600,3.686529838082e+04,3.686529838082e+04,1.843257444942e+04,1.843225904668e+04,0.000000000000e+00,0.000000000000e+00,3.686529834676e+04,0.000000000000e+00,4.648847180797e-01,3.406405448914e-05,-4.648506540252e-01,2.162996111110e-07
4800,3.686529840717e+04,3.686529840717e+04,1.843257446441e+04,1.843225905518e+04,0.000000000000e+00,0.000000000000e+00,3.686529835707e+04,0.000000000000e+00,4.648875746498e-01,5.009770393372e-05,-4.648374769458e-01,2.144509068103e-07
5000,3.686529838935e+04,3.686529838935e+04,1.843257445433e+04,1.843225904286e+04,0.000000000000e+00,0.000000000000e+00,3.686529833943e+04,0.000000000000e+00,4.648921658882e-01,4.992634057999e-05,-4.648422395476e-01,2.126021882987e-07
