x,psi_mean,p_mean
12,-1.0003336668014526,0.3329903483390808
13,-1.00016450881958,0.3329842984676361
14,-1.0002306699752808,0.3329792320728302
15,-1.0001943111419678,0.33297330141067505
16,-1.0002102851867676,0.3329677879810333
17,-1.0002049207687378,0.33296260237693787
18,-1.0002070665359497,0.3329577147960663
19,-1.0002076625823975,0.3329531252384186
20,-1.0002079010009766,0.33294880390167236
21,-1.0002092123031616,0.3329446613788605
22,-1.0002094507217407,0.3329407572746277
23,-1.0002105236053467,0.33293697237968445
24,-1.0002110004425049,0.3329334259033203
25,-1.0002120733261108,0.33292993903160095
26,-1.000212550163269,0.3329266309738159
27,-1.0002135038375854,0.33292344212532043
28,-1.0002140998840332,0.33292028307914734
29,-1.0002150535583496,0.3329172432422638
30,-1.0002156496047974,0.332914263010025
31,-1.0002166032791138,0.33291134238243103
32,-1.0002171993255615,0.3329084515571594
33,-1.0002180337905884,0.3329056203365326
34,-1.0002187490463257,0.33290278911590576
35,-1.0002195835113525,0.3328999876976013
36,-1.0002202987670898,0.3328971862792969
37,-1.0002212524414062,0.33289438486099243
38,-1.000221848487854,0.332891583442688
39,-1.0002228021621704,0.33288875222206116
40,-1.0002233982086182,0.3328859508037567
41,-1.0002243518829346,0.3328831195831299
42,-1.0002249479293823,0.33288028836250305
43,-1.0002259016036987,0.33287742733955383
44,-1.0002264976501465,0.3328745365142822
45,-1.000227451324463,0.3328716456890106
46,-1.0002281665802002,0.3328687846660614
47,-1.000229001045227,0.3328658640384674
48,-1.0002295970916748,0.3328629732131958
49,-1.0002305507659912,0.3328600525856018
50,-1.0002312660217285,0.3328571617603302
51,-1.000232219696045,0.3328542411327362
52,-1.0002328157424927,0.3328513205051422
53,-1.000233769416809,0.3328483998775482
54,-1.0002343654632568,0.3328455090522766
55,-1.0002351999282837,0.3328425884246826
56,-1.0002360343933105,0.332839697599411
57,-1.0002368688583374,0.3328368365764618
58,-1.0002375841140747,0.3328339755535126
59,-1.0002385377883911,0.33283111453056335
60,-1.0002391338348389,0.3328282833099365
61,-1.0002400875091553,0.3328254520893097
62,-1.000240683555603,0.33282268047332764
63,-1.000241756439209,0.3328199088573456
64,-1.0002423524856567,0.3328171670436859
65,-1.0002433061599731,0.332814484834671
66,-1.000243902206421,0.3328118622303009
67,-1.0002448558807373,0.3328092396259308
68,-1.0002455711364746,0.33280670642852783
69,-1.0002464056015015,0.33280426263809204
70,-1.0002472400665283,0.33280184864997864
71,-1.0002480745315552,0.3327995240688324
72,-1.000248670578003,0.3327972888946533
73,-1.0002496242523193,0.332795113325119
74,-1.0002503395080566,0.33279308676719666
75,-1.000251293182373,0.3327910602092743
76,-1.0002520084381104,0.33278921246528625
77,-1.0002529621124268,0.3327873945236206
78,-1.0002535581588745,0.33278563618659973
79,-1.0002543926239014,0.332783967256546
80,-1.0002552270889282,0.3327823281288147
81,-1.000256061553955,0.33278071880340576
82,-1.000256896018982,0.3327791392803192
83,-1.0002577304840088,0.3327775299549103
84,-1.0002583265304565,0.3327759802341461
85,-1.000259280204773,0.3327743113040924
86,-1.0002599954605103,0.3327726125717163
87,-1.0002609491348267,0.33277085423469543
88,-1.000261664390564,0.3327690064907074
89,-1.0002626180648804,0.3327670693397522
90,-1.0002633333206177,0.3327650725841522
91,-1.000264286994934,0.3327629268169403
92,-1.0002648830413818,0.332760751247406
93,-1.0002658367156982,0.3327583968639374
94,-1.0002665519714355,0.33275601267814636
95,-1.000267505645752,0.3327535092830658
96,-1.0002682209014893,0.33275094628334045
97,-1.0002690553665161,0.33274829387664795
98,-1.0002697706222534,0.33274558186531067
99,-1.0002707242965698,0.3327428102493286
100,-1.0002714395523071,0.33274000883102417
101,-1.0002723932266235,0.33273714780807495
102,-1.0002731084823608,0.33273425698280334
103,-1.0002740621566772,0.33273130655288696
104,-1.0002747774124146,0.33272841572761536
105,-1.000275731086731,0.33272549510002136
106,-1.0002763271331787,0.33272257447242737
107,-1.0002772808074951,0.3327195942401886
108,-1.0002779960632324,0.3327166736125946
109,-1.0002789497375488,0.33271369338035583
110,-1.0002796649932861,0.33271080255508423
111,-1.0002806186676025,0.33270782232284546
112,-1.0002813339233398,0.33270493149757385
113,-1.0002821683883667,0.33270201086997986
114,-1.000282883644104,0.33269912004470825
115,-1.00028395652771,0.33269619941711426
116,-1.0002846717834473,0.33269330859184265
117,-1.0002856254577637,0.33269044756889343
118,-1.0002862215042114,0.33268752694129944
119,-1.0002871751785278,0.3326846659183502
120,-1.0002878904342651,0.3326817750930786
121,-1.0002888441085815,0.332678884267807
122,-1.0002895593643188,0.3326760530471802
123,-1.0002905130386353,0.33267319202423096
124,-1.0002912282943726,0.3326703906059265
125,-1.000292181968689,0.3326675593852997
126,-1.0002930164337158,0.3326647877693176
127,-1.0002938508987427,0.33266207575798035
128,-1.00029456615448,0.33265942335128784
129,-1.0002955198287964,0.3326568305492401
130,-1.0002962350845337,0.33265435695648193
131,-1.00029718875885,0.3326520025730133
132,-1.0002977848052979,0.3326497972011566
133,-1.0002988576889038,0.3326477110385895
134,-1.0002995729446411,0.3326457440853119
135,-1.0003005266189575,0.33264392614364624
136,-1.0003012418746948,0.33264219760894775
137,-1.0003020763397217,0.33264049887657166
138,-1.0003029108047485,0.33263882994651794
139,-1.000303864479065,0.33263707160949707
140,-1.0003045797348022,0.33263516426086426
141,-1.0003055334091187,0.33263301849365234
142,-1.000306248664856,0.33263060450553894
143,-1.0003072023391724,0.3326277434825897
144,-1.0003079175949097,0.33262452483177185
145,-1.000308871269226,0.3326207995414734
146,-1.0003095865249634,0.3326166570186615
147,-1.0003105401992798,0.3326120376586914
148,-1.000311255455017,0.33260706067085266
149,-1.0003122091293335,0.33260175585746765
150,-1.0003129243850708,0.33259621262550354
151,-1.0003139972686768,0.3325905203819275
152,-1.0003145933151245,0.33258479833602905
153,-1.000315546989441,0.332579106092453
154,-1.0003163814544678,0.3325735330581665
155,-1.0003172159194946,0.33256807923316956
156,-1.0003180503845215,0.3325628340244293
157,-1.0003188848495483,0.3325577974319458
158,-1.0003197193145752,0.3325529992580414
159,-1.0003206729888916,0.3325484097003937
160,-1.0003212690353394,0.3325440287590027
161,-1.0003223419189453,0.33253979682922363
162,-1.0003230571746826,0.3325357139110565
163,-1.000324010848999,0.33253172039985657
164,-1.0003247261047363,0.33252787590026855
165,-1.0003256797790527,0.3325240910053253
166,-1.00032639503479,0.33252042531967163
167,-1.0003273487091064,0.33251678943634033
168,-1.0003280639648438,0.3325132429599762
169,-1.0003291368484497,0.33250972628593445
170,-1.0003297328948975,0.33250635862350464
171,-1.0003306865692139,0.33250296115875244
172,-1.0003314018249512,0.3324997127056122
173,-1.0003323554992676,0.33249643445014954
174,-1.0003331899642944,0.33249327540397644
175,-1.0003341436386108,0.3324902057647705
176,-1.0003349781036377,0.33248716592788696
177,-1.000335931777954,0.3324842154979706
178,-1.0003365278244019,0.3324812948703766
179,-1.0003376007080078,0.33247846364974976
180,-1.0003381967544556,0.3324756324291229
181,-1.0003392696380615,0.3324728310108185
