step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
5400,2.880000266575e+04,2.880000266575e+04,1.920005614546e+04,9.599964062591e+03,0.000000000000e+00,0.000000000000e+00,2.880000266802e+04,0.000000000000e+00,-1.754229924336e-02,-2.274289727211e-06,1.754002495363e-02
5600,2.880000276320e+04,2.880000276320e+04,1.920005698253e+04,9.599962191887e+03,0.000000000000e+00,0.000000000000e+00,2.880000275230e+04,0.000000000000e+00,-1.641121529610e-02,1.089461147785e-05,1.642210990758e-02
5800,2.880000262859e+04,2.880000262859e+04,1.920005778283e+04,9.599960033036e+03,0.000000000000e+00,0.000000000000e+00,2.880000265032e+04,0.000000000000e+00,-1.518727610164e-02,-2.172589302063e-05,1.516555020862e-02
6000,2.880000251224e+04,2.880000251224e+04,1.920005870959e+04,9.599957722012e+03,0.000000000000e+00,0.000000000000e+00,2.880000251698e+04,0.000000000000e+00,-1.391936405525e-02,-4.746019840240e-06,1.391461803723e-02
6200,2.880000248794e+04,2.880000248794e+04,1.920005985342e+04,9.599955201493e+03,0.000000000000e+00,0.000000000000e+00,2.880000248319e+04,0.000000000000e+00,-1.256697244207e-02,4.753470420837e-06,1.257172591431e-02
6400,2.880000257614e+04,2.880000257614e+04,1.920006110955e+04,9.599952827210e+03,0.000000000000e+00,0.000000000000e+00,2.880000257760e+04,0.000000000000e+00,-1.136062262231e-02,-1.467764377594e-06,1.135915485793e-02
6600,2.880000220593e+04,2.880000220593e+04,1.920006272144e+04,9.599950768755e+03,0.000000000000e+00,0.000000000000e+00,2.880000220394e+04,0.000000000000e+00,-1.128426560172e-02,1.991167664528e-06,1.128625676938e-02
6800,2.880000190725e+04,2.880000190725e+04,1.920006419211e+04,9.599948722747e+03,0.000000000000e+00,0.000000000000e+00,2.880000190812e+04,0.000000000000e+00,-1.100760032386e-02,-8.698552846909e-07,1.100673047040e-02
7000,2.880000166617e+04,2.880000166617e+04,1.920006562986e+04,9.599946361572e+03,0.000000000000e+00,0.000000000000e+00,2.880000165319e+04,0.000000000000e+00,-1.032526890413e-02,1.297332346439e-05,1.033824222759e-02
7200,2.880000207852e+04,2.880000207852e+04,1.920006734909e+04,9.599943938319e+03,0.000000000000e+00,0.000000000000e+00,2.880000207621e+04,0.000000000000e+00,-9.208895960910e-03,2.307817339897e-06,9.211203778250e-03
7400,2.880000186343e+04,2.880000186343e+04,1.920006924767e+04,9.599941237610e+03,0.000000000000e+00,0.000000000000e+00,2.880000185978e+04,0.000000000000e+00,-8.621855056845e-03,3.645196557045e-06,8.625500253402e-03
7600,2.880000224795e+04,2.880000224795e+04,1.920007102004e+04,9.599938720201e+03,0.000000000000e+00,0.000000000000e+00,2.880000225580e+04,0.000000000000e+00,-7.492296324926e-03,-7.851049304008e-06,7.484445275622e-03
7800,2.880000184331e+04,2.880000184331e+04,1.920007299210e+04,9.599936454510e+03,0.000000000000e+00,0.000000000000e+00,2.880000186449e+04,0.000000000000e+00,-7.603297355672e-03,-2.117827534676e-05,7.582119080325e-03
8000,2.880000133643e+04,2.880000133643e+04,1.920007505216e+04,9.599934010684e+03,0.000000000000e+00,0.000000000000e+00,2.880000131726e+04,0.000000000000e+00,-7.726406605798e-03,1.917220652103e-05,7.745578812319e-03
8200,2.880000130885e+04,2.880000130885e+04,1.920007717578e+04,9.599931184778e+03,0.000000000000e+00,0.000000000000e+00,2.880000130916e+04,0.000000000000e+00,-7.051704826154e-03,-3.054738044739e-07,7.051399352349e-03
8400,2.880000133018e+04,2.880000133018e+04,1.920007969400e+04,9.599928302294e+03,0.000000000000e+00,0.000000000000e+00,2.880000134248e+04,0.000000000000e+00,-6.666105817203e-03,-1.229159533978e-05,6.653814220044e-03
8600,2.880000126484e+04,2.880000126484e+04,1.920008226525e+04,9.599925136390e+03,0.000000000000e+00,0.000000000000e+00,2.880000127286e+04,0.000000000000e+00,-6.136800006061e-03,-8.020550012589e-06,6.128779456049e-03
8800,2.880000119287e+04,2.880000119287e+04,1.920008495570e+04,9.599921796731e+03,0.000000000000e+00,0.000000000000e+00,2.880000118476e+04,0.000000000000e+00,-5.559561908740e-03,8.108094334602e-06,5.567670003074e-03
9000,2.880000084731e+04,2.880000084731e+04,1.920008789760e+04,9.599918454120e+03,0.000000000000e+00,0.000000000000e+00,2.880000084525e+04,0.000000000000e+00,-5.504406473847e-03,2.056360244751e-06,5.506462832273e-03
9200,2.879999965800e+04,2.879999965800e+04,1.920009107408e+04,9.599914875749e+03,0.000000000000e+00,0.000000000000e+00,2.879999964613e+04,0.000000000000e+00,-6.291830430200e-03,1.187622547150e-05,6.303706657491e-03
9400,2.879999962449e+04,2.879999962449e+04,1.920009450810e+04,9.599911103015e+03,0.000000000000e+00,0.000000000000e+00,2.879999962962e+04,0.000000000000e+00,-5.986626943923e-03,-5.125999450684e-06,5.981500944472e-03
9600,2.879999936415e+04,2.879999936415e+04,1.920009801225e+04,9.599907189265e+03,0.000000000000e+00,0.000000000000e+00,2.879999936271e+04,0.000000000000e+00,-5.837367736603e-03,1.443549990654e-06,5.838811288413e-03
9800,2.879999900892e+04,2.879999900892e+04,1.920010224405e+04,9.599903017645e+03,0.000000000000e+00,0.000000000000e+00,2.879999900639e+04,0.000000000000e+00,-6.252778239286e-03,2.529472112656e-06,6.255307711399e-03
10000,2.879999872574e+04,2.879999872574e+04,1.920010571072e+04,9.599899059889e+03,0.000000000000e+00,0.000000000000e+00,2.879999871022e+04,0.000000000000e+00,-6.044865933291e-03,1.552700996399e-05,6.060392945074e-03
10200,2.879999829344e+04,2.879999829344e+04,1.920011012623e+04,9.599895193590e+03,0.000000000000e+00,0.000000000000e+00,2.879999828404e+04,0.000000000000e+00,-7.026373285044e-03,9.400770068169e-06,7.035774055112e-03
10400,2.879999764926e+04,2.879999764926e+04,1.920011418265e+04,9.599891101182e+03,0.000000000000e+00,0.000000000000e+00,2.879999764836e+04,0.000000000000e+00,-7.634572360985e-03,8.996576070786e-07,7.635472018592e-03
10600,2.879999771405e+04,2.879999771405e+04,1.920011820849e+04,9.599887293681e+03,0.000000000000e+00,0.000000000000e+00,2.879999771494e+04,0.000000000000e+00,-7.788115839503e-03,-8.847564458847e-07,7.787231083057e-03
10800,2.879999787945e+04,2.879999787945e+04,1.920012182261e+04,9.599883564355e+03,0.000000000000e+00,0.000000000000e+00,2.879999788678e+04,0.000000000000e+00,-7.507519503633e-03,-7.327646017075e-06,7.500191859435e-03
11000,2.879999776245e+04,2.879999776245e+04,1.920012513167e+04,9.599879687226e+03,0.000000000000e+00,0.000000000000e+00,2.879999775213e+04,0.000000000000e+00,-7.056438415020e-03,1.032464206219e-05,7.066763057082e-03
11200,2.879999785758e+04,2.879999785758e+04,1.920012882274e+04,9.599876213425e+03,0.000000000000e+00,0.000000000000e+00,2.879999785966e+04,0.000000000000e+00,-7.178581694461e-03,-2.074986696243e-06,7.176506707765e-03
11400,2.879999746437e+04,2.879999746437e+04,1.920013202196e+04,9.599872576117e+03,0.000000000000e+00,0.000000000000e+00,2.879999746895e+04,0.000000000000e+00,-7.133705199522e-03,-4.576519131660e-06,7.129128680390e-03
11600,2.879999747795e+04,2.879999747795e+04,1.920013492161e+04,9.599868883608e+03,0.000000000000e+00,0.000000000000e+00,2.879999748218e+04,0.000000000000e+00,-6.327269315079e-03,-4.228204488754e-06,6.323041110591e-03
11800,2.879999759164e+04,2.879999759164e+04,1.920013831207e+04,9.599865104937e+03,0.000000000000e+00,0.000000000000e+00,2.879999758536e+04,0.000000000000e+00,-5.825364343764e-03,6.284564733505e-06,5.831648908497e-03
12000,2.879999743175e+04,2.879999743175e+04,1.920014130597e+04,9.599861660161e+03,0.000000000000e+00,0.000000000000e+00,2.879999744922e+04,0.000000000000e+00,-5.534382016776e-03,-1.746974885464e-05,5.516912267922e-03
12200,2.879999763305e+04,2.879999763305e+04,1.920014445257e+04,9.599858124638e+03,0.000000000000e+00,0.000000000000e+00,2.879999762708e+04,0.000000000000e+00,-4.944157712089e-03,5.969777703285e-06,4.950127491611e-03
