step,d_fc_abs,d_frho_abs,d_crho_abs,J0_fF_bitdiff,J1_collision,J2_fill,J3_stream1,J4_bc,J5_stream3copy,J6_macro,J7_colortrans,J8_colconsume,J9_closure_max
4903,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4904,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4905,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4906,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4907,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4908,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4909,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4910,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4911,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4912,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4913,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4914,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4915,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4916,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4917,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4918,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4919,-4.737854003906e-03,2.059936523438e-04,4.943847656250e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.059936523438e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
