step,Mff,Mr,Mb,Mrho,d_fc
12200,3.686458166573e+04,1.843127343182e+04,1.843122896713e+04,3.686458175546e+04,2.079266782897e+00
12400,3.686457875775e+04,1.843126452667e+04,1.843122107471e+04,3.686457863772e+04,2.093156368530e+00
12600,3.686458351265e+04,1.843124999634e+04,1.843120993265e+04,3.686458324873e+04,2.123583651588e+00
12800,3.686460041556e+04,1.843123370682e+04,1.843119583275e+04,3.686460038066e+04,2.170875985390e+00
13000,3.686462680547e+04,1.843122115612e+04,1.843118313093e+04,3.686462702131e+04,2.222518419960e+00
13200,3.686463912593e+04,1.843120172674e+04,1.843116889870e+04,3.686463954067e+04,2.268500489408e+00
13400,3.686466146602e+04,1.843119026659e+04,1.843115382269e+04,3.686466185647e+04,2.317376750932e+00
13600,3.686465975100e+04,1.843117646809e+04,1.843114106022e+04,3.686466016936e+04,2.342222682488e+00
13800,3.686465810493e+04,1.843116152704e+04,1.843112887487e+04,3.686465847486e+04,2.367703030457e+00
14000,3.686463839187e+04,1.843115757375e+04,1.843112069665e+04,3.686463932264e+04,2.360121466925e+00
14200,3.686464462462e+04,1.843114949249e+04,1.843110791458e+04,3.686464413548e+04,2.387217543026e+00
14400,3.686465487491e+04,1.843113396564e+04,1.843109588345e+04,3.686465434599e+04,2.425025812227e+00
14600,3.686464630428e+04,1.843112589368e+04,1.843108815951e+04,3.686464607626e+04,2.432251090839e+00
14800,3.686462701024e+04,1.843111818719e+04,1.843107791555e+04,3.686462707907e+04,2.430907493890e+00
15000,3.686462511555e+04,1.843110602031e+04,1.843106430807e+04,3.686462509638e+04,2.454787165490e+00
15200,3.686461269964e+04,1.843109588178e+04,1.843105414517e+04,3.686461330265e+04,2.462672691265e+00
15400,3.686460337798e+04,1.843108853304e+04,1.843104169161e+04,3.686460339767e+04,2.473153333318e+00
15600,3.686461633777e+04,1.843107848503e+04,1.843102662840e+04,3.686461627263e+04,2.511224343380e+00
15800,3.686461798272e+04,1.843106842398e+04,1.843101501765e+04,3.686461835617e+04,2.534541091791e+00
16000,3.686462303055e+04,1.843105588094e+04,1.843100388450e+04,3.686462288576e+04,2.563265121615e+00
16200,3.686462530391e+04,1.843104736403e+04,1.843098888329e+04,3.686462511742e+04,2.589056594712e+00
16400,3.686463692009e+04,1.843103459989e+04,1.843097502971e+04,3.686463679618e+04,2.627290490735e+00
16600,3.686465450190e+04,1.843101996723e+04,1.843096063920e+04,3.686465423852e+04,2.673895461132e+00
16800,3.686467125679e+04,1.843100758349e+04,1.843094758928e+04,3.686467162842e+04,2.716084023246e+00
17000,3.686468586906e+04,1.843099241726e+04,1.843093464938e+04,3.686468549925e+04,2.758802428656e+00
17200,3.686470409781e+04,1.843097503147e+04,1.843091731638e+04,3.686470409554e+04,2.811749957029e+00
17400,3.686472126478e+04,1.843095950046e+04,1.843090634606e+04,3.686472105932e+04,2.855418251438e+00
17600,3.686473027281e+04,1.843095289735e+04,1.843089407406e+04,3.686473040932e+04,2.883301397909e+00
17800,3.686473757078e+04,1.843094368610e+04,1.843088129945e+04,3.686473766124e+04,2.912585235212e+00
18000,3.686474619931e+04,1.843093251523e+04,1.843087501076e+04,3.686474678493e+04,2.938673318502e+00
18200,3.686475431065e+04,1.843091963660e+04,1.843086240148e+04,3.686475425476e+04,2.972272564457e+00
18400,3.686478162157e+04,1.843090561820e+04,1.843084744238e+04,3.686478140354e+04,3.028560984418e+00
18600,3.686480031658e+04,1.843089083058e+04,1.843083692145e+04,3.686480077767e+04,3.072564554481e+00
18800,3.686483070365e+04,1.843087861067e+04,1.843082344291e+04,3.686483112985e+04,3.128650070190e+00
19000,3.686485877658e+04,1.843085997426e+04,1.843080628502e+04,3.686485885626e+04,3.192517294068e+00
19200,3.686487981295e+04,1.843084493096e+04,1.843078963413e+04,3.686487987953e+04,3.245247859239e+00
19400,3.686491380059e+04,1.843082747208e+04,1.843077194640e+04,3.686491415393e+04,3.314382106619e+00
19600,3.686494016577e+04,1.843081251897e+04,1.843076168366e+04,3.686494025373e+04,3.365963141568e+00
19800,3.686493277382e+04,1.843079798246e+04,1.843074912416e+04,3.686493290758e+04,3.385667195362e+00
20000,3.686492315568e+04,1.843078554362e+04,1.843073808745e+04,3.686492320514e+04,3.399524610428e+00
