step,umax,Pc,n_mixed,n_liq,n_gas
250,0.01916731521487236,0.0019407868385314941,12,56,172
500,0.02113143354654312,0.0001175999641418457,22,52,166
750,0.022786257788538933,0.0013231337070465088,28,50,162
1000,0.02442687563598156,0.0018739104270935059,28,50,162
1250,0.025141093879938126,0.0009040236473083496,30,50,160
1500,0.026032807305455208,0.0020523369312286377,30,50,160
1750,0.02547220140695572,0.0010501742362976074,32,50,158
2000,0.02522088773548603,0.001827836036682129,32,50,158
2250,0.026151161640882492,0.0015712380409240723,32,50,158
2500,0.02601037733256817,0.0014081895351409912,32,50,158
2750,0.02588324248790741,0.0018660128116607666,34,50,156
3000,0.025761451572179794,0.0013513565063476562,36,48,156
3250,0.025806117802858353,0.0018360614776611328,36,48,156
3500,0.02571260556578636,0.0015389025211334229,36,48,156
3750,0.02579004317522049,0.001628279685974121,36,48,156
4000,0.025752702727913857,0.0017093420028686523,36,48,156
4250,0.02576030045747757,0.0015138983726501465,36,48,156
4500,0.025783244520425797,0.0017482936382293701,36,48,156
4750,0.025749657303094864,0.001550227403640747,36,48,156
5000,0.025790469720959663,0.0016729235649108887,36,48,156
5250,0.02576184831559658,0.001637101173400879,36,48,156
5500,0.02577955648303032,0.0015960335731506348,36,48,156
5750,0.025779634714126587,0.0016840100288391113,36,48,156
6000,0.025771301239728928,0.0015843510627746582,36,48,156
6250,0.025789156556129456,0.001668781042098999,36,48,156
6500,0.02577403001487255,0.0016179382801055908,36,48,156
6750,0.025788336992263794,0.0016300976276397705,36,48,156
7000,0.025783313438296318,0.0016497969627380371,36,48,156
7250,0.025785138830542564,0.0016112327575683594,36,48,156
7500,0.02579168789088726,0.0016547143459320068,36,48,156
7750,0.025786379352211952,0.0016190707683563232,36,48,156
8000,0.02579556219279766,0.0016396641731262207,36,48,156
8250,0.025791959837079048,0.0016356110572814941,36,48,156
8500,0.02579657733440399,0.0016261637210845947,36,48,156
8750,0.02579851821064949,0.0016436278820037842,36,48,156
9000,0.02579822763800621,0.001624971628189087,36,48,156
9250,0.025803180411458015,0.001639634370803833,36,48,156
9500,0.025801898911595345,0.00163191556930542,36,48,156
9750,0.025805789977312088,0.0016322731971740723,36,48,156
10000,0.025806548073887825,0.0016377568244934082,36,48,156
10250,0.025807686150074005,0.0016295313835144043,36,48,156
10500,0.025810059159994125,0.0016375482082366943,36,48,156
10750,0.02580982819199562,0.0016321241855621338,36,48,156
11000,0.025812046602368355,0.001634150743484497,36,48,156
11250,0.025812316685914993,0.001635432243347168,36,48,156
11500,0.025813262909650803,0.0016319751739501953,36,48,156
11750,0.025814279913902283,0.0016360878944396973,36,48,156
12000,0.025814447551965714,0.001632988452911377,36,48,156
