step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000643730e+04,2.880000643730e+04,1.920000441647e+04,9.600002094746e+03,0.000000000000e+00,0.000000000000e+00,2.880001013446e+04,0.000000000000e+00,-7.390975952148e-05,-3.697156906128e-03,-3.623247146606e-03
200,2.880001188962e+04,2.880001188962e+04,1.920000992955e+04,9.600002020086e+03,0.000000000000e+00,0.000000000000e+00,2.880001189572e+04,0.000000000000e+00,-6.001703150105e-05,-6.100162863731e-06,5.391686863732e-05
400,2.880001242608e+04,2.880001242608e+04,1.920000721881e+04,9.600000104848e+03,0.000000000000e+00,0.000000000000e+00,2.880001243007e+04,0.000000000000e+00,5.102421118863e-03,-3.993511199951e-06,-5.106414631882e-03
600,2.880001272944e+04,2.880001272944e+04,1.920000381548e+04,9.599998658133e+03,0.000000000000e+00,0.000000000000e+00,2.880001272768e+04,0.000000000000e+00,1.025582483635e-02,1.762062311172e-06,-1.025406277404e-02
800,2.880001257950e+04,2.880001257950e+04,1.920000013490e+04,9.599997071164e+03,0.000000000000e+00,0.000000000000e+00,2.880001258129e+04,0.000000000000e+00,1.537344065036e-02,-1.788139343262e-06,-1.537522878789e-02
1000,2.880001262464e+04,2.880001262464e+04,1.919999634236e+04,9.599994899120e+03,0.000000000000e+00,0.000000000000e+00,2.880001260674e+04,0.000000000000e+00,2.138316766286e-02,1.790374517441e-05,-2.136526391769e-02
1200,2.880001254511e+04,2.880001254511e+04,1.919999220516e+04,9.599993001710e+03,0.000000000000e+00,0.000000000000e+00,2.880001253277e+04,0.000000000000e+00,2.733824004827e-02,1.234188675880e-05,-2.732589816151e-02
1400,2.880001240315e+04,2.880001240315e+04,1.919998840832e+04,9.599990987195e+03,0.000000000000e+00,0.000000000000e+00,2.880001241004e+04,0.000000000000e+00,3.300763413790e-02,-6.899237632751e-06,-3.301453337554e-02
1600,2.880001241403e+04,2.880001241403e+04,1.919998453790e+04,9.599988832958e+03,0.000000000000e+00,0.000000000000e+00,2.880001243842e+04,0.000000000000e+00,3.904317214983e-02,-2.438761293888e-05,-3.906755976277e-02
1800,2.880001255015e+04,2.880001255015e+04,1.919998003277e+04,9.599986955010e+03,0.000000000000e+00,0.000000000000e+00,2.880001257616e+04,0.000000000000e+00,4.556236963072e-02,-2.601742744446e-05,-4.558838705998e-02
