step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000643730e+04,2.880000643730e+04,1.920000454223e+04,9.600002253175e+03,0.000000000000e+00,0.000000000000e+00,2.880001013446e+04,0.000000000000e+00,-3.581047058105e-04,-3.697156906128e-03,-3.339052200317e-03
200,2.880001118633e+04,2.880001118633e+04,1.920003667593e+04,9.600027674813e+03,0.000000000000e+00,0.000000000000e+00,2.880001117522e+04,0.000000000000e+00,-5.316440917159e-02,1.111626625061e-05,5.317552543784e-02
400,2.880001142383e+04,2.880001142383e+04,1.920007105819e+04,9.600053587564e+03,0.000000000000e+00,0.000000000000e+00,2.880001143813e+04,0.000000000000e+00,-1.132219225819e-01,-1.430138945580e-05,1.132076211943e-01
600,2.880001167066e+04,2.880001167066e+04,1.920009962880e+04,9.600080266369e+03,0.000000000000e+00,0.000000000000e+00,2.880001164854e+04,0.000000000000e+00,-1.682245157990e-01,2.212077379227e-05,1.682466365746e-01
800,2.880001147794e+04,2.880001147794e+04,1.920013150479e+04,9.600108653929e+03,0.000000000000e+00,0.000000000000e+00,2.880001149303e+04,0.000000000000e+00,-2.286807850069e-01,-1.509115099907e-05,2.286656938559e-01
1000,2.880001151139e+04,2.880001151139e+04,1.920016429341e+04,9.600137505829e+03,0.000000000000e+00,0.000000000000e+00,2.880001149398e+04,0.000000000000e+00,-2.902878435834e-01,1.741200685501e-05,2.903052555921e-01
1200,2.880001121476e+04,2.880001121476e+04,1.920019745488e+04,9.600166390485e+03,0.000000000000e+00,0.000000000000e+00,2.880001118761e+04,0.000000000000e+00,-3.526305980413e-01,2.714991569519e-05,3.526577479570e-01
1400,2.880001123346e+04,2.880001123346e+04,1.920023070108e+04,9.600195592199e+03,0.000000000000e+00,0.000000000000e+00,2.880001122552e+04,0.000000000000e+00,-4.150598154520e-01,7.942318916321e-06,4.150677577709e-01
1600,2.880001146016e+04,2.880001146016e+04,1.920026648434e+04,9.600224574798e+03,0.000000000000e+00,0.000000000000e+00,2.880001146352e+04,0.000000000000e+00,-4.795989805716e-01,-3.363937139511e-06,4.795956166345e-01
1800,2.880001139736e+04,2.880001139736e+04,1.920030268432e+04,9.600253257385e+03,0.000000000000e+00,0.000000000000e+00,2.880001142019e+04,0.000000000000e+00,-5.445443414010e-01,-2.283044159412e-05,5.445215109576e-01
