step,rho_liq,rho_gas,p_liq,p_gas,pc_bands,m_r,m_b,inj_r,inj_b,umax,urms
250,1,1,0.33282202,0.3323164,-0.0005056262,34320.036,5960.753,-0.01924336,32.718973,0.021012397,0.0021780627
1000,1,1,0.33277114,0.33172572,-0.0010454257,34040.067,6330.1292,-280.25149,402.0329,0.023090594,0.0039957636
2000,1,1,0.33282453,0.33243815,-0.00038637718,33461.038,6913.8995,-859.67669,985.7102,0.02068487,0.0042356984
3000,1,1,0.33278823,0.33268499,-0.00010323524,32864.291,7506.4348,-1456.8075,1578.1427,0.02124734,0.004273192
4000,1,1,0.33270454,0.33299516,0.00029061238,32266.217,8098.7189,-2055.261,2170.3143,0.021885507,0.004304938
5000,1,1,0.33272294,0.33156013,-0.0011628071,31667.792,8692.0894,-2654.0649,2763.571,0.02282591,0.0043123807
6000,1,1,0.33275898,0.33182995,-0.00092903773,31068.385,9285.6597,-3253.8451,3357.0209,0.023516271,0.0043120217
7000,1,1,0.33269433,0.33232401,-0.00037032366,30468.318,9879.1934,-3854.2794,3950.4279,0.020732688,0.0042678332
8000,1,1,0.33262781,0.33254292,-8.4896882e-05,29868.302,10472.491,-4454.6562,4543.5919,0.021220168,0.0042854962
9000,1,1,0.33260069,0.3327961,0.00019540389,29268.395,11066.345,-5054.9071,5137.3073,0.021875065,0.004312926
10000,1,1,0.33260846,0.33137542,-0.0012330413,28668.244,11661.407,-5655.3862,5732.222,0.022676187,0.0043200501
11000,1,1,0.33258375,0.33163921,-0.00094453494,28067.771,12256.076,-6256.181,6326.7346,0.023349691,0.0043213689
12000,1,1,0.3325551,0.33211873,-0.0004363656,27466.699,12850.921,-6857.5703,6921.4159,0.020586129,0.0042723776
13000,1,1,0.33252815,0.33232621,-0.00020194054,26865.458,13445.638,-7459.1319,7515.9613,0.02100138,0.0042890548
14000,1,1,0.33252045,0.33253084,1.0391076e-05,26264.179,14041.105,-8060.7318,8111.248,0.021549437,0.004307264
15000,1,1,0.33246728,0.33103891,-0.0014283657,25662.938,14637.564,-8662.2779,8707.5163,0.022233469,0.0043269233
16000,1,1,0.33243112,0.33132279,-0.0011083285,25061.424,15233.631,-9264.0752,9303.3833,0.023023481,0.0043276497
17000,1,1,0.33249801,0.33154796,-0.0009500583,24459.892,15829.711,-9865.8776,9899.2534,0.02357363,0.0043273577
18000,1,1,0.33241975,0.33203898,-0.00038077434,23858.485,16425.782,-10467.547,10495.106,0.02072382,0.0042879973
19000,1,1,0.33238802,0.33224068,-0.00014734268,23256.583,17022.441,-11069.703,11091.537,0.021146968,0.004303542
20000,1,1,0.33233738,0.33238473,4.7345956e-05,22654.596,17619.928,-11671.939,11688.786,0.02183119,0.0043190578
21000,1,1,0.33229097,0.3309138,-0.0013771653,22052.449,18217.081,-12274.333,12285.69,0.022348216,0.0043330686
22000,1,1,0.33228711,0.33119889,-0.0010882219,21450.544,18814.365,-12876.479,12882.718,0.02305463,0.0043340651
23000,1,1,0.33235002,0.33139847,-0.00095154842,20848.734,19411.511,-13478.521,13479.597,0.023576288,0.0043340465
24000,1,1,0.33226422,0.33186547,-0.00039875507,20246.987,20009.024,-14080.494,14076.832,0.020683648,0.0042922595
25000,1,1,0.33221036,0.33202573,-0.00018463532,19645.389,20607.403,-14682.308,14674.927,0.021088319,0.0043092784
26000,1,1,0.332201,0.33220349,2.4835269e-06,19043.149,21205.519,-15284.758,15272.751,0.021566976,0.0043241335
27000,1,1,0.33215936,0.33068585,-0.0014735063,18440.724,21803.716,-15887.386,15870.648,0.022151047,0.0043410198
28000,1,1,0.33214323,0.3309767,-0.0011665225,17838.405,22401.792,-16489.9,16468.416,0.022858117,0.0043411758
29000,1,1,0.33212376,0.33117793,-0.00094582637,17236.245,23000.149,-17092.243,17066.456,0.023393523,0.0043404079
30000,1,1,0.33211124,0.33156927,-0.00054196517,16634.308,23599.077,-17694.354,17665.06,0.022909287,0.00433248
31000,1,1,0.33206371,0.33178576,-0.00027795633,16032.241,24198.329,-18296.587,18263.983,0.020910343,0.004306098
32000,1,1,0.33203973,0.33195583,-8.3903472e-05,15430.078,24797.298,-18898.906,18862.619,0.021355791,0.0043199817
33000,1,1,0.33198309,0.33210713,0.00012403727,14828.153,25396.319,-19500.98,19461.307,0.021971621,0.0043395371
34000,1,1,0.33197069,0.33061296,-0.0013577342,14225.695,25995.263,-20103.581,20059.917,0.022445997,0.0043496625
35000,1,1,0.33193759,0.33084677,-0.0010908246,13623.291,26594.462,-20706.123,20658.78,0.023082266,0.0043491619
36000,1,1,0.33195847,0.33102417,-0.00093430281,13020.878,27194.319,-21308.668,21258.301,0.023560155,0.0043472205
37000,1,1,0.33193793,0.3314866,-0.00045132637,12418.394,27794.22,-21911.281,21857.863,0.020611795,0.0042978371
38000,1,1,0.33189948,0.3316496,-0.00024988254,11816.072,28394,-22513.728,22457.3,0.02099408,0.0043120664
39000,1,1,0.33187423,0.33180334,-7.0889791e-05,11213.736,28993.806,-23116.184,23056.758,0.021340219,0.0043261265
40000,1,1,0.3318005,0.3319427,0.00014219681,10611.428,29593.548,-23718.608,23656.132,0.021968044,0.0043448266
