step,x_vol,x_cross
250,40.168034,39
500,40.655168,39
750,41.245573,40
1000,41.906551,40
1250,42.658551,41
1500,43.499805,42
1750,44.356042,43
2000,45.220785,44
2250,46.105792,44
2500,47.00116,45
2750,47.898258,46
3000,48.795988,47
3250,49.699064,48
3500,50.602409,49
3750,51.506498,50
4000,52.411487,51
4250,53.316703,52
4500,54.224007,53
4750,55.131132,53
5000,56.037874,54
5250,56.945805,55
5500,57.852958,56
5750,58.761995,57
6000,59.671521,58
6250,60.581193,59
6500,61.492143,60
6750,62.403178,61
7000,63.315015,62
7250,64.228007,63
7500,65.140019,63
7750,66.052319,64
8000,66.965849,65
8250,67.878609,66
8500,68.792814,67
8750,69.708492,68
9000,70.624552,69
9250,71.541394,70
9500,72.459119,71
9750,73.376615,72
10000,74.294588,73
10250,75.213298,74
10500,76.131234,74
10750,77.049967,75
11000,77.969137,76
11250,78.888106,77
11500,79.808663,78
11750,80.730705,79
12000,81.653361,80
12250,82.57679,81
12500,83.500806,82
12750,84.424349,83
13000,85.348071,84
13250,86.272656,85
13500,87.197689,86
13750,88.121794,86
14000,89.047225,87
14250,89.973226,88
14500,90.899259,89
14750,91.82631,90
15000,92.755037,91
15250,93.684074,92
15500,94.613273,93
15750,95.543091,94
16000,96.472957,95
16250,97.402775,96
16500,98.333081,97
16750,99.263924,98
17000,100.19511,99
17250,101.12583,99
17500,102.0578,100
17750,102.99029,101
18000,103.92304,102
18250,104.85623,103
18500,105.79082,104
18750,106.72542,105
19000,107.66038,106
19250,108.59538,107
19500,109.53092,108
19750,110.46645,109
20000,111.40208,110
20250,112.33847,111
20500,113.27543,112
20750,114.21287,113
21000,115.1499,113
21250,116.08787,114
21500,117.02638,115
21750,117.96462,116
22000,118.90259,117
22250,119.84151,118
22500,120.78127,119
22750,121.72105,120
23000,122.66127,121
23250,123.60137,122
23500,124.54196,123
23750,125.48255,124
24000,126.42314,125
24250,127.36423,126
24500,128.3058,127
24750,129.24804,128
25000,130.18992,128
25250,131.13172,129
25500,132.07412,130
25750,133.01659,131
26000,133.95903,132
26250,134.90124,133
26500,135.84438,134
26750,136.78796,135
27000,137.73156,136
27250,138.67555,137
27500,139.6195,138
27750,140.56387,139
28000,141.50825,140
28250,142.45264,141
28500,143.39714,142
28750,144.34185,143
29000,145.28656,144
29250,146.23136,145
29500,147.17562,145
29750,148.12016,146
30000,149.06493,147
30250,150.00964,148
30500,150.95428,149
30750,151.89881,150
31000,152.84447,151
31250,153.7904,152
31500,154.73638,153
31750,155.68267,154
32000,156.62894,155
32250,157.57544,156
32500,158.52163,157
32750,159.46751,158
33000,160.41335,159
33250,161.35938,160
33500,162.30545,161
33750,163.2516,162
34000,164.19718,163
34250,165.14261,163
34500,166.08856,164
34750,167.03442,165
35000,167.98014,166
35250,168.92554,167
35500,169.87144,168
35750,170.818,169
36000,171.76452,170
36250,172.71087,171
36500,173.65718,172
36750,174.60368,173
37000,175.55005,174
37250,176.49616,175
37500,177.44191,176
37750,178.38771,177
38000,179.33361,178
38250,180.27959,179
38500,181.22557,180
38750,182.17074,180
39000,183.11634,181
39250,184.06217,182
39500,185.00789,183
39750,185.95332,184
40000,186.89837,185
