step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
1,2.880000643730e+04,2.880000643730e+04,1.920000454366e+04,9.600002253175e+03,0.000000000000e+00,0.000000000000e+00,2.880001013446e+04,0.000000000000e+00,-3.595352172852e-04,-3.697156906128e-03,-3.337621688843e-03
200,2.880001145861e+04,2.880001145861e+04,1.920003708834e+04,9.600027731921e+03,0.000000000000e+00,0.000000000000e+00,2.880001145911e+04,0.000000000000e+00,-5.336165896369e-02,-5.066394805908e-07,5.336115232421e-02
400,2.880001246764e+04,2.880001246764e+04,1.920007119644e+04,9.600053588612e+03,0.000000000000e+00,0.000000000000e+00,2.880001250726e+04,0.000000000000e+00,-1.123174108616e-01,-3.962218761444e-05,1.122777886740e-01
600,2.880001314153e+04,2.880001314153e+04,1.920009987400e+04,9.600080508871e+03,0.000000000000e+00,0.000000000000e+00,2.880001317781e+04,0.000000000000e+00,-1.672413439774e-01,-3.628619015217e-05,1.672050577872e-01
800,2.880001325758e+04,2.880001325758e+04,1.920013210931e+04,9.600109054351e+03,0.000000000000e+00,0.000000000000e+00,2.880001326293e+04,0.000000000000e+00,-2.279060748660e-01,-5.345791578293e-06,2.279007290745e-01
1000,2.880001316105e+04,2.880001316105e+04,1.920016542176e+04,9.600137826000e+03,0.000000000000e+00,0.000000000000e+00,2.880001317847e+04,0.000000000000e+00,-2.900867095850e-01,-1.741573214531e-05,2.900692938529e-01
1200,2.880001284476e+04,2.880001284476e+04,1.920019839368e+04,9.600166543428e+03,0.000000000000e+00,0.000000000000e+00,2.880001284909e+04,0.000000000000e+00,-3.520923534634e-01,-4.334375262260e-06,3.520880190881e-01
1400,2.880001287190e+04,2.880001287190e+04,1.920023206632e+04,9.600195674782e+03,0.000000000000e+00,0.000000000000e+00,2.880001287359e+04,0.000000000000e+00,-4.148692042418e-01,-1.691281795502e-06,4.148675129618e-01
1600,2.880001280703e+04,2.880001280703e+04,1.920026805950e+04,9.600224664440e+03,0.000000000000e+00,0.000000000000e+00,2.880001280344e+04,0.000000000000e+00,-4.799169091366e-01,3.593042492867e-06,4.799205021773e-01
1800,2.880001278275e+04,2.880001278275e+04,1.920030437236e+04,9.600253481432e+03,0.000000000000e+00,0.000000000000e+00,2.880001277786e+04,0.000000000000e+00,-5.450710381810e-01,4.887580871582e-06,5.450759257619e-01
2000,2.880001288819e+04,2.880001288819e+04,1.920034027033e+04,9.600281937600e+03,0.000000000000e+00,0.000000000000e+00,2.880001288939e+04,0.000000000000e+00,-6.093197398768e-01,-1.197680830956e-06,6.093185421960e-01
2200,2.880001274367e+04,2.880001274367e+04,1.920037609040e+04,9.600310205615e+03,0.000000000000e+00,0.000000000000e+00,2.880001272279e+04,0.000000000000e+00,-6.735523449861e-01,2.087652683258e-05,6.735732215129e-01
2400,2.880001279323e+04,2.880001279323e+04,1.920041169205e+04,9.600338748902e+03,0.000000000000e+00,0.000000000000e+00,2.880001279676e+04,0.000000000000e+00,-7.376477211401e-01,-3.525987267494e-06,7.376441951528e-01
2600,2.880001278751e+04,2.880001278751e+04,1.920044729590e+04,9.600367426420e+03,0.000000000000e+00,0.000000000000e+00,2.880001278782e+04,0.000000000000e+00,-8.019348057023e-01,-3.054738044739e-07,8.019345002285e-01
2800,2.880001252808e+04,2.880001252808e+04,1.920048229727e+04,9.600396413489e+03,0.000000000000e+00,0.000000000000e+00,2.880001250976e+04,0.000000000000e+00,-8.661826802072e-01,1.831725239754e-05,8.662009974578e-01
