step,umax,p_liq,p_gas,Pc,psi_mean_liq_band,psi_mean_gas_band
250,0.019460540264844894,0.33474687735239667,0.3346329927444458,-0.00011388460795086486,-1.00001859664917,0.9999533891677856
500,0.021814975887537003,0.33275649944941205,0.3350658416748047,0.002309342225392641,-1.000300645828247,0.9998580813407898
750,0.02491450123488903,0.332228144009908,0.33518683910369873,0.0029586950937907086,-1.0003395080566406,0.999860942363739
1000,0.025352943688631058,0.3323621153831482,0.33523865540822345,0.002876540025075258,-1.0004055500030518,0.999779462814331
1250,0.025024551898241043,0.33266502618789673,0.33511777718861896,0.002452751000722231,-1.0004347562789917,0.9997201561927795
1500,0.025063520297408104,0.33291258414586383,0.33503087361653644,0.0021182894706726074,-1.0003989934921265,0.9997102618217468
1750,0.025093067437410355,0.3330308198928833,0.33499574661254883,0.0019649267196655273,-1.0004091262817383,0.9997045993804932
2000,0.0253729447722435,0.33297232786814374,0.33501442273457843,0.002042094866434696,-1.0004048347473145,0.9997041821479797
2250,0.025320185348391533,0.33285093307495117,0.33505964279174805,0.002208709716796875,-1.0004115104675293,0.9997028708457947
2500,0.02530570700764656,0.3327601154645284,0.33509528636932373,0.0023351709047953473,-1.0004185438156128,0.9997015595436096
2750,0.025371117517352104,0.33273816108703613,0.33510438601175946,0.002366224924723326,-1.000425934791565,0.9997004270553589
3000,0.025286519899964333,0.3327632149060567,0.3350965181986491,0.0023333032925924035,-1.0004326105117798,0.9996997117996216
3250,0.02525806985795498,0.3327999512354533,0.33508511384328205,0.002285162607828739,-1.0004379749298096,0.9996989965438843
3500,0.025414321571588516,0.3328246474266052,0.33507827917734784,0.002253631750742613,-1.0004417896270752,0.9996989965438843
3750,0.025432178750634193,0.33283255497614544,0.3350769678751628,0.002244412899017334,-1.0004457235336304,0.9996995329856873
4000,0.025313938036561012,0.33282498518625897,0.3350812594095866,0.0022562742233276367,-1.0004496574401855,0.9997012615203857
4250,0.025210442021489143,0.3328138589859009,0.3350869417190552,0.002273082733154297,-1.0004538297653198,0.9997044801712036
4500,0.025204453617334366,0.33280712366104126,0.3350912729899089,0.002284149328867613,-1.0004578828811646,0.9997094869613647
4750,0.025179550051689148,0.33280716339747113,0.33509310086568195,0.002285937468210819,-1.0004618167877197,0.999715268611908
5000,0.025180747732520103,0.332811176776886,0.33509329954783124,0.0022821227709452496,-1.000464916229248,0.9997212886810303
5250,0.025185193866491318,0.3328159848848979,0.33509325981140137,0.002277274926503481,-1.0004663467407227,0.9997280836105347
5500,0.025259794667363167,0.33281876643498737,0.33509397506713867,0.0022752086321513043,-1.0004693269729614,0.999735414981842
5750,0.025199754163622856,0.33281968037287396,0.33509544531504315,0.0022757649421691895,-1.0004721879959106,0.999742329120636
6000,0.025232328101992607,0.33281954129536945,0.3350972334543864,0.002277692159016964,-1.0004746913909912,0.9997488260269165
6250,0.025275684893131256,0.3328193426132202,0.3350990215937297,0.0022796789805094586,-1.0004777908325195,0.9997549653053284
6500,0.025340555235743523,0.3328198194503784,0.3351004918416341,0.002280672391255678,-1.0004805326461792,0.9997607469558716
6750,0.02542794495820999,0.33282069365183514,0.33510200182596844,0.0022813081741333008,-1.0004825592041016,0.9997662305831909
7000,0.025495585054159164,0.3328218062718709,0.33510327339172363,0.0022814671198527203,-1.0004849433898926,0.999771237373352
7250,0.02553023397922516,0.3328232367833455,0.3351045449574788,0.0022813081741333008,-1.0004875659942627,0.9997760057449341
7500,0.025531262159347534,0.33282470703125,0.3351057767868042,0.0022810697555541992,-1.000489592552185,0.9997801780700684
7750,0.025538530200719833,0.33282585938771564,0.33510708808898926,0.0022812287012736188,-1.0004899501800537,0.9997843503952026
8000,0.025543440133333206,0.33282703161239624,0.33510835965474445,0.0022813280423482074,-1.0004911422729492,0.9997882843017578
8250,0.025542907416820526,0.33282830317815143,0.3351095914840698,0.002281288305918394,-1.0004922151565552,0.9997920989990234
8500,0.02555733546614647,0.3328296144803365,0.335110863049825,0.0022812485694885254,-1.0004929304122925,0.9997953176498413
8750,0.02553059346973896,0.33283084630966187,0.33511197566986084,0.0022811293601989746,-1.0004935264587402,0.9997983574867249
9000,0.025568045675754547,0.33283193906148273,0.3351132869720459,0.0022813479105631695,-1.0004944801330566,0.9998010993003845
9250,0.025473657995462418,0.33283307154973346,0.33511443932851154,0.002281367778778076,-1.0004957914352417,0.9998035430908203
9500,0.025499144569039345,0.33283448219299316,0.3351159493128459,0.0022814671198527203,-1.0004971027374268,0.9998056888580322
9750,0.025421783328056335,0.3328351577123006,0.33511706193288165,0.0022819042205810547,-1.000498652458191,0.9998078346252441
10000,0.025370270013809204,0.3328363498051961,0.33511853218078613,0.002282182375590025,-1.0004992485046387,0.9998098015785217
10250,0.02530471421778202,0.33283742268880206,0.3351197640101115,0.0022823413213094446,-1.0005000829696655,0.9998117089271545
10500,0.02524474821984768,0.3328385551770528,0.3351210355758667,0.002282480398813902,-1.0005013942718506,0.999813437461853
10750,0.025259049609303474,0.33283968766530353,0.3351222276687622,0.0022825400034586774,-1.0005028247833252,0.999815046787262
