t,x_left,x_right,x_right_star,e_x,d,x_L_vol,x_R_vol,e_x_vol,E_psi
250,82.38305,242.61694,82.38306,7.6293945e-06,-80.11694,83.18859100341797,242.81141662597656,1.0000076293945312,7.824287361775835e-07
500,81.99795,243.00204,81.997955,7.6293945e-06,-80.502045,83.18782043457031,242.8121795654297,1.0,1.3632352153460185e-05
750,81.950516,243.04948,81.950516,0.0,-80.549484,83.2140884399414,242.7859115600586,1.0,2.399541437625885e-05
1000,81.87671,243.12329,81.87671,0.0,-80.62329,83.23338317871094,242.76666259765625,1.0000457763671875,3.443284270664056e-05
1250,81.825874,243.17422,81.825775,9.918213e-05,-80.67418,83.19405364990234,242.80602264404297,1.0000762939453125,4.17169618109862e-05
1500,81.870316,243.12987,81.87013,0.00018310547,-80.629776,83.24156951904297,242.7584457397461,1.0000152587890625,4.718954985340436e-05
1750,81.818245,243.18198,81.81802,0.00022125244,-80.68187,83.18798828125,242.81200408935547,0.9999923706054688,4.9294369916121165e-05
2000,81.853874,243.14638,81.85362,0.00025177002,-80.646255,83.22209167480469,242.77791595458984,1.0000076293945312,5.158184717098872e-05
2250,81.8278,243.17249,81.827515,0.0002822876,-80.67235,83.19688415527344,242.80315399169922,1.0000381469726562,5.2651800215244295e-05
2500,81.831535,243.16872,81.83128,0.00025177002,-80.668594,83.19921112060547,242.80083465576172,1.0000457763671875,5.447376519441605e-05
2750,81.834656,243.16557,81.83443,0.00022888184,-80.66546,83.20283508300781,242.79720306396484,1.0000381469726562,5.701538796226183e-05
3000,81.81806,243.18208,81.81792,0.0001449585,-80.68201,83.18558502197266,242.81441497802734,1.0,5.827220156788826e-05
3250,81.83198,243.16809,81.83191,6.866455e-05,-80.66806,83.19926452636719,242.80072021484375,0.9999847412109375,5.7481502493222556e-05
3500,81.81383,243.18622,81.81378,4.5776367e-05,-80.686195,83.18114471435547,242.81883239746094,0.9999771118164062,5.4931653042634325e-05
3750,81.823135,243.17686,81.823135,0.0,-80.676865,83.18992614746094,242.81007385253906,1.0,5.6613609194755556e-05
4000,81.813805,243.18619,81.81381,7.6293945e-06,-80.68619,83.18074035644531,242.81928253173828,1.0000228881835938,5.7169397672017414e-05
4250,81.81352,243.18639,81.813614,9.1552734e-05,-80.68643,83.17998504638672,242.82000732421875,0.9999923706054688,5.917331203818321e-05
