step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs
5400,2.880001135673e+04,2.880001135673e+04,1.919989447960e+04,9.599946602310e+03,0.000000000000e+00,0.000000000000e+00,2.880001134330e+04,0.000000000000e+00,1.702748178541e-01,1.343153417110e-05,-1.702613863199e-01
5600,2.880001174828e+04,2.880001174828e+04,1.919989146347e+04,9.599943675732e+03,0.000000000000e+00,0.000000000000e+00,2.880001176071e+04,0.000000000000e+00,1.766090817218e-01,-1.242756843567e-05,-1.766215092903e-01
5800,2.880001073719e+04,2.880001073719e+04,1.919988846633e+04,9.599940813030e+03,0.000000000000e+00,0.000000000000e+00,2.880001076150e+04,0.000000000000e+00,1.814578369158e-01,-2.430565655231e-05,-1.814821425723e-01
6000,2.880001064874e+04,2.880001064874e+04,1.919988526967e+04,9.599937618141e+03,0.000000000000e+00,0.000000000000e+00,2.880001063263e+04,0.000000000000e+00,1.877609278599e-01,1.610442996025e-05,-1.877448234300e-01
6200,2.880001017244e+04,2.880001017244e+04,1.919988222893e+04,9.599934604072e+03,0.000000000000e+00,0.000000000000e+00,2.880001016498e+04,0.000000000000e+00,1.933394388107e-01,7.463619112968e-06,-1.933319751915e-01
6400,2.880000967119e+04,2.880000967119e+04,1.919987947407e+04,9.599931610368e+03,0.000000000000e+00,0.000000000000e+00,2.880000967366e+04,0.000000000000e+00,1.985867520343e-01,-2.462416887283e-06,-1.985892144512e-01
6600,2.880000879027e+04,2.880000879027e+04,1.919987637343e+04,9.599928643777e+03,0.000000000000e+00,0.000000000000e+00,2.880000880063e+04,0.000000000000e+00,2.037730603606e-01,-1.035630702972e-05,-2.037834166695e-01
6800,2.880001006478e+04,2.880001006478e+04,1.919987362815e+04,9.599925465427e+03,0.000000000000e+00,0.000000000000e+00,2.880001006198e+04,0.000000000000e+00,2.109711999256e-01,2.801418304443e-06,-2.109683985072e-01
7000,2.880001113845e+04,2.880001113845e+04,1.919987080911e+04,9.599922511936e+03,0.000000000000e+00,0.000000000000e+00,2.880001114851e+04,0.000000000000e+00,2.178174040782e-01,-1.006573438644e-05,-2.178274698126e-01
7200,2.880001298732e+04,2.880001298732e+04,1.919986827616e+04,9.599919191921e+03,0.000000000000e+00,0.000000000000e+00,2.880001300919e+04,0.000000000000e+00,2.255192412067e-01,-2.186745405197e-05,-2.255411086589e-01
7400,2.880001380104e+04,2.880001380104e+04,1.919986565009e+04,9.599915727627e+03,0.000000000000e+00,0.000000000000e+00,2.880001381367e+04,0.000000000000e+00,2.324233215095e-01,-1.263618469238e-05,-2.324359576960e-01
7600,2.880001475151e+04,2.880001475151e+04,1.919986300235e+04,9.599912081967e+03,0.000000000000e+00,0.000000000000e+00,2.880001474631e+04,0.000000000000e+00,2.396672017912e-01,5.206093192101e-06,-2.396619956999e-01
7800,2.880001473131e+04,2.880001473131e+04,1.919986050867e+04,9.599908540434e+03,0.000000000000e+00,0.000000000000e+00,2.880001473504e+04,0.000000000000e+00,2.456822053828e-01,-3.729015588760e-06,-2.456859343984e-01
8000,2.880001570563e+04,2.880001570563e+04,1.919985844184e+04,9.599905035126e+03,0.000000000000e+00,0.000000000000e+00,2.880001570255e+04,0.000000000000e+00,2.522286576350e-01,3.082677721977e-06,-2.522255749573e-01
8200,2.880001706352e+04,2.880001706352e+04,1.919985619391e+04,9.599901570586e+03,0.000000000000e+00,0.000000000000e+00,2.880001706940e+04,0.000000000000e+00,2.592990192861e-01,-5.882233381271e-06,-2.593049015195e-01
8400,2.880001907689e+04,2.880001907689e+04,1.919985368444e+04,9.599898000628e+03,0.000000000000e+00,0.000000000000e+00,2.880001906729e+04,0.000000000000e+00,2.673918186774e-01,9.600073099136e-06,-2.673822186043e-01
8600,2.880001923479e+04,2.880001923479e+04,1.919985207174e+04,9.599894635679e+03,0.000000000000e+00,0.000000000000e+00,2.880001924288e+04,0.000000000000e+00,2.725273691485e-01,-8.096918463707e-06,-2.725354660652e-01
8800,2.880001989310e+04,2.880001989310e+04,1.919984997926e+04,9.599891530690e+03,0.000000000000e+00,0.000000000000e+00,2.880001987934e+04,0.000000000000e+00,2.783831445049e-01,1.375563442707e-05,-2.783693888705e-01
9000,2.880001952991e+04,2.880001952991e+04,1.919984846622e+04,9.599888368407e+03,0.000000000000e+00,0.000000000000e+00,2.880001953048e+04,0.000000000000e+00,2.826952831238e-01,-5.625188350677e-07,-2.826958456426e-01
9200,2.880002054047e+04,2.880002054047e+04,1.919984655350e+04,9.599885156207e+03,0.000000000000e+00,0.000000000000e+00,2.880002054369e+04,0.000000000000e+00,2.888307669091e-01,-3.224238753319e-06,-2.888339911478e-01
9400,2.880002086839e+04,2.880002086839e+04,1.919984469722e+04,9.599882132330e+03,0.000000000000e+00,0.000000000000e+00,2.880002086425e+04,0.000000000000e+00,2.940388366842e-01,4.140660166740e-06,-2.940346960240e-01
9600,2.880002094972e+04,2.880002094972e+04,1.919984248113e+04,9.599879086375e+03,0.000000000000e+00,0.000000000000e+00,2.880002094650e+04,0.000000000000e+00,2.993822158205e-01,3.220513463020e-06,-2.993789953071e-01
9800,2.880001989679e+04,2.880001989679e+04,1.919984013618e+04,9.599876358320e+03,0.000000000000e+00,0.000000000000e+00,2.880001989180e+04,0.000000000000e+00,3.034022909342e-01,4.995614290237e-06,-3.033972953199e-01
10000,2.880002046924e+04,2.880002046924e+04,1.919983822676e+04,9.599873196616e+03,0.000000000000e+00,0.000000000000e+00,2.880002047932e+04,0.000000000000e+00,3.090458631086e-01,-1.007877290249e-05,-3.090559418815e-01
10200,2.880002103205e+04,2.880002103205e+04,1.919983635417e+04,9.599870671937e+03,0.000000000000e+00,0.000000000000e+00,2.880002103496e+04,0.000000000000e+00,3.140059428952e-01,-2.902001142502e-06,-3.140088448963e-01
10400,2.880002141122e+04,2.880002141122e+04,1.919983412781e+04,9.599868225119e+03,0.000000000000e+00,0.000000000000e+00,2.880002141494e+04,0.000000000000e+00,3.190582851166e-01,-3.717839717865e-06,-3.190620029563e-01
10600,2.880002209487e+04,2.880002209487e+04,1.919983174550e+04,9.599865655580e+03,0.000000000000e+00,0.000000000000e+00,2.880002210051e+04,0.000000000000e+00,3.246937930762e-01,-5.634501576424e-06,-3.246994275760e-01
10800,2.880002178907e+04,2.880002178907e+04,1.919983042118e+04,9.599863302539e+03,0.000000000000e+00,0.000000000000e+00,2.880002177680e+04,0.000000000000e+00,3.280653524507e-01,1.227483153343e-05,-3.280530776174e-01
