step,Mff,Mr,Mb,Mrho,d_fc
400,3.686403165240e+04,1.843200008535e+04,1.843200464742e+04,3.686403212893e+04,2.691962481549e-02
800,3.686401733031e+04,1.843199412420e+04,1.843200218742e+04,3.686401737279e+04,2.101868866157e-02
1200,3.686402785076e+04,1.843202768754e+04,1.843203702092e+04,3.686402812076e+04,-3.685770023731e-02
1600,3.686401193958e+04,1.843207253296e+04,1.843209281004e+04,3.686401081502e+04,-1.534034247816e-01
2000,3.686401276278e+04,1.843210868655e+04,1.843212664136e+04,3.686401331848e+04,-2.225651240915e-01
2400,3.686402316898e+04,1.843212351539e+04,1.843214434885e+04,3.686402359653e+04,-2.446952610771e-01
2800,3.686403055711e+04,1.843213089380e+04,1.843215426127e+04,3.686403032386e+04,-2.545979536080e-01
3200,3.686402767248e+04,1.843213477732e+04,1.843216264066e+04,3.686402905732e+04,-2.697454973131e-01
3600,3.686404396497e+04,1.843214047768e+04,1.843217208640e+04,3.686404366779e+04,-2.685991174076e-01
4000,3.686403048836e+04,1.843213296374e+04,1.843216504190e+04,3.686403030747e+04,-2.675172830350e-01
4400,3.686402459959e+04,1.843213981737e+04,1.843216358996e+04,3.686402450597e+04,-2.788077398327e-01
4800,3.686405574655e+04,1.843213683018e+04,1.843218119973e+04,3.686405568027e+04,-2.622833598689e-01
5200,3.686410564958e+04,1.843214310711e+04,1.843219125630e+04,3.686410610867e+04,-2.287138323154e-01
5600,3.686414593006e+04,1.843215523425e+04,1.843221792811e+04,3.686414601785e+04,-2.272323012803e-01
6000,3.686416635105e+04,1.843216062767e+04,1.843225277932e+04,3.686416623247e+04,-2.470559457215e-01
6400,3.686417038041e+04,1.843217216438e+04,1.843225737824e+04,3.686417030871e+04,-2.591622189175e-01
6800,3.686417128914e+04,1.843218807323e+04,1.843226467688e+04,3.686417115170e+04,-2.814609751767e-01
7200,3.686419369971e+04,1.843220554487e+04,1.843228246601e+04,3.686419423145e+04,-2.943111761997e-01
7600,3.686420494715e+04,1.843222562091e+04,1.843229364244e+04,3.686420482928e+04,-3.143161975604e-01
8000,3.686424056032e+04,1.843222739983e+04,1.843230345675e+04,3.686424098498e+04,-2.902962609478e-01
8400,3.686425147647e+04,1.843222824156e+04,1.843231202132e+04,3.686425222558e+04,-2.887864020522e-01
8800,3.686426662226e+04,1.843224288588e+04,1.843233112682e+04,3.686426673472e+04,-3.073904308294e-01
9200,3.686427683840e+04,1.843224904142e+04,1.843234304996e+04,3.686427713615e+04,-3.152529825602e-01
9600,3.686424740030e+04,1.843225256486e+04,1.843235438593e+04,3.686424770761e+04,-3.595504917757e-01
10000,3.686423600381e+04,1.843225963480e+04,1.843237144381e+04,3.686423597366e+04,-3.950748037969e-01
10400,3.686423979594e+04,1.843226397688e+04,1.843238898786e+04,3.686423990381e+04,-4.131687984409e-01
10800,3.686424822179e+04,1.843225957672e+04,1.843240673423e+04,3.686424815583e+04,-4.180891661745e-01
11200,3.686423931753e+04,1.843226338659e+04,1.843241294440e+04,3.686423910499e+04,-4.370134483652e-01
11600,3.686424369916e+04,1.843227110716e+04,1.843241948291e+04,3.686424311292e+04,-4.468909120333e-01
12000,3.686422538658e+04,1.843228009127e+04,1.843241878543e+04,3.686422502899e+04,-4.734901174270e-01
12400,3.686423305404e+04,1.843228758448e+04,1.843243784577e+04,3.686423378605e+04,-4.923762071085e-01
12800,3.686425356087e+04,1.843229496644e+04,1.843245293007e+04,3.686425375104e+04,-4.943356415024e-01
13200,3.686422108460e+04,1.843230916895e+04,1.843245868842e+04,3.686422040451e+04,-5.467727719297e-01
13600,3.686422322401e+04,1.843231621561e+04,1.843247297438e+04,3.686422352576e+04,-5.659659826051e-01
14000,3.686422616070e+04,1.843231353929e+04,1.843246918184e+04,3.686422636008e+04,-5.565604341500e-01
14400,3.686421712299e+04,1.843231156135e+04,1.843247185087e+04,3.686421782702e+04,-5.662892283835e-01
