step,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff,d_fc_abs,d_frho_abs,d_crho_abs,umax
2600,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2700,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2800,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2900,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3000,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3100,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3200,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3300,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3400,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3500,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3600,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3700,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3800,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3900,4.096001464844e+03,4.096001464844e+03,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,4.096001464844e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
