step,Mff,Mr,Mb,Mrho,d_fc
2000,3.686402901377e+04,1.843211819545e+04,1.843213603801e+04,3.686402899438e+04,-2.252196909867e-01
4000,3.686408566855e+04,1.843215674891e+04,1.843220036116e+04,3.686408613884e+04,-2.714415321607e-01
6000,3.686412746716e+04,1.843216699074e+04,1.843223740384e+04,3.686412743950e+04,-2.769274259263e-01
8000,3.686420642347e+04,1.843222518739e+04,1.843232118875e+04,3.686420671874e+04,-3.399526690882e-01
10000,3.686426109100e+04,1.843224427793e+04,1.843237537274e+04,3.686426156795e+04,-3.585596650046e-01
12000,3.686424047912e+04,1.843223792694e+04,1.843240033212e+04,3.686424016690e+04,-3.977799475360e-01
14000,3.686424582135e+04,1.843225743580e+04,1.843244010446e+04,3.686424578017e+04,-4.517188978680e-01
16000,3.686423479130e+04,1.843225798979e+04,1.843248385449e+04,3.686423452115e+04,-5.070529795667e-01
18000,3.686421770869e+04,1.843226273645e+04,1.843252271720e+04,3.686421743953e+04,-5.677449551804e-01
20000,3.686424068890e+04,1.843229170809e+04,1.843258189637e+04,3.686424037999e+04,-6.329155559797e-01
