t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.023012055084109306,0.0022921953350305557,1,"[12, 39]","[52, 486]",9,-2.5303772808748293e-06,-3.3142022562554923e-06,0.9694131908884667,0.8673708325076733,0.0023144183856775857,0.002306298533927942,0.0023119663941083,0.00025218725204467773,0.0005245804786682129,1.0,1.0,0.012762651778757572,0.0022667781449854374,109131.78490397113,9757.830993185522,-68.92860555648804,397.6869772672653,325.53242415189743,-0.7135095276171342,-0.14401591825662763
2000,0.022067701444029808,0.0033777186181396246,1,"[12, 41]","[54, 486]",9,-6.125698535905041e-06,-2.6819428249797995e-06,0.9959134183010679,0.9665597944098496,0.0018557398461322427,0.0018557398461322427,0.0018557398461322427,0.0003567934036254883,0.00012561678886413574,1.0,1.0,0.012576619163155556,0.002177671529352665,108423.73173340087,10294.47036136394,-777.983246088028,934.2018412351608,148.84708446264267,-1.7149794888973702,-0.2685201287786185
3000,0.021419256925582886,0.0037788450717926025,1,"[12, 44]","[57, 486]",9,-2.8096281450841117e-06,-2.830825014287424e-06,0.9354488886496221,0.9817906694312207,0.0020197482392159127,0.0020197482392159127,0.0020197482392159127,0.0003394484519958496,0.0003477334976196289,1.0,1.0,0.013470659963786602,0.0025142100639641285,107678.18005715964,11117.74635798866,-1524.5920579433441,1757.322546005249,223.6168097257614,-2.772115102983662,-0.4238119834117242
4000,0.023547720164060593,0.003958339802920818,1,"[12, 48]","[60, 486]",8,-4.7771703629305974e-06,-2.73184226284801e-06,0.8922247864676482,0.9877270290677219,0.001950678050568866,0.001950678050568866,0.0019561275631268527,0.0003470182418823242,0.00023758411407470703,1.0,1.0,0.015340938232839108,0.0023322911001741886,106810.55906861265,11938.12211980825,-2393.34848177433,2577.5206750035286,174.4258251786232,-3.9075503869826207,-0.6014448047208134
5000,0.02133326418697834,0.004005230497568846,1,"[12, 51]","[64, 486]",9,-2.9806002431569684e-06,-2.748809621858745e-06,0.9460135220035559,0.9927705978303933,0.0019557193945751172,0.0019557193945751172,0.0019557193945751172,0.0003642141819000244,0.00028699636459350586,1.0,1.0,0.01319557148963213,0.0025001070462167263,105949.04746725425,12811.388495745217,-3256.0213344097137,3450.597912788391,184.7796487212181,-5.068801663961494,-0.7905829568262561
6000,0.02245703898370266,0.004042537417262793,1,"[12, 55]","[68, 486]",9,-2.9676848399714262e-06,-2.753704269132078e-06,0.9615326841494043,0.9950832701999974,0.001971747776306376,0.001965942610202165,0.001971747776306376,0.0003961920738220215,0.00026869773864746094,1.0,1.0,0.01541111245751381,0.002870868192985654,105066.7300624608,13680.859881800752,-4139.5297619104385,4319.869867861271,170.77647387981415,-6.259824371241848,-0.9900139394812868
7000,0.023897362872958183,0.004054459743201733,1,"[12, 59]","[71, 486]",8,-1.5627989109541919e-06,-2.743135802226992e-06,0.7002657692835748,0.9870232680406288,0.0018926466596316804,0.0018926466596316804,0.0018882670314416816,0.0003860890865325928,0.0002732276916503906,1.0,1.0,0.01621280424296856,0.002336477395147085,104184.30311176952,14559.584503038022,-5023.160674452782,5198.387246966362,166.05105847120285,-7.463786222302588,-1.1972560716603766
8000,0.02142801508307457,0.004049811977893114,1,"[12, 62]","[75, 486]",9,-2.966621199720464e-06,-2.7207428643462142e-06,0.9564134795242645,0.9922077381866203,0.001960616859340736,0.001960616859340736,0.001960616859340736,0.0003859400749206543,0.00028008222579956055,1.0,1.0,0.013415204361081123,0.002555800834670663,103299.98622412929,15437.712021947898,-5908.690146923065,6076.302342176437,158.91178154945374,-8.676371052351897,-1.4096797714610148
9000,0.02253931760787964,0.004062666092067957,1,"[12, 66]","[79, 486]",9,-3.3374727397097176e-06,-2.7533157540844824e-06,0.9870148158227406,0.9952323704504422,0.00197326502041556,0.0019673419319516383,0.00197326502041556,0.0003699064254760742,0.0002732276916503906,1.0,1.0,0.015595869161188602,0.002881404012441635,102413.80764052409,16317.554381885451,-6796.073305726051,6955.925869464874,151.67248862981796,-9.88094625013764,-1.6285124205769534
10000,0.023892635479569435,0.004067412577569485,1,"[12, 70]","[82, 486]",8,-2.0732951951140934e-06,-2.735904912198147e-06,0.9023779008206136,0.9864271348982159,0.0019008629492759943,0.0019008629492759943,0.0018982010954280426,0.0003781616687774658,0.00027433037757873535,1.0,1.0,0.01623554714024067,0.0023438427597284317,101527.04871324684,17198.719399627902,-7684.0186804533005,7836.861377179623,145.20261305570602,-11.06739370014111,-1.858022448279371
