step,umax,Pc,n_mixed,n_liq,n_gas
250,0.019507287070155144,0.002532482147216797,12,56,172
500,0.02137617953121662,0.0010110139846801758,18,54,168
750,0.024123961105942726,0.0024541914463043213,18,54,168
1000,0.02523117884993553,0.00249287486076355,22,52,166
1250,0.025154167786240578,0.0018335580825805664,22,52,166
1500,0.025171054527163506,0.0026782751083374023,22,52,166
1750,0.02511264756321907,0.001854628324508667,22,52,166
2000,0.025227230042219162,0.0025413334369659424,22,52,166
2250,0.025133488699793816,0.002159595489501953,22,52,166
2500,0.025224704295396805,0.0022641420364379883,22,52,166
2750,0.02517838403582573,0.002335071563720703,22,52,166
3000,0.025201085954904556,0.0021473467350006104,22,52,166
3250,0.02521359734237194,0.0023721158504486084,22,52,166
3500,0.025204772129654884,0.0021802186965942383,22,52,166
3750,0.025226429104804993,0.002313852310180664,22,52,166
4000,0.025199849158525467,0.002246558666229248,22,52,166
4250,0.02527908980846405,0.0022599995136260986,22,52,166
4500,0.025224680081009865,0.0022843480110168457,22,52,166
4750,0.02521730400621891,0.002246171236038208,22,52,166
5000,0.025304730981588364,0.002286672592163086,22,52,166
5250,0.02525615692138672,0.002255737781524658,22,52,166
5500,0.025265231728553772,0.002276390790939331,22,52,166
5750,0.025162391364574432,0.00226747989654541,22,52,166
6000,0.02535133622586727,0.002269357442855835,22,52,166
6250,0.02535782940685749,0.002274453639984131,22,52,166
6500,0.025258712470531464,0.002268880605697632,22,52,166
6750,0.025258798152208328,0.002275437116622925,22,52,166
7000,0.02517060562968254,0.0022713840007781982,22,52,166
7250,0.025139056146144867,0.0022746026515960693,22,52,166
7500,0.025247231125831604,0.002274423837661743,22,52,166
7750,0.025281891226768494,0.0022743940353393555,22,52,166
8000,0.025265594944357872,0.002276092767715454,22,52,166
8250,0.02531599812209606,0.002275407314300537,22,52,166
8500,0.025388099253177643,0.0022770166397094727,22,52,166
8750,0.025383751839399338,0.0022765696048736572,22,52,166
9000,0.025420377030968666,0.002277284860610962,22,52,166
9250,0.025232039391994476,0.002277880907058716,22,52,166
9500,0.025149160996079445,0.002277851104736328,22,52,166
9750,0.02526421658694744,0.0022786855697631836,22,52,166
10000,0.025234762579202652,0.002278566360473633,22,52,166
10250,0.02523655816912651,0.002279132604598999,22,52,166
10500,0.025181230157613754,0.0022791922092437744,22,52,166
10750,0.025290053337812424,0.00227963924407959,22,52,166
11000,0.025310315191745758,0.0022799670696258545,22,52,166
11250,0.025174887850880623,0.0022804737091064453,22,52,166
11500,0.02509382739663124,0.002280682325363159,22,52,166
11750,0.02537664957344532,0.0022810697555541992,22,52,166
12000,0.025391608476638794,0.00228118896484375,22,52,166
12250,0.02546807751059532,0.002281367778778076,22,52,166
12500,0.025393886491656303,0.0022816359996795654,22,52,166
12750,0.025399599224328995,0.00228157639503479,22,52,166
13000,0.02526804618537426,0.0022819936275482178,22,52,166
13250,0.025204263627529144,0.0022818148136138916,22,52,166
