step,Mff,Mr,Mb,Mrho,d_fc
2000,3.686403146259e+04,1.843199900855e+04,1.843199834811e+04,3.686403168952e+04,3.410592722139e-02
4000,3.686415171216e+04,1.843199219692e+04,1.843199148848e+04,3.686415198594e+04,1.680267608499e-01
6000,3.686424656955e+04,1.843198758751e+04,1.843198673926e+04,3.686424714607e+04,2.722427762528e-01
8000,3.686436297127e+04,1.843198241652e+04,1.843198087369e+04,3.686436290079e+04,3.996810607605e-01
10000,3.686451977257e+04,1.843197677748e+04,1.843197628992e+04,3.686451996505e+04,5.667051688397e-01
12000,3.686460699620e+04,1.843197227756e+04,1.843197219102e+04,3.686460712147e+04,6.625276167324e-01
14000,3.686473130078e+04,1.843196895015e+04,1.843196930889e+04,3.686473133636e+04,7.930417504831e-01
16000,3.686489375805e+04,1.843196617123e+04,1.843196632940e+04,3.686489403206e+04,9.612574178318e-01
18000,3.686490952208e+04,1.843196350252e+04,1.843196293807e+04,3.686490938753e+04,9.830814917659e-01
20000,3.686504287570e+04,1.843196135570e+04,1.843196035033e+04,3.686504286790e+04,1.121169660004e+00
