step,ckpt,Mff,MFF,Mr,Mb,Mracc,Mbacc,Mrho,fF_maxdiff
0,S0,7.680000114441e+03,7.680000114441e+03,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00
0,S1,7.680002174377e+03,7.680000114441e+03,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,7.680001831055e+03,7.680000000000e+03,8.940696716309e-08
0,S2,7.680002174377e+03,0.000000000000e+00,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,7.680001831055e+03,7.680000000000e+03,3.333334326744e-01
0,S3,7.680002174377e+03,7.680002174377e+03,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,7.680001831055e+03,7.680000000000e+03,0.000000000000e+00
0,S4,7.680002174377e+03,7.680002174377e+03,0.000000000000e+00,7.680000000000e+03,0.000000000000e+00,7.680001831055e+03,7.680000000000e+03,0.000000000000e+00
0,S5,7.680002174377e+03,7.680002174377e+03,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
0,S6,7.680002174377e+03,7.680002174377e+03,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
1,S0,7.680002174377e+03,7.680002174377e+03,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
1,S1,7.680002746582e+03,7.680002174377e+03,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,2.980232238770e-08
1,S2,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,3.333334624767e-01
1,S3,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
1,S4,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680001831055e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
1,S5,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
1,S6,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
2,S0,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
2,S1,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
2,S2,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,3.333334624767e-01
2,S3,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
2,S4,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
2,S5,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
2,S6,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
3,S0,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
3,S1,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
3,S2,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,3.333334624767e-01
3,S3,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
3,S4,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
3,S5,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
3,S6,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
4,S0,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
4,S1,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
4,S2,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,3.333334624767e-01
4,S3,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
4,S4,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00
4,S5,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
4,S6,7.680002746582e+03,7.680002746582e+03,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00,0.000000000000e+00,7.680002746582e+03,0.000000000000e+00
